"","Gene","U_l1","adP.value","Selection"
"1","FAM87B",0.000299052078583467,0.827206134791396,FALSE
"2","LINC01128",0.000118816329910163,0.930888317156963,FALSE
"3","LINC00115",0.0023786807109646,0.082517290551193,FALSE
"4","FAM41C",-0.00255360553198331,0.0623293380193798,FALSE
"5","LINC02593",-0.00115402715630455,0.399588944220653,FALSE
"6","SAMD11",0.000102643540384914,0.940276539751785,FALSE
"7","NOC2L",-0.000220859328713354,0.871927068962434,FALSE
"8","KLHL17",-0.0011608094384541,0.396824494337517,FALSE
"9","PLEKHN1",6.64776734642966e-06,0.996128372179079,FALSE
"10","PERM1",0.000299052078583464,0.827206134791398,FALSE
"11","HES4",-0.000154638659924057,0.910129708877712,FALSE
"12","ISG15",0.000299052078583435,0.827206134791415,FALSE
"13","AGRN",-0.000465354503482234,0.734101426124862,FALSE
"14","RNF223",-0.000614217729686934,0.653912087427835,FALSE
"15","C1orf159",-0.00671758610272069,9.42170833754168e-07,TRUE
"16","LINC01342",0.000991179558778862,0.469379676176652,FALSE
"17","MIR200B",-0.000843440077090377,0.538125747571027,FALSE
"18","MIR429",0.000299052078583483,0.827206134791387,FALSE
"19","TTLL10",-0.00078106226980148,0.568597365571092,FALSE
"20","TNFRSF18",-0.000902976487909354,0.509827108777949,FALSE
"21","TNFRSF4",3.27430553779463e-05,0.980932342041071,FALSE
"22","SDF4",0.000299052078583459,0.827206134791401,FALSE
"23","B3GALT6",-2.44548627621411e-05,0.98575830563174,FALSE
"24","C1QTNF12",-0.000937924365723756,0.493586062522807,FALSE
"25","UBE2J2",0.00011881632990938,0.930888317157417,FALSE
"26","SCNN1D",0.000299052078583479,0.82720613479139,FALSE
"27","MIR6726",-0.000264072687937187,0.847151797450653,FALSE
"28","PUSL1",0.000299052078583476,0.827206134791391,FALSE
"29","ACAP3",0.000299052078583484,0.827206134791387,FALSE
"30","MIR6727",0.00117546137310986,0.390891909989359,FALSE
"31","INTS11",0.000135357933922563,0.921295947666926,FALSE
"32","CPTP",-0.00139299399578332,0.309256224438145,FALSE
"33","TAS1R3",0.000135357933922563,0.921295947666926,FALSE
"34","MIR6808",-0.000102480870801065,0.940371013002081,FALSE
"35","DVL1",-0.000384933899825295,0.778730610666025,FALSE
"36","MXRA8",-0.00025172232525703,0.854218272137567,FALSE
"37","AURKAIP1",-0.00293730837825551,0.0320312270946896,FALSE
"38","CCNL2",0.00013751688555771,0.920044799659838,FALSE
"39","MRPL20-AS1",0.000299052078583476,0.827206134791391,FALSE
"40","MRPL20",0.00596615002080963,1.33155617858515e-05,TRUE
"41","ANKRD65",0.000299052078583476,0.827206134791391,FALSE
"42","TMEM88B",0.00191675951262999,0.161784636391701,FALSE
"43","LINC01770",0.000299052078583476,0.827206134791391,FALSE
"44","VWA1",0.000299052078583476,0.827206134791391,FALSE
"45","ATAD3B",-0.0140070898953268,1.54572943313765e-24,TRUE
"46","ATAD3A",-0.000315418984518287,0.817910848133382,FALSE
"47","TMEM240",-0.000253378560073547,0.853269936271608,FALSE
"48","SSU72",0.000263099621588219,0.847708116264645,FALSE
"49","FNDC10",-4.40270351120269e-05,0.97436317811432,FALSE
"50","MIB2",-0.00137181190866327,0.316670888990456,FALSE
"51","MMP23B",-0.00125658636718574,0.359029293180638,FALSE
"52","MMP23A",0.000299052078583476,0.827206134791391,FALSE
"53","CDK11B",0.00168330194302374,0.219188975999972,FALSE
"54","SLC35E2B",0.000299052078583476,0.827206134791391,FALSE
"55","CDK11A",-0.00051485586290589,0.707060235299647,FALSE
"56","SLC35E2A",0.000299052078583476,0.827206134791391,FALSE
