"","Gene","U_l1","adP.value","Selection"
"1","FAM87B",0.000370392696771742,0.910362458258436,FALSE
"2","LINC01128",0.000370392696771627,0.910362458258463,FALSE
"3","LINC00115",0.00037039269677142,0.910362458258513,FALSE
"4","FAM41C",0.000370392696771507,0.910362458258492,FALSE
"5","LINC02593",-0.0169014610954953,2.78829177557631e-07,TRUE
"6","SAMD11",-0.00133247209785617,0.685472573797427,FALSE
"7","NOC2L",0.000370392696771588,0.910362458258473,FALSE
"8","KLHL17",0.000370392696771503,0.910362458258493,FALSE
"9","PLEKHN1",-9.05780286011359e-07,0.999780331885545,FALSE
"10","PERM1",0.000370392696771539,0.910362458258484,FALSE
"11","HES4",0.000370392696771567,0.910362458258478,FALSE
"12","ISG15",0.000370392696771474,0.9103624582585,FALSE
"13","AGRN",0.00037039269677159,0.910362458258472,FALSE
"14","RNF223",-0.00141017871579127,0.668195603508275,FALSE
"15","C1orf159",-0.00160138138988167,0.626441132149588,FALSE
"16","LINC01342",0.000229484887965538,0.944390857049933,FALSE
"17","MIR200B",0.000370392696771572,0.910362458258476,FALSE
"18","MIR429",0.000370392696771551,0.910362458258481,FALSE
"19","TTLL10",-0.000243138579077146,0.941088122799478,FALSE
"20","TNFRSF18",-0.019243871365842,4.93939848303511e-09,TRUE
"21","TNFRSF4",-0.000926969900617161,0.778132322096349,FALSE
"22","SDF4",-0.0101697843486182,0.00199403122370424,FALSE
"23","B3GALT6",0.000370392696771565,0.910362458258478,FALSE
"24","C1QTNF12",0.000370392696771565,0.910362458258478,FALSE
"25","UBE2J2",0.000370392696771565,0.910362458258478,FALSE
"26","SCNN1D",-0.0014413215374657,0.661319845156496,FALSE
"27","MIR6726",-0.000760967024921206,0.817084101968965,FALSE
"28","PUSL1",-0.000441045146985573,0.893358074428479,FALSE
"29","ACAP3",-0.00144298906597898,0.66095248388754,FALSE
"30","MIR6727",-0.00209119379257711,0.525023339381853,FALSE
"31","INTS11",-0.000654941449807686,0.842207714696175,FALSE
"32","CPTP",0.000370392696771565,0.910362458258478,FALSE
"33","TAS1R3",-0.00103888023873364,0.752177796744494,FALSE
"34","MIR6808",-9.05780286040564e-07,0.999780331885538,FALSE
"35","DVL1",-0.00909579644212562,0.00569787014055271,FALSE
"36","MXRA8",0.00052312275606306,0.873665819114223,FALSE
"37","AURKAIP1",0.000220482814006324,0.94656892357218,FALSE
"38","CCNL2",-0.0014413215374657,0.661319845156496,FALSE
"39","MRPL20-AS1",0.000370392696771565,0.910362458258478,FALSE
"40","MRPL20",0.000370392696771565,0.910362458258478,FALSE
"41","ANKRD65",0.000266358948940661,0.935473630720741,FALSE
"42","TMEM88B",0.000370392696771565,0.910362458258478,FALSE
"43","LINC01770",0.000468011779553866,0.886880311212505,FALSE
"44","VWA1",0.000370392696771565,0.910362458258478,FALSE
"45","ATAD3B",-0.00352717115029926,0.283680285660081,FALSE
"46","ATAD3A",0.00951380330006783,0.00383122746853724,FALSE
"47","TMEM240",-0.000654941449807686,0.842207714696175,FALSE
"48","SSU72",0.0302760344260523,3.49905493384106e-20,TRUE
"49","FNDC10",-0.00892589534804156,0.00666694408078912,FALSE
"50","MIB2",-9.05780286040564e-07,0.999780331885538,FALSE
"51","MMP23B",-0.0333142155833694,4.24053290534229e-24,TRUE
"52","MMP23A",0.00151772037897533,0.644573926639013,FALSE
"53","CDK11B",0.00141777975788081,0.666514836174751,FALSE
"54","SLC35E2B",0.196035500149885,0,TRUE
"55","CDK11A",0.000370392696771565,0.910362458258478,FALSE
"56","SLC35E2A",0.00110861304092626,0.736143699158709,FALSE
"57","NADK",-0.00103888023873364,0.752177796744494,FALSE
"58","GNB1",0.00306789214147966,0.351083345762731,FALSE
"59","CALML6",0.000370392696771565,0.910362458258478,FALSE
"60","TMEM52",-0.0014413215374657,0.661319845156496,FALSE
"61","CFAP74",0.000370392696771565,0.910362458258478,FALSE
"62","GABRD",0.000370392696771565,0.910362458258478,FALSE
"63","PRKCZ",-0.000281968355100893,0.931701191890664,FALSE
"64","FAAP20",-0.00147926156523614,0.652981885518564,FALSE
"65","SKI",-0.00929099121635541,0.00474269808472543,FALSE
"66","MORN1",-0.00505739323326339,0.124243950949893,FALSE
"67","RER1",0.000370392696771565,0.910362458258478,FALSE
"68","PEX10",0.00186291721345748,0.571233200678837,FALSE
"69","PLCH2",0.0012114418264807,0.712709645795266,FALSE
"70","PANK4",-0.00155033348180002,0.637479366230145,FALSE
"71","HES5",-9.05780286040564e-07,0.999780331885538,FALSE
"72","TNFRSF14",0.000370392696771565,0.910362458258478,FALSE
"73","TNFRSF14-AS1",0.000370392696771565,0.910362458258478,FALSE
"74","LOC100996583",0.0021133684857456,0.520638658889737,FALSE
"75","PRXL2B",0.000986295557960406,0.764340483426093,FALSE
"76","MMEL1",-9.79879735910583e-05,0.976239655336948,FALSE
"77","TTC34",-9.05780286040564e-07,0.999780331885538,FALSE
"78","ACTRT2",0.00843349250666691,0.0103661040296986,FALSE
"79","LINC00982",0.000220482814006324,0.94656892357218,FALSE
"80","PRDM16",0.000370392696771565,0.910362458258478,FALSE
"81","ARHGEF16",-0.00145935381328885,0.657351628263207,FALSE
"82","MIR551A",-0.00232515439425642,0.479731884369032,FALSE
"83","MEGF6",-0.00458798665280651,0.16315918028108,FALSE
"84","TPRG1L",0.000370392696771565,0.910362458258478,FALSE
"85","TP73",0.000370392696771565,0.910362458258478,FALSE
"86","WRAP73",0.000370392696771565,0.910362458258478,FALSE
"87","TP73-AS1",0.000370392696771565,0.910362458258478,FALSE
"88","SMIM1",-0.00205463846117287,0.532292593100773,FALSE
"89","LRRC47",0.000272704325034811,0.933939917879306,FALSE
"90","CEP104",0.000370392696771565,0.910362458258478,FALSE
"91","DFFB",-0.000182986234812793,0.955645394756697,FALSE
"92","C1orf174",-0.00198722482728781,0.545830541889587,FALSE
"93","LINC01134",0.000370392696771565,0.910362458258478,FALSE
"94","LINC01346",-6.2475117846545e-05,0.984849563438135,FALSE
"95","LINC01777",-0.000973110813953375,0.76739934796193,FALSE
"96","AJAP1",-9.05780286040564e-07,0.999780331885538,FALSE
"97",NA,-0.00608810864196737,0.0642431093715278,FALSE
"98","MIR4689",0.00100626713590895,0.759714081030999,FALSE
"99","KCNAB2",0.000370392696771565,0.910362458258478,FALSE
"100","NPHP4",-0.00326144640009145,0.321528815915989,FALSE
"101","CHD5",-0.00300143834432525,0.361615398152079,FALSE
"102","RNF207",0.000370392696771565,0.910362458258478,FALSE
"103","LOC102724450",0.000370392696771565,0.910362458258478,FALSE
"104","RPL22",0.000266358948940661,0.935473630720741,FALSE
"105","ICMT",0.000370392696771565,0.910362458258478,FALSE
"106","HES3",-9.05780286040564e-07,0.999780331885538,FALSE
"107","GPR153",-0.00839778658458091,0.0106947162611824,FALSE
"108","ACOT7",-0.0096133209592386,0.00347811579970921,FALSE
"109","HES2",0.000370392696771565,0.910362458258478,FALSE
"110","ESPN",0.000370392696771565,0.910362458258478,FALSE
"111","MIR4252",0.000370392696771565,0.910362458258478,FALSE
"112","TNFRSF25",0.000370392696771565,0.910362458258478,FALSE
"113","PLEKHG5",-0.000295838181639197,0.928350454110889,FALSE
"114","NOL9",0.000370392696771565,0.910362458258478,FALSE
"115","ZBTB48",0.000370392696771565,0.910362458258478,FALSE
"116","PHF13",-0.0074175026196542,0.0241609563790858,FALSE
"117","KLHL21",0.000370392696771565,0.910362458258478,FALSE
"118","THAP3",-0.00181428754303659,0.581321682980232,FALSE
"119","DNAJC11",7.10444671769075e-05,0.982771769491134,FALSE
"120","LINC01672",0.00214399586268603,0.514613773221257,FALSE
"121","CAMTA1",-0.000795849258613764,0.808858060273477,FALSE
"122","VAMP3",-0.0132118720268157,5.92528810050323e-05,TRUE
"123","PER3",0.000370392696771565,0.910362458258478,FALSE
"124","UTS2",0.000370392696771565,0.910362458258478,FALSE
"125","TNFRSF9",-0.00162317136158128,0.621754598225776,FALSE
"126","PARK7",0.000370392696771565,0.910362458258478,FALSE
"127","ERRFI1",-0.0207786347190281,2.68950985903228e-10,TRUE
"128","LINC01714",0.000370392696771565,0.910362458258478,FALSE
"129","SLC45A1",-9.05780286040564e-07,0.999780331885538,FALSE
"130","RERE-AS1",-0.00207248454576319,0.528737431428813,FALSE
"131","RERE",0.000369053146857507,0.910685278501016,FALSE
"132","MIR6728",0.000370392696771565,0.910362458258478,FALSE
"133","ENO1-AS1",0.000370392696771565,0.910362458258478,FALSE
"134","ENO1",0.000370392696771565,0.910362458258478,FALSE
"135","CA6",0.000370392696771565,0.910362458258478,FALSE
"136","SLC2A7",-9.05780286040564e-07,0.999780331885538,FALSE
"137","SLC2A5",0.000370392696771565,0.910362458258478,FALSE
"138","GPR157",0.000370392696771565,0.910362458258478,FALSE
"139","MIR34A",0.000968039000213363,0.76857697891334,FALSE
"140","LNCTAM34A",0.000370392696771565,0.910362458258478,FALSE
"141","MIR34AHG",0.000370392696771565,0.910362458258478,FALSE
"142","H6PD",0.000370392696771565,0.910362458258478,FALSE
"143","SPSB1",-0.00102623992686529,0.755095980118743,FALSE
"144","SLC25A33",0.000418796082463075,0.898707992253197,FALSE
"145","TMEM201",0.000129609821596392,0.968575400422841,FALSE
"146","PIK3CD",0.000370392696771565,0.910362458258478,FALSE
"147","PIK3CD-AS1",-0.000654941449807686,0.842207714696175,FALSE
"148","PIK3CD-AS2",-0.000977836541173783,0.766302558372184,FALSE
"149","CLSTN1",0.000171674830441238,0.958384631846746,FALSE
"150","CTNNBIP1",0.000370392696771565,0.910362458258478,FALSE
"151","NMNAT1",0.000370392696771565,0.910362458258478,FALSE
"152","LZIC",0.000370392696771565,0.910362458258478,FALSE
"153","MIR5697",0.000370392696771565,0.910362458258478,FALSE
"154","RBP7",0.000370392696771565,0.910362458258478,FALSE
"155","UBE4B",0.000370392696771565,0.910362458258478,FALSE
"156","KIF1B",-9.05780286040564e-07,0.999780331885538,FALSE
"157","PGD",-0.0133930487037173,4.68448271097423e-05,TRUE
"158","CENPS-CORT",0.000370392696771565,0.910362458258478,FALSE
"159","CENPS",0.000370392696771565,0.910362458258478,FALSE
"160","CORT",-0.00057619983368186,0.860972199817905,FALSE
"161","PEX14",0.000370392696771565,0.910362458258478,FALSE
"162","DFFA",-0.008888105269571,0.00690167382788017,FALSE
"163","CASZ1",0.00030093791451878,0.927118752899734,FALSE
"164","C1orf127",0.00281116010746912,0.392852401211402,FALSE
"165","TARDBP",0.000370392696771565,0.910362458258478,FALSE
"166","MASP2",0.000370392696771565,0.910362458258478,FALSE
"167","SRM",6.35693151069022e-05,0.984584249476499,FALSE
"168","EXOSC10-AS1",0.000370392696771565,0.910362458258478,FALSE
"169","EXOSC10",0.000370392696771565,0.910362458258478,FALSE
"170","ANGPTL7",0.000370392696771565,0.910362458258478,FALSE
"171","MTOR",0.0060452684574094,0.0661408928976333,FALSE
"172","UBIAD1",-0.0040716437067571,0.215871213111371,FALSE
"173","DISP3",-0.0021043521918106,0.522419203992356,FALSE
"174","LINC01647",-0.00083542091296437,0.799551700984673,FALSE
"175","FBXO44",0.000370392696771565,0.910362458258478,FALSE
"176","FBXO2",0.000370392696771565,0.910362458258478,FALSE
"177","FBXO6",-0.000598842436791774,0.855567832591684,FALSE
"178","MAD2L2",0.000370392696771565,0.910362458258478,FALSE
"179","DRAXIN",0.00287921005090508,0.381497825771112,FALSE
"180","AGTRAP",0.000330009191192583,0.920100802731991,FALSE
"181","C1orf167",-0.0018591761294932,0.572006341928858,FALSE
"182","LOC102724659",0.00150041286855028,0.648352194712293,FALSE
"183","CLCN6",0.000370392696771565,0.910362458258478,FALSE
"184","MTHFR",0.000370392696771565,0.910362458258478,FALSE
"185","NPPA-AS1",0.000370392696771565,0.910362458258478,FALSE
"186","NPPA",0.000370392696771565,0.910362458258478,FALSE
"187","NPPB",0.000370392696771565,0.910362458258478,FALSE
"188","RNU5E-1",0.000370392696771565,0.910362458258478,FALSE
"189","KIAA2013",0.000370392696771565,0.910362458258478,FALSE
"190","PLOD1",0.0259349352670083,3.19717876384143e-15,TRUE
"191","MFN2",0.000616625865007651,0.851327991069754,FALSE
"192","MIIP",0.0010805969283754,0.742572264027504,FALSE
"193","MIR6729",0.000370392696771565,0.910362458258478,FALSE
"194","TNFRSF8",-0.00344051051797828,0.295677451462111,FALSE
"195","MIR7846",-0.00728923920081506,0.0267206757100495,FALSE
"196","TNFRSF1B",-1.87054281150348e-05,0.995463619486793,FALSE
"197","MIR4632",0.00306744284776728,0.351153893722721,FALSE
"198","VPS13D",-0.00131350569804878,0.689715006833317,FALSE
"199","MIR6730",-0.00375552489324945,0.253663189635395,FALSE
"200","DHRS3",-0.00236001857871652,0.473169960719815,FALSE
"201","AADACL4",0.000183640327215914,0.955487011551516,FALSE
"202","AADACL3",0.000370392696771565,0.910362458258478,FALSE
"203","HNRNPCL2",0.000370392696771565,0.910362458258478,FALSE
"204","PRAMEF18",0.000370392696771565,0.910362458258478,FALSE
"205","PRAMEF5",0.000370392696771565,0.910362458258478,FALSE
"206","PRAMEF14",0.000370392696771565,0.910362458258478,FALSE
"207","PRAMEF20",0.000370392696771565,0.910362458258478,FALSE
"208","LRRC38",0.000370392696771565,0.910362458258478,FALSE
"209","PDPN",0.000370392696771565,0.910362458258478,FALSE
"210","PRDM2",-0.000295838181639197,0.928350454110889,FALSE
"211","KAZN",0.000370392696771565,0.910362458258478,FALSE
"212","TMEM51-AS1",-0.00226439854405936,0.491284636944979,FALSE
"213","TMEM51",0.000370392696771565,0.910362458258478,FALSE
"214","C1orf195",0.000370392696771565,0.910362458258478,FALSE
"215","FHAD1",-0.00303244429708648,0.356676945523632,FALSE
"216","EFHD2",0.0067581472752025,0.0399613590617258,FALSE
"217","CTRC",-0.00350046672808231,0.287341542650573,FALSE
"218","CELA2A",0.000370392696771565,0.910362458258478,FALSE
"219","CELA2B",0.000370392696771565,0.910362458258478,FALSE
"220","CASP9",0.000370392696771565,0.910362458258478,FALSE
"221","DNAJC16",0.000370392696771565,0.910362458258478,FALSE
"222","AGMAT",0.000370392696771565,0.910362458258478,FALSE
"223","DDI2",-0.00768634355416522,0.019476932540077,FALSE
"224","PLEKHM2",0.000370392696771565,0.910362458258478,FALSE
"225","SLC25A34",0.000370392696771565,0.910362458258478,FALSE
"226","TMEM82",0.000986295557960406,0.764340483426093,FALSE
"227","FBLIM1",0.000129609821596392,0.968575400422841,FALSE
"228","UQCRHL",-0.00460173055326703,0.161902275491526,FALSE
"229","SPEN",0.000370392696771565,0.910362458258478,FALSE
"230","FLJ37453",-0.00108528152666479,0.741496073259633,FALSE
"231","ZBTB17",-0.000985330795729611,0.764564184554602,FALSE
"232","SRARP",0.000370392696771565,0.910362458258478,FALSE
"233","CLCNKA",0.000370392696771565,0.910362458258478,FALSE
"234","HSPB7",0.000370392696771565,0.910362458258478,FALSE
"235","CLCNKB",0.00186735252706837,0.57031723307697,FALSE
"236","FAM131C",0.000370392696771565,0.910362458258478,FALSE
"237","EPHA2",0.00173498850073985,0.597949081030388,FALSE
"238","ARHGEF19",0.000370392696771565,0.910362458258478,FALSE
"239","CPLANE2",0.000370392696771565,0.910362458258478,FALSE
"240","FBXO42",0.000370392696771565,0.910362458258478,FALSE
"241","SZRD1",-0.000307729161950704,0.925478784157181,FALSE
"242","SPATA21",-0.000654941449807686,0.842207714696175,FALSE
