"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"Achilles_fitness_decrease",0,0,0,0,0,1,1,0.166666666666667,0.408248290463863,2.44948974278318
"Achilles_fitness_increase",0,0,0,0,0,0,0,0,0,0
"Aging_Perturbations_from_GEO_down",54,22,21,41,49,7,194,32.3333333333333,18.4354730524244,0.570169269662611
"Aging_Perturbations_from_GEO_up",36,2,7,10,29,0,84,14,14.9264865256362,1.06617760897402
"Allen_Brain_Atlas_10x_scRNA_2021",1,18,15,1,4,0,39,6.5,7.91833315793166,1.21820510122026
"Allen_Brain_Atlas_down",0,0,0,0,0,0,0,0,0,0
"Allen_Brain_Atlas_up",0,0,0,0,0,0,0,0,0,0
"ARCHS4_Cell-lines",0,0,0,0,0,0,0,0,0,0
"ARCHS4_IDG_Coexp",94,60,55,120,55,61,445,74.1666666666667,26.8433728630861,0.361933117255093
"ARCHS4_Kinases_Coexp",220,179,112,271,204,158,1144,190.666666666667,54.5588367422425,0.286147745151621
"ARCHS4_TFs_Coexp",625,494,392,677,552,334,3074,512.333333333333,132.665996648224,0.258944690920412
"ARCHS4_Tissues",0,0,0,0,0,0,0,0,0,0
"Azimuth_2023",0,0,0,0,0,0,0,0,0,0
"Azimuth_Cell_Types_2021",0,0,0,0,3,0,3,0.5,1.22474487139159,2.44948974278318
"BioCarta_2013",0,0,1,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"BioCarta_2015",0,1,1,0,1,0,3,0.5,0.547722557505166,1.09544511501033
"BioCarta_2016",0,1,1,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"BioPlanet_2019",1,0,0,32,0,1,34,5.66666666666667,12.9099444873581,2.27822549776907
"BioPlex_2017",0,0,0,0,0,1,1,0.166666666666667,0.408248290463863,2.44948974278318
"Cancer_Cell_Line_Encyclopedia",17,1,19,0,19,3,59,9.83333333333333,9.38971068066885,0.954885831932425
"CCLE_Proteomics_2020",1,0,1,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"CellMarker_2024",7,2,1,1,19,4,34,5.66666666666667,6.91857403419712,1.2209248295642
"CellMarker_Augmented_2021",68,8,7,17,119,5,224,37.3333333333333,46.5818276441218,1.24772752618183
"ChEA_2013",73,62,54,57,52,46,344,57.3333333333333,9.33095207718198,0.162749164136895
"ChEA_2015",74,63,55,58,53,46,349,58.1666666666667,9.57949198374667,0.164690406597364
"ChEA_2016",84,74,67,65,61,55,406,67.6666666666667,10.1914997260789,0.150613296444516
"ChEA_2022",44,31,34,22,28,1,160,26.6666666666667,14.5281336264046,0.544805010990171
"Chromosome_Location",6,0,11,3,0,1,21,3.5,4.32434966208793,1.23552847488227
"Chromosome_Location_hg19",0,0,1,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"ClinVar_2019",0,0,0,0,0,0,0,0,0,0
"CORUM",0,1,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"COVID-19_Related_Gene_Sets",42,30,16,39,52,5,184,30.6666666666667,17.477604717657,0.569921892967077
"COVID-19_Related_Gene_Sets_2021",112,41,61,84,140,4,442,73.6666666666667,49.1066865779668,0.666606605130771
"Data_Acquisition_Method_Most_Popular_Genes",1,0,1,0,0,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"dbGaP",0,2,2,0,0,0,4,0.666666666666667,1.03279555898864,1.54919333848297
"DepMap_CRISPR_GeneDependency_CellLines_2023",0,0,0,27,0,0,27,4.5,11.0227038425243,2.44948974278318
"DepMap_WG_CRISPR_Screens_Broad_CellLines_2019",0,0,0,3,0,0,3,0.5,1.22474487139159,2.44948974278318
"DepMap_WG_CRISPR_Screens_Sanger_CellLines_2019",0,5,0,15,0,0,20,3.33333333333333,6.05530070819498,1.81659021245849
"Descartes_Cell_Types_and_Tissue_2021",11,6,3,0,13,5,38,6.33333333333333,4.88535225614967,0.771371408865737
"DGIdb_Drug_Targets_2024",0,0,0,0,0,0,0,0,0,0
"Diabetes_Perturbations_GEO_2022",18,1,12,1,7,0,39,6.5,7.28697468089467,1.12107302782995
"Disease_Perturbations_from_GEO_down",349,212,136,222,291,44,1254,209,108.679344863686,0.519996865376488
"Disease_Perturbations_from_GEO_up",440,200,131,223,292,67,1353,225.5,130.492528521751,0.578680836016634
"Disease_Signatures_from_GEO_down_2014",0,0,0,0,0,0,0,0,0,0
"Disease_Signatures_from_GEO_up_2014",0,0,0,0,0,0,0,0,0,0
"DisGeNET",1,0,3,0,1,4,9,1.5,1.6431676725155,1.09544511501033
"Drug_Perturbations_from_GEO_2014",410,305,244,356,347,178,1840,306.666666666667,83.9325125721056,0.273692975778605
"Drug_Perturbations_from_GEO_down",376,162,181,244,272,52,1287,214.5,110.039538348723,0.513004840786586
"Drug_Perturbations_from_GEO_up",446,246,150,291,319,32,1484,247.333333333333,143.077135373429,0.578478983989607
"DrugMatrix",0,0,0,78,0,0,78,13,31.8433666561813,2.44948974278318
