"","CD14 mono","CD16 mono","CD4 Naive","CD4 TCM","CD8 TEM","NK","Total","Mean","SD","CV"
"HMS_LINCS_KinomeScan",0,0,0,0,0,0,0,0,0,0
"HomoloGene",0,0,0,0,0,0,0,0,0,0
"HuBMAP_ASCT_plus_B_augmented_w_RNAseq_Coexpression",2,2,4,63,59,34,164,27.3333333333333,28.8004629592419,1.05367547411861
"HuBMAP_ASCTplusB_augmented_2022",0,0,25,62,92,31,210,35,36.177340974704,1.03363831356297
"Human_Gene_Atlas",0,0,0,0,0,0,0,0,0,0
"Human_Phenotype_Ontology",0,0,0,0,0,0,0,0,0,0
"HumanCyc_2015",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"HumanCyc_2016",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"huMAP",0,0,0,0,0,0,0,0,0,0
"IDG_Drug_Targets_2022",0,0,0,0,0,0,0,0,0,0
"InterPro_Domains_2019",0,3,0,1,5,0,9,1.5,2.07364413533277,1.38242942355518
"Jensen_COMPARTMENTS",0,0,0,3,0,0,3,0.5,1.22474487139159,2.44948974278318
"Jensen_DISEASES",0,0,0,0,0,1,1,0.166666666666667,0.408248290463863,2.44948974278318
"Jensen_TISSUES",1,0,0,2,1,0,4,0.666666666666667,0.816496580927726,1.22474487139159
"KEA_2013",0,3,0,0,1,1,5,0.833333333333333,1.16904519445001,1.40285423334001
"KEA_2015",1,0,0,0,1,0,2,0.333333333333333,0.516397779494322,1.54919333848297
"KEGG_2013",0,0,0,0,2,0,2,0.333333333333333,0.816496580927726,2.44948974278318
"KEGG_2015",0,0,0,0,1,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"KEGG_2016",0,3,0,3,8,0,14,2.33333333333333,3.14112506383727,1.34619645593026
"KEGG_2019_Human",0,7,0,13,8,3,31,5.16666666666667,5.11533641774094,0.990065113111149
"KEGG_2019_Mouse",0,10,0,21,11,13,55,9.16666666666667,8.08496547096317,0.881996233195982
"KEGG_2021_Human",0,7,0,12,9,4,32,5.33333333333333,4.88535225614967,0.916003548028063
"Kinase_Perturbations_from_GEO_down",0,15,0,15,6,0,36,6,7.34846922834953,1.22474487139159
"Kinase_Perturbations_from_GEO_up",8,20,1,8,11,0,48,8,7.29383301152419,0.911729126440524
"KOMP2_Mouse_Phenotypes_2022",0,0,0,0,0,0,0,0,0,0
"L1000_Kinase_and_GPCR_Perturbations_down",0,0,0,0,0,0,0,0,0,0
"L1000_Kinase_and_GPCR_Perturbations_up",0,0,0,0,0,0,0,0,0,0
"Ligand_Perturbations_from_GEO_down",46,42,6,69,55,7,225,37.5,25.7429602027428,0.686478938739808
"Ligand_Perturbations_from_GEO_up",80,69,8,87,86,38,368,61.3333333333333,31.8224239596337,0.518843868907071
"LINCS_L1000_Chem_Pert_Consensus_Sigs",2,0,2,0,2,0,6,1,1.09544511501033,1.09544511501033
"LINCS_L1000_Chem_Pert_down",0,0,0,0,0,0,0,0,0,0
"LINCS_L1000_Chem_Pert_up",0,0,0,0,0,0,0,0,0,0
"LINCS_L1000_CRISPR_KO_Consensus_Sigs",0,0,0,0,0,0,0,0,0,0
"LINCS_L1000_Ligand_Perturbations_down",0,0,0,0,0,0,0,0,0,0
"LINCS_L1000_Ligand_Perturbations_up",1,0,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"lncHUB_lncRNA_Co-Expression",3,1,0,26,36,0,66,11,15.8492902049272,1.44084456408429
"MAGMA_Drugs_and_Diseases",0,0,0,0,0,0,0,0,0,0
"MAGNET_2023",10,1,0,2,4,0,17,2.83333333333333,3.81663027639129,1.34704597990281
"MCF7_Perturbations_from_GEO_down",42,52,17,57,30,0,198,33,21.7807254240992,0.66002198254846
"MCF7_Perturbations_from_GEO_up",80,103,6,107,58,0,354,59,46.8444233607374,0.793973277300634
"Metabolomics_Workbench_Metabolites_2022",1,0,0,0,0,0,1,0.166666666666667,0.408248290463863,2.44948974278318
"MGI_Mammalian_Phenotype_2013",25,22,4,37,33,11,132,22,12.6491106406735,0.574959574576069
"MGI_Mammalian_Phenotype_2017",0,0,1,4,2,0,7,1.16666666666667,1.60208197875972,1.37321312465119
"MGI_Mammalian_Phenotype_Level_3",14,10,1,10,6,8,49,8.16666666666667,4.4007575105505,0.538868266598021
"MGI_Mammalian_Phenotype_Level_4",30,22,4,40,32,11,139,23.1666666666667,13.6002450958307,0.587060939388375
"MGI_Mammalian_Phenotype_Level_4_2019",0,0,3,14,27,3,47,7.83333333333333,10.7222510074455,1.36879800095049
"MGI_Mammalian_Phenotype_Level_4_2021",0,0,1,3,0,0,4,0.666666666666667,1.211060141639,1.81659021245849
"MGI_Mammalian_Phenotype_Level_4_2024",0,0,1,7,0,0,8,1.33333333333333,2.80475786239502,2.10356839679626
"Microbe_Perturbations_from_GEO_down",46,92,31,103,72,35,379,63.1666666666667,30.3935300132556,0.481164063534389
"Microbe_Perturbations_from_GEO_up",91,70,12,73,74,13,333,55.5,34.1101158016211,0.61459668111029
