"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD4 TCM","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Heart-3d-dn","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Heart-3d-dn","44/352","279/5027",1.57301725474777e-07,0.000760553842670549,0.000642122201464407,"TRIM35/SLC38A2/TPM1/HTRA3/YBX1/RCN3/MXD4/HMGB1/TMED9/UGP2/BRI3/RNPEP/BAG3/PLCG1/TGFB3/TM9SF2/IL2RG/PHLDB1/HSPA8/XPO7/CD48/CALM3/AKT1/FLNA/EHD2/TMEM50A/TMOD3/ETS1/CCNT2/GPC1/PRKAR1A/HSPE1/ANXA1/FTH1/ADA/CDC42/HTRA1/OSTF1/ITM2C/COL6A3/CAV1/NME2/ICAM2/LTBP4",44
"2","CD4 TCM","Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-5d-up","Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-5d-up","40/352","271/5027",3.4703232859445e-06,0.00838950654377084,0.00708311247520673,"REXO4/NEDD4/TPP1/IVNS1ABP/PNRC2/MXD4/TMED9/LAMP2/SSR2/BRI3/RNPEP/MRFAP1/F5/PLCG1/MAP3K12/IL2RG/TMED10/FCGRT/SDF2L1/LRP1/PDIA4/FLNA/TMEM50A/HERPUD1/CCNT2/LAPTM5/SMPD1/XDH/FTH1/CDC42/DUSP7/OSTF1/KCNA2/ITM2C/TMEM97/PHLDA3/CAV1/RHOG/PPP1R9B/LTBP4",40
"3","CD4 TCM","Digitonin-75 mg/kg in Corn Oil-Rat-Heart-1d-dn","Digitonin-75 mg/kg in Corn Oil-Rat-Heart-1d-dn","39/352","274/5027",1.13227318556653e-05,0.0142745655761724,0.0120517640677944,"SLC38A2/HTRA3/NEK9/YBX1/NEDD4/MXD4/HMGB1/TMED9/UGP2/BRI3/VEGFB/MRFAP1/PLCG1/ANP32E/STAT3/PRPS1/CALM3/HK1/BCR/DUSP2/ARID2/GPC1/PRKAR1A/HSPE1/NAPA/CLPX/CDC42/HAND1/DUSP7/DDC/INPP5A/SERPINH1/MRPS7/CAV1/NME2/UCP2/PPP1R9B/TSC22D3/LTBP4",39
"4","CD4 TCM","Fenofibrate-430 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","Fenofibrate-430 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","42/352","305/5027",1.1809361386699e-05,0.0142745655761724,0.0120517640677944,"TRIM35/SLC38A2/TPM1/ARL6IP5/RCN3/TFRC/NDUFV2/YWHAG/TMED9/COL1A1/SSR2/IDH3A/RNPEP/KLHL5/MRFAP1/CD48/CALM3/AKT1/EIF2S2/FLNA/EHD2/TMEM50A/ARID2/EIF4G2/LGALS1/GPC1/SMYD2/ANXA1/SMPD1/CDC42/HTRA1/OSTF1/AHDC1/KCNA2/ITM2C/SERPINH1/PFDN1/COL6A3/CAV1/NME2/LTBP4/GNB1",42
"5","CD4 TCM","Dexfenfluramine-29 mg/kg in Water-Rat-Heart-3d-dn","Dexfenfluramine-29 mg/kg in Water-Rat-Heart-3d-dn","40/352","289/5027",1.71687235389629e-05,0.0166021556621771,0.0140169073440206,"TPM1/TFRC/PTGFRN/NDUFV2/LGALS3BP/MXD4/VEGFB/RNPEP/MRFAP1/PLCG1/TRAP1/ACADVL/CD48/CALM3/HK1/HABP4/AKT1/DUSP2/FLNA/EHD2/ARID2/TMOD3/CCNT2/LGALS1/ANXA1/SMPD1/FTH1/CDC42/HAND1/DUSP7/ITM2C/PFDN1/COL6A3/CAV1/NME2/UCP2/PPP1R9B/PODXL/LTBP4/GNB1",40
"6","CD4 TCM","Chlordiazepoxide-196 mg/kg in Water-Rat-Heart-5d-dn","Chlordiazepoxide-196 mg/kg in Water-Rat-Heart-5d-dn","41/352","304/5027",2.51692832313415e-05,0.0192626390965206,0.0162631066056293,"TPM1/HTRA3/YBX1/UBQLN1/ADAM10/LGALS3BP/MXD4/HMGB1/CTBP1/MRFAP1/PLCG1/ANP32E/STAT3/MRPL43/PHLDB1/PRPS1/TRAP1/TRPC4AP/ACADVL/CALM3/HK1/PKIG/LRP1/EHD2/USP2/ARID2/NFE2L1/GPC1/HSPE1/NAPA/UHRF2/CLPX/CDC42/DUSP7/HTRA1/INPP5A/COL6A3/PHLDA3/NME2/LTBP4/HIP1R",41
"7","CD4 TCM","Lovastatin-1500 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","Lovastatin-1500 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","40/352","296/5027",3.04004517874097e-05,0.0192626390965206,0.0162631066056293,"TRIM35/TPM1/ARL6IP5/RCN3/TFRC/YWHAG/TMED9/COL1A1/SSR2/UGP2/BRI3/RNPEP/KLHL5/BAG3/MRFAP1/STAT3/HSPA8/CALM3/PXMP4/MRPL27/LRP1/FLNA/ARID2/LGALS1/GPC1/NOV/ANXA1/SMPD1/FTH1/OSTF1/KCNA2/ITM2C/SERPINH1/PFDN1/COL6A3/CAV1/NME2/TBX1/LTBP4/GNB1",40
"8","CD4 TCM","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","41/352","307/5027",3.18719985051013e-05,0.0192626390965206,0.0162631066056293,"TGOLN2/NEDD4/RCN3/LGALS3BP/MXD4/TMED9/COL1A1/SSR2/BRI3/MRFAP1/PLCG1/STAT3/IL2RG/TMED10/HSPA8/FCGRT/ESD/LRP1/FLNA/EHD2/TMEM50A/RASSF5/LGALS1/GPC1/LAPTM5/MIF/HSPE1/SMPD1/UHRF2/FTH1/CDC42/HAND1/HTRA1/LCP1/ITM2C/COL6A3/PHLDA3/NME2/RHOG/GNB1/NPY",41
"9","CD4 TCM","Droperidol-94 mg/kg in CMC-Rat-Heart-5d-dn","Droperidol-94 mg/kg in CMC-Rat-Heart-5d-dn","42/352","321/5027",4.16429935798057e-05,0.0197772573133778,0.0166975896938506,"TPM1/ARL6IP5/YBX1/NEDD4/TFRC/PTGFRN/PNRC2/LGALS3BP/MXD4/TMED9/CTBP1/PPIF/BRI3/RNPEP/ANP32E/PRPS1/CD48/HK1/AKT1/JUN/FLNA/TMEM50A/PER1/ARID2/GPC1/PRKAR1A/ANXA1/SMPD1/PGM2/FTH1/CLPX/CDC42/DUSP7/OSTF1/INPP5A/ITM2C/MRPS7/COL6A3/CAV1/NME2/LTBP4/HIP1R",42
"10","CD4 TCM","Digitonin-75 mg/kg in Corn Oil-Rat-Heart-3d-dn","Digitonin-75 mg/kg in Corn Oil-Rat-Heart-3d-dn","35/352","249/5027",4.30387278511387e-05,0.0197772573133778,0.0166975896938506,"TRIM35/SLC38A2/TGOLN2/YBX1/NEDD4/MXD4/TMED9/CTBP1/BRI3/RNPEP/MRFAP1/PLCG1/ANP32E/ACADVL/CALM3/AKT1/DUSP2/FLNA/ARID2/NFE2L1/ETS1/CCNT2/GPC1/PMPCA/SMPD1/FTH1/CLPX/CDC42/HAND1/DUSP7/DDC/AHDC1/KCNA2/INPP5A/LTBP4",35
