"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","BMI1 DN MEL18 DN.V1 UP","BMI1 DN MEL18 DN.V1 UP","47/1836","145/11250",1.17825615506133e-06,0.000222690413306591,0.000186040445535999,"ARNTL2/C3AR1/LCP1/CSF2/ATP13A2/ANXA3/TMEM51/WEE1/ARL4A/VEGFC/ITGB6/ZEB2/GADD45A/TNFRSF8/STX1A/CLDN1/COL7A1/CSPG4/MMP7/BST1/KIF21B/SLC1A4/TGFB2/ZNF639/TRIB3/TNFSF9/KCNN3/VLDLR/PLAT/NT5E/IL7R/FAP/ITGB8/MICALL1/HAPLN1/PSAT1/BMP5/APBB2/PIK3CG/MARCH3/VNN1/MGLL/ADAM19/PODXL/ITGA5/INHBA/TRIO",47
"2","CD14 Mono","PIGF UP.V1 UP","PIGF UP.V1 UP","52/1836","191/11250",8.33430690708477e-05,0.00787592002719511,0.00657971597927745,"MARK2/ADAM9/TNFSF10/STK38L/CEP350/MAFK/CPD/ARL4A/RNF13/RFK/PHF3/RASGRP3/RNF6/MKLN1/AMPH/PHEX/SCAF11/SREK1/DNAJB9/STAM2/OSBPL8/PPIG/BCLAF1/KIAA0040/MMRN1/SAT1/MMP10/HIF1A/RCBTB2/MTF2/PGAP1/AKAP9/ARMCX2/DZIP1/SOCS5/REV3L/RPGR/HNRNPA3/SLC33A1/ZC3H14/SYNE2/ABCE1/NEK7/NRCAM/COL8A1/AIMP1/AHCYL2/ZZZ3/CREB1/ASCC3/NAT1/DCP2",52
"3","CD14 Mono","STK33 NOMO UP","STK33 NOMO UP","72/1836","294/11250",0.000172668493124606,0.0108781150668502,0.00908781542761085,"MAFF/THBD/C3AR1/CD300C/PANX1/MTMR9/MANBAL/OTUD1/DAB2/CXCL2/UPP1/OLR1/GPRIN3/GDF15/ARID5B/ARRDC3/RASGRP3/A2M/DENND1B/IL1R2/HNMT/ZEB2/BBS12/PTPN3/CGRRF1/ZMYND11/STAM2/KCNJ2/TNFSF15/CNIH3/DUSP1/SCG2/SOS1/MMP10/RAB8B/MAP4K3/IRS1/STX6/ARL5B/DDIT4L/LACC1/CSRNP1/GPR137B/KCTD3/UBE2W/ANKRD12/FCRLB/GPNMB/SIPA1L2/IL7R/LCOR/COL6A3/STK17B/DPY19L4/CADM1/BTG3/GPATCH2/ADAM28/KBTBD8/IL1B/HECTD2/FCHO2/CXCL3/SETBP1/CLEC7A/FOXQ1/SLC24A3/WHAMM/ZIC2/SEMA4D/VWA5A/KYNU",72
"4","CD14 Mono","BMI1 DN.V1 UP","BMI1 DN.V1 UP","40/1836","147/11250",0.000531328687538593,0.0179122685647646,0.0149643012236964,"DHRS3/C3AR1/LCP1/CSF2/PANX1/ATP13A2/ANXA3/TMEM51/VEGFC/ITGB6/TNFRSF8/STX1A/CLDN1/COL7A1/CSPG4/MMP7/BST1/SLC1A4/TGFB2/MICB/TNFSF9/VLDLR/PLAT/NT5E/IL7R/SLCO4A1/FAP/LRIG1/ITGB8/KRT17/HAPLN1/NOV/BMP5/KCNC4/MARCH3/VNN1/PODXL/ITGA5/INHBA/TRIO",40
"5","CD14 Mono","LTE2 UP.V1 DN","LTE2 UP.V1 DN","50/1836","196/11250",0.000608011770514667,0.0179122685647646,0.0149643012236964,"NOTCH1/USP25/AMIGO2/COL9A3/EIF2AK2/PSPC1/ANXA3/PDLIM3/PEG10/PRSS23/GTF2I/ZNF43/RNF6/PRKAR2B/OAS1/CASP8/SAMHD1/MYO10/INPP5F/KAZN/MATN2/FHL2/FTO/GADD45A/LPGAT1/PTGES/LGALS3BP/BCL2L11/SLC16A7/GFRA1/CA12/MICB/IGF1R/TRIM14/RHOBTB3/WIPF1/LAMA3/IFI44/MGP/SATB2/BTG3/ELF4/PSAT1/GCA/ALG13/CHN1/SLC24A3/TFAP2A/JAK2/DTNA",50
"6","CD14 Mono","P53 DN.V1 DN","P53 DN.V1 DN","49/1836","192/11250",0.000678945720007213,0.0179122685647646,0.0149643012236964,"CDKN1A/THBD/CTSZ/SOX4/CD1D/ST8SIA1/PDE4B/OAS1/TM4SF4/AKR1B1/NEFL/NINJ1/ZFYVE16/MMP7/TRIM22/RHOQ/GFRA1/CA12/GLDC/CDH1/IGFBP7/MYO5A/APOC1/TNFSF9/ESM1/GPR137B/CTSK/ABCA4/CA2/VLDLR/STOM/FXYD2/GPNMB/KBTBD11/NAV3/CD247/VGF/IFFO1/LAMA1/AJAP1/FAM50B/PLCB4/SLC6A15/SLC24A5/NRCAM/CASP1/SLC19A2/MGLL/NCALD",49
"7","CD14 Mono","TBK1.DF DN","TBK1.DF DN","68/1836","287/11250",0.000692697460007278,0.0179122685647646,0.0149643012236964,"HIPK3/GNPDA1/SEMA3C/IRF2/INSIG2/ALDH9A1/MFSD6/ERAP1/DENND1B/MTA1/PLEKHA2/ROCK2/CDCA4/ITGB6/ARMC1/SCAF11/SLC39A8/EXPH5/SMURF2/PTGES/UGGT1/SEC63/LMO4/RALA/USP22/PPIG/NSMAF/SLC6A8/CDK6/GTF2A1/SLC35A5/GALNT7/DCK/AKAP9/EHF/RPAP3/KCTD3/CHMP2B/GALNT11/UBE2W/STOM/BLMH/DICER1/PKP4/MTAP/SPIN1/ZNHIT6/GAS1/PDGFA/TEAD1/RFX7/ZNF395/BNIP2/POLR3B/NEK7/HMBOX1/FNBP1L/MTR/DSC3/SERPINE2/ZZZ3/GALNT3/SLC25A13/TSPAN5/ATP6AP2/SPRY2/ZNF654/DCP2",68
"8","CD14 Mono","STK33 UP","STK33 UP","69/1836","293/11250",0.000758191262000619,0.0179122685647646,0.0149643012236964,"MAFF/CDKN1A/TFPI/THBD/PANX1/MTMR9/MANBAL/OTUD1/CXCL2/UPP1/OLR1/GPRIN3/GDF15/CPEB2/ARID5B/FCAMR/ARRDC3/RASGRP3/CD101/HNMT/ZEB2/BBS12/ZMYND11/STAM2/KCNJ2/TNFSF15/CNIH3/CLDN1/CYBRD1/ADORA3/DUSP1/SCG2/SOS1/MAP4K3/STX6/ARL5B/TMEM71/ASB2/CSRNP1/GPR137B/TP53INP1/UBE2W/ANKRD12/SIPA1L2/SNX16/LCOR/RTN1/COL6A3/TLR10/ITGB8/DPY19L4/BTG3/GPATCH2/NOV/ADAM28/KBTBD8/IL1B/PPP1R17/FNBP1L/FCHO2/CXCL3/RGS1/SETBP1/FOXQ1/ANKRD40/SOCS6/VWA5A/BMF/KYNU",69
"9","CD14 Mono","MEL18 DN.V1 UP","MEL18 DN.V1 UP","38/1836","141/11250",0.000881646126775895,0.0185145686622938,0.015467475908349,"C3AR1/LCP1/CSF2/ATP13A2/TMEM51/STEAP3/VEGFC/TNFRSF8/STX1A/CLDN1/COL7A1/CSPG4/MMP7/KIF21B/SLC1A4/CA12/TGFB2/MICB/CD83/TNFSF9/KCNN3/GPR3/VLDLR/PLAT/ENTPD6/NT5E/IL7R/LPL/SLCO4A1/FAP/LRIG1/ITGB8/SUN2/VNN1/ADAM19/ITGA5/DDX11/INHBA",38
"10","CD14 Mono","RB P130 DN.V1 DN","RB P130 DN.V1 DN","37/1836","139/11250",0.00130764265146015,0.0238791689651335,0.0199491804219996,"AVL9/TYW5/GNS/COPB1/OLR1/GLO1/RASA1/CD1D/FBXO28/CHMP1B/MORC3/TXLNG/ERAP1/HTRA1/LAMP2/LAMP1/KIF16B/GADD45A/RNASET2/ASB13/SCEL/RAB8B/AKAP9/DNAJC1/CTSK/ATP9B/LLPH/CXCL12/SH3BP5L/BNC1/IFITM10/ABCG2/CTSC/GABRP/DSP/ATP6AP2/ARRDC4",37
