"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","epidermolysis bullosa","epidermolysis bullosa","23/248","90/2178",9.97540598592539e-05,0.00802730932268878,0.000406674831996617,"POU2F1/ITGA6/ITGB4/COL7A1/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/LAMA3/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/DSP/LAMC2/PIK3R1",23
"2","CD14 Mono","gastric cancer","gastric cancer","22/248","87/2178",0.000168422185151746,0.00802730932268878,0.000406674831996617,"POU2F1/MUTYH/IRF1/FGFR2/GTF2B/CDH1/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/TSHR/AXIN2/DRD2/ADORA2A/IL1B/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",22
"3","CD14 Mono","breast cancer","breast cancer","25/248","105/2178",0.00017154467196605,0.00802730932268878,0.000406674831996617,"POU2F1/ESR1/CASP8/RB1CC1/GTF2B/CDH1/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/BRCA2/BARD1/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/BRIP1/ARHGEF4/TFAP2A/CREB1/JAK2/ATM/PIK3R1",25
"4","CD14 Mono","myocardial infarction","myocardial infarction","23/248","93/2178",0.000171707151287461,0.00802730932268878,0.000406674831996617,"THBD/POU2F1/OLR1/PSMA6/ESR1/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/TSHR/AXIN2/DRD2/ADORA2A/TNFSF4/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/GCLM/PIK3R1",23
"5","CD14 Mono","diabetes mellitus, type 2","diabetes mellitus, type 2","24/248","106/2178",0.000524311217176804,0.0143471700950135,0.000726847907993929,"UCP3/INSR/POU2F1/RETN/GTF2B/IRS1/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/TSHR/CDKAL1/AXIN2/WFS1/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/TCF7L2/JAK2/PIK3R1",24
"6","CD14 Mono","long qt syndrome","long qt syndrome","21/248","88/2178",0.000562267152705379,0.0143471700950135,0.000726847907993929,"POU2F1/SCN4B/KCNJ2/KCNE1/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/KCNQ1/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",21
"7","CD14 Mono","obesity","obesity","24/248","107/2178",0.000607492905916808,0.0143471700950135,0.000726847907993929,"UCP3/POU2F1/PCSK1/AGRP/SIM1/FTO/LEPR/GTF2B/IGF1R/IQGAP1/MC4R/VIPR1/NR2F1/PTGIR/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",24
"8","CD14 Mono","infections","infections","20/248","83/2178",0.000667039971647601,0.0143471700950135,0.000726847907993929,"POU2F1/MBL2/NKAIN2/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/RPGR/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",20
"9","CD14 Mono","glycogen storage disease","glycogen storage disease","21/248","90/2178",0.000775556938239937,0.0143471700950135,0.000726847907993929,"POU2F1/GBE1/LAMP2/PRKAG2/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/GYS2/TFAP2A/CREB1/JAK2/PIK3R1",21
"10","CD14 Mono","neutropenia","neutropenia","20/248","84/2178",0.000787014681447025,0.0143471700950135,0.000726847907993929,"POU2F1/G6PC3/GTF2B/WAS/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/GFI1/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",20
"11","CD14 Mono","ceroid-lipofuscinosis, neuronal","ceroid-lipofuscinosis, neuronal","20/248","85/2178",0.000925177313970724,0.0143471700950135,0.000726847907993929,"POU2F1/TPP1/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/MFSD8/CLN8/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",20
"12","CD14 Mono","hepatocellular carcinoma","hepatocellular carcinoma","20/248","85/2178",0.000925177313970724,0.0143471700950135,0.000726847907993929,"POU2F1/CASP8/MET/GTF2B/IGF2R/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/TSHR/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",20
"13","CD14 Mono","cholesterol level","cholesterol level","21/248","92/2178",0.00105559220110983,0.0143471700950135,0.000726847907993929,"POU2F1/HMGCR/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/PTGIR/LPL/TSHR/PLTP/AXIN2/DRD2/ADORA2A/ADCY2/ARHGEF4/VNN1/TFAP2A/CREB1/JAK2/PIK3R1",21
"14","CD14 Mono","immunodeficiency","immunodeficiency","23/248","105/2178",0.00112411222777433,0.0143471700950135,0.000726847907993929,"POU2F1/IKBKG/RAG2/PTPRC/GTF2B/IGF1R/IQGAP1/VIPR1/NR2F1/CD3E/PTGIR/IL7R/TSHR/AXIN2/CD247/DRD2/ADORA2A/ADCY2/ARHGEF4/TFAP2A/CREB1/JAK2/PIK3R1",23
