"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","Interleukin-4 regulation of apoptosis","Interleukin-4 regulation of apoptosis","67/1441","267/9813",4.14944566484016e-06,0.00499593258046755,0.00485266750909202,"CDKN1A/TFPI/MXD1/ALOX5/TNFSF10/ITGAM/CXCL2/UPP1/CH25H/POU4F1/LTB4R/UBL3/ARHGAP25/MCM3/ARID5B/CD1C/RASGRP3/ST8SIA1/CITED2/TIMP2/ST6GAL1/DKK2/AMN/DST/SLC39A8/COBLL1/MET/IL18/RSAD2/HSPA8/BCL2L11/SOS1/TNS1/ALX1/CCL23/FCER1G/RDX/CA2/MYC/LAMA3/KIT/CYTH1/SATB1/IL7R/FKBP5/LPL/XCL1/GBP2/PCDH7/GAS1/LRRN3/ABCD3/STK17B/IL6/ARHGAP32/SLC38A1/TNIK/KLF15/EGLN3/PIK3CG/CTSC/GNAI1/MAD2L1/CYSLTR2/ENOX2/INHBA/IL4R",67
"2","CD14 Mono","Signaling by insulin receptor","Signaling by insulin receptor","32/1441","109/9813",5.98173218334294e-05,0.0360100277437245,0.0349773918720737,"INSR/EIF4E/PRKAG3/THEM4/MAP2K1/ATP6V1A/ATP6V0D2/FGF18/MAPK1/ATP6V0B/EEF2K/FGFR2/PRKAG2/SOS1/ATP6V0D1/IRS1/ATP6V1E2/TRIB3/CAB39/PIK3C3/FGF20/FGF5/SHC3/ATP6V0A1/ATP6V1H/FGF3/FGF7/KL/CDK1/FGF6/PPM1A/GAB1",32
"3","CD4 Naive","Nitric oxide metabolism","Nitric oxide metabolism","7/530","17/9813",1.559414705366e-05,0.0157656826712503,0.015249434329316,"DHFR/PRKG2/WASL/CAV1/HSP90AA1/SPR/NOSTRIN",7
"4","CD4 TCM","TSH regulation of gene expression","TSH regulation of gene expression","19/697","97/9813",4.23989801112189e-05,0.0199909286640007,0.0180452171473613,"RGS2/HMGB1/LRRN3/VEGFB/RGS16/NR4A1/PHLDB1/TG/PDE2A/PDIA4/DUSP2/PGF/JUN/NFKBIE/GADD45B/PTPRF/AHR/TP53BP2/CAV1",19
"5","CD4 TCM","Fas signaling pathway","Fas signaling pathway","21/697","115/9813",5.08889069397309e-05,0.0199909286640007,0.0180452171473613,"FASLG/BIRC2/PIK3CB/PLEC/IKBKB/BIRC3/PAK2/MAP3K12/DAXX/PRKDC/AKT1/CUX1/MAP2K7/BAK1/CASP10/CSNK1G2/FADD/AGFG1/SMPD1/MAPK11/FAS",21
"6","CD4 TCM","p38 MK2 pathway","p38 MK2 pathway","8/697","21/9813",5.51220459485314e-05,0.0199909286640007,0.0180452171473613,"RAF1/YWHAG/MAPKAPK3/SFN/CREB1/MAPK11/YWHAB/YWHAZ",8
"7","CD4 TCM","Myometrial relaxation and contraction pathways","Myometrial relaxation and contraction pathways","25/697","155/9813",8.75997498609182e-05,0.020705063870923,0.0186898457735789,"RGS2/YWHAG/RGS20/PKIA/RGS9/PLCG1/RGS16/RGS14/CALM3/PKIG/PRKCE/GNG4/JUN/RGS3/SFN/SLC8A1/CREB1/RYR1/PRKAR1A/GNB2/YWHAB/CALD1/GNG2/GRK5/YWHAZ",25
"8","CD4 TCM","Calcium regulation in the cardiac cell","Calcium regulation in the cardiac cell","24/697","149/9813",0.000123200743727281,0.020705063870923,0.0186898457735789,"RGS2/YWHAG/RGS20/PKIA/RGS9/RGS16/RGS14/CALM3/PKIG/PRKCE/GNG4/RGS3/SFN/SLC8A1/ATP2B3/CHRM1/RYR1/PRKAR1A/GNB2/YWHAB/CACNA1E/GNG2/GRK5/YWHAZ",24
"9","CD4 TCM","Nuclear beta-catenin signaling and target gene transcription regulation","Nuclear beta-catenin signaling and target gene transcription regulation","16/697","80/9813",0.000130200138610666,0.020705063870923,0.0186898457735789,"CCND1/YWHAG/CTBP1/SSPO/JUN/TBL1X/SFN/NCOA2/MDFIC/HBP1/YWHAB/BCL9/CDH1/TLE2/PITX2/YWHAZ",16
"10","CD4 TCM","PI3K/PLC/TRK pathway","PI3K/PLC/TRK pathway","10/697","36/9813",0.000142880734565984,0.020705063870923,0.0186898457735789,"CCND1/YWHAG/PLCG1/AKT1/SFN/TRPC3/CREB1/GSK3B/YWHAB/YWHAZ",10
"11","CD4 TCM","Tumor necrosis factor (TNF) pathway","Tumor necrosis factor (TNF) pathway","9/697","30/9813",0.000160845093673308,0.020705063870923,0.0186898457735789,"IKBKE/BIRC2/IKBKB/BIRC3/MAP2K7/JUN/FADD/AGFG1/NFKBIA",9
"12","CD4 TCM","Neurotrophin signaling pathway","Neurotrophin signaling pathway","21/697","126/9813",0.000197654441572592,0.020705063870923,0.0186898457735789,"RAF1/FASLG/PIK3CB/YWHAG/IKBKB/TP73/PLCG1/CALM3/AKT1/MAP2K7/JUN/RPS6KA1/NFKBIE/NTF4/GSK3B/MAPK11/SH2B2/YWHAB/NFKBIA/CDC42/YWHAZ",21
