"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD4 TCM","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Heart-3d-dn","Hydrocortisone-56 mg/kg in Corn Oil-Rat-Heart-3d-dn","39/280","279/5027",4.7534162705978e-08,0.000229827676683404,0.00019664132572052,"TPM1/HTRA3/YBX1/RCN3/HMGB1/TMED9/UGP2/BRI3/RNPEP/BAG3/PLCG1/TGFB3/TM9SF2/PHLDB1/HSPA8/XPO7/CALM3/AKT1/FLNA/EHD2/TMEM50A/TMOD3/ETS1/CCNT2/GPC1/PRKAR1A/HSPE1/ANXA1/FTH1/ADA/CDC42/HTRA1/OSTF1/ITM2C/COL6A3/CAV1/NME2/ICAM2/LTBP4",39
"2","CD4 TCM","Lovastatin-1500 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","Lovastatin-1500 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","36/280","296/5027",5.05867941864937e-06,0.0122046590603291,0.0104423469454294,"TPM1/ARL6IP5/RCN3/TFRC/YWHAG/TMED9/COL1A1/UGP2/BRI3/RNPEP/KLHL5/BAG3/MRFAP1/STAT3/HSPA8/CALM3/PXMP4/MRPL27/LRP1/FLNA/ARID2/LGALS1/GPC1/NOV/ANXA1/SMPD1/FTH1/OSTF1/ITM2C/SERPINH1/PFDN1/COL6A3/CAV1/NME2/TBX1/LTBP4",36
"3","CD4 TCM","Chlordiazepoxide-196 mg/kg in Water-Rat-Heart-5d-dn","Chlordiazepoxide-196 mg/kg in Water-Rat-Heart-5d-dn","36/280","304/5027",9.36755250445046e-06,0.0122046590603291,0.0104423469454294,"TPM1/HTRA3/YBX1/UBQLN1/ADAM10/LGALS3BP/HMGB1/CTBP1/MRFAP1/PLCG1/ANP32E/STAT3/MRPL43/PHLDB1/TRAP1/TRPC4AP/CALM3/HK1/PKIG/LRP1/EHD2/USP2/ARID2/GPC1/HSPE1/NAPA/UHRF2/CLPX/CDC42/DUSP7/HTRA1/COL6A3/PHLDA3/NME2/LTBP4/HIP1R",36
"4","CD4 TCM","Fenofibrate-430 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","Fenofibrate-430 mg/kg in Corn Oil-Rat-Skeletal muscle-3d-dn","36/280","305/5027",1.00969257996518e-05,0.0122046590603291,0.0104423469454294,"TPM1/ARL6IP5/RCN3/TFRC/NDUFV2/YWHAG/TMED9/COL1A1/IDH3A/RNPEP/KLHL5/MRFAP1/CALM3/AKT1/EIF2S2/FLNA/EHD2/TMEM50A/ARID2/EIF4G2/LGALS1/GPC1/SMYD2/ANXA1/SMPD1/CDC42/HTRA1/OSTF1/AHDC1/ITM2C/SERPINH1/PFDN1/COL6A3/CAV1/NME2/LTBP4",36
"5","CD4 TCM","Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-5d-up","Lomustine-8.75 mg/kg in Corn Oil-Rat-Spleen-5d-up","33/280","271/5027",1.26691405643947e-05,0.0122510589257696,0.0104820468248571,"REXO4/TPP1/IVNS1ABP/PNRC2/TMED9/LAMP2/BRI3/RNPEP/MRFAP1/F5/PLCG1/MAP3K12/TMED10/FCGRT/LRP1/PDIA4/FLNA/TMEM50A/HERPUD1/CCNT2/LAPTM5/SMPD1/FTH1/CDC42/DUSP7/OSTF1/ITM2C/TMEM97/PHLDA3/CAV1/RHOG/PPP1R9B/LTBP4",33
"6","CD4 TCM","Beta-Estradiol-150 mg/kg in Corn Oil-Rat-Skeletal muscle-5d-dn","Beta-Estradiol-150 mg/kg in Corn Oil-Rat-Skeletal muscle-5d-dn","38/280","337/5027",1.64198763545558e-05,0.0132316836957129,0.0113210726444569,"TPM1/REXO4/ARL6IP5/RCN3/TFRC/YWHAG/TMED9/COL1A1/UGP2/IDH3A/RNPEP/BAG3/MRFAP1/TMED10/HSPA8/CALM3/MRPL27/AKT1/FLNA/EHD2/TMEM50A/ARID2/LGALS1/GPC1/HSPE1/ANXA1/SMPD1/FTH1/CDC42/HTRA1/OSTF1/AHDC1/ITM2C/SERPINH1/PFDN1/COL6A3/CAV1/LTBP4",38
"7","CD4 TCM","Dexfenfluramine-29 mg/kg in Water-Rat-Heart-3d-dn","Dexfenfluramine-29 mg/kg in Water-Rat-Heart-3d-dn","34/280","289/5027",1.95625217707354e-05,0.0135121132516437,0.0115610091066151,"TPM1/TFRC/NDUFV2/LGALS3BP/VEGFB/RNPEP/MRFAP1/PLCG1/TRAP1/CALM3/HK1/HABP4/AKT1/DUSP2/FLNA/EHD2/ARID2/TMOD3/CCNT2/LGALS1/ANXA1/SMPD1/FTH1/CDC42/HAND1/DUSP7/ITM2C/PFDN1/COL6A3/CAV1/NME2/PPP1R9B/PODXL/LTBP4",34
"8","CD4 TCM","Digitonin-75 mg/kg in Corn Oil-Rat-Heart-1d-dn","Digitonin-75 mg/kg in Corn Oil-Rat-Heart-1d-dn","32/280","274/5027",4.06026001000328e-05,0.0224568106658085,0.0192141220087362,"HTRA3/NEK9/YBX1/HMGB1/TMED9/UGP2/BRI3/VEGFB/MRFAP1/PLCG1/ANP32E/STAT3/CALM3/HK1/BCR/DUSP2/ARID2/GPC1/PRKAR1A/HSPE1/NAPA/CLPX/CDC42/HAND1/DUSP7/DDC/SERPINH1/MRPS7/CAV1/NME2/PPP1R9B/LTBP4",32
"9","CD4 TCM","Fluocinolone Acetonide-2.5 mg/kg in Corn Oil-Rat-Heart-3d-dn","Fluocinolone Acetonide-2.5 mg/kg in Corn Oil-Rat-Heart-3d-dn","34/280","301/5027",4.61297319175475e-05,0.0224568106658085,0.0192141220087362,"TPM1/HTRA3/YBX1/TMED9/UGP2/PPIF/BRI3/RNPEP/BAG3/PLCG1/TGFB3/TM9SF2/MRPL27/AKT1/FLNA/EHD2/TMOD3/ETS1/CCNT2/GPC1/PRKAR1A/HSPE1/SMPD1/CDC42/HAND1/DUSP7/AHDC1/ITM2C/SERPINH1/COL6A3/CAV1/NME2/PODXL/LTBP4",34
"10","CD4 TCM","Allyl Alcohol-16 mg/kg in Saline-Rat-Kidney-3d-dn","Allyl Alcohol-16 mg/kg in Saline-Rat-Kidney-3d-dn","32/280","281/5027",6.69498136354249e-05,0.0224568106658085,0.0192141220087362,"PTGDS/TPP1/TMED9/UGP2/BRI3/RNPEP/MRFAP1/PLCG1/TMED10/XPO7/PXMP4/HK1/BCR/PKIG/FLNA/TMEM50A/COPB1/EIF4G2/SLC35B3/HSPE1/ANXA1/SMPD1/SOSTDC1/FTH1/CLPX/CDC42/LMBRD1/DUSP7/DDC/OSTF1/ITM2C/PFDN1",32
"11","CD4 TCM","Haloperidol-21 mg/kg in Corn Oil-Rat-Heart-5d-up","Haloperidol-21 mg/kg in Corn Oil-Rat-Heart-5d-up","38/280","359/5027",6.83893641198846e-05,0.0224568106658085,0.0192141220087362,"HTRA3/ARL6IP5/FBXO11/UBQLN1/IVNS1ABP/TMED9/BRI3/BAG3/MRFAP1/PLCG1/ANP32E/STAT3/MRPL43/CYB561/TMED10/CALM3/PKIG/NAP1L4/FLNA/HERPUD1/FKBP5/USP2/ARID2/LGALS1/GPC1/ATP6V1H/NOV/ANXA1/SMPD1/NAPA/FTH1/CDC42/DUSP7/HTRA1/ITM2C/COL6A3/SLC7A6/LTBP4",38
"12","CD4 TCM","Flavoxate-1255 mg/kg in CMC-Rat-Heart-5d-dn","Flavoxate-1255 mg/kg in CMC-Rat-Heart-5d-dn","34/280","307/5027",6.92022546901594e-05,0.0224568106658085,0.0192141220087362,"HTRA3/ARL6IP5/RCN3/TFRC/LGALS3BP/CTBP1/PPIF/IDH3A/VEGFB/RNPEP/CALM3/HK1/PKIG/HABP4/AKT1/NAP1L4/EHD2/ARID2/LGALS1/HSPE1/ANXA1/NAPA/UHRF2/CDC42/HTRA1/AHDC1/ITM2C/MRPS7/PFDN1/COL6A3/CAV1/NME2/PODXL/LTBP4",34
"13","CD4 TCM","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","34/280","307/5027",6.92022546901594e-05,0.0224568106658085,0.0192141220087362,"TGOLN2/RCN3/LGALS3BP/TMED9/COL1A1/BRI3/MRFAP1/PLCG1/STAT3/TMED10/HSPA8/FCGRT/LRP1/FLNA/EHD2/TMEM50A/RASSF5/LGALS1/GPC1/LAPTM5/MIF/HSPE1/SMPD1/UHRF2/FTH1/CDC42/HAND1/HTRA1/ITM2C/COL6A3/PHLDA3/NME2/RHOG/NPY",34
