"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","BMI1 DN MEL18 DN.V1 UP","BMI1 DN MEL18 DN.V1 UP","44/1694","145/11250",2.04218246464751e-06,0.000385972485818379,0.000326749194343601,"ARNTL2/C3AR1/LCP1/CSF2/ATP13A2/ANXA3/TMEM51/WEE1/ARL4A/VEGFC/ITGB6/ZEB2/GADD45A/TNFRSF8/CLDN1/COL7A1/CSPG4/MMP7/BST1/KIF21B/SLC1A4/TGFB2/ZNF639/TRIB3/VLDLR/PLAT/NT5E/IL7R/FAP/ITGB8/MICALL1/HAPLN1/PSAT1/BMP5/APBB2/PIK3CG/MARCH3/VNN1/MGLL/ADAM19/PODXL/ITGA5/INHBA/TRIO",44
"2","CD14 Mono","PIGF UP.V1 UP","PIGF UP.V1 UP","51/1694","191/11250",1.93916989889678e-05,0.00183251555445746,0.00155133591911742,"MARK2/ADAM9/TNFSF10/STK38L/CEP350/MAFK/CPD/ARL4A/RFK/PHF3/RASGRP3/RNF6/MKLN1/AMPH/PHEX/SCAF11/SREK1/DNAJB9/STAM2/OSBPL8/PPIG/BCLAF1/KIAA0040/MMRN1/SAT1/MMP10/HIF1A/RCBTB2/MTF2/PGAP1/AKAP9/ARMCX2/DZIP1/SOCS5/REV3L/RPGR/HNRNPA3/SLC33A1/ZC3H14/SYNE2/ABCE1/NEK7/NRCAM/COL8A1/AIMP1/AHCYL2/ZZZ3/CREB1/ASCC3/NAT1/DCP2",51
"3","CD14 Mono","TBK1.DF DN","TBK1.DF DN","66/1694","287/11250",0.000205567727876595,0.0129507668562255,0.0109636121534184,"GNPDA1/IRF2/INSIG2/ALDH9A1/MFSD6/ERAP1/DENND1B/MTA1/PLEKHA2/ROCK2/CDCA4/ITGB6/ARMC1/SCAF11/SLC39A8/EXPH5/SMURF2/PTGES/UGGT1/SEC63/LMO4/RALA/USP22/PPIG/NSMAF/SLC6A8/CDK6/GTF2A1/SLC35A5/GALNT7/DCK/AKAP9/EHF/RPAP3/KCTD3/CHMP2B/GALNT11/UBE2W/STOM/BLMH/DICER1/PKP4/MTAP/SPIN1/ZNHIT6/GAS1/PDGFA/TEAD1/RFX7/ZNF395/BNIP2/POLR3B/NEK7/HMBOX1/FNBP1L/MTR/DSC3/SERPINE2/ZZZ3/GALNT3/SLC25A13/TSPAN5/ATP6AP2/SPRY2/ZNF654/DCP2",66
"4","CD14 Mono","LTE2 UP.V1 DN","LTE2 UP.V1 DN","47/1694","196/11250",0.000618461456510503,0.0224445915230812,0.0190007124004921,"NOTCH1/USP25/AMIGO2/COL9A3/EIF2AK2/PSPC1/ANXA3/PDLIM3/PEG10/GTF2I/ZNF43/RNF6/PRKAR2B/OAS1/CASP8/MYO10/KAZN/MATN2/FHL2/FTO/GADD45A/LPGAT1/PTGES/LGALS3BP/BCL2L11/SLC16A7/GFRA1/CA12/MICB/IGF1R/TRIM14/RHOBTB3/WIPF1/LAMA3/IFI44/MGP/SATB2/BTG3/ELF4/PSAT1/GCA/ALG13/CHN1/SLC24A3/TFAP2A/JAK2/DTNA",47
"5","CD14 Mono","STK33 UP","STK33 UP","65/1694","293/11250",0.000647952316263419,0.0224445915230812,0.0190007124004921,"MAFF/CDKN1A/TFPI/THBD/PANX1/MTMR9/MANBAL/OTUD1/CXCL2/UPP1/OLR1/GPRIN3/GDF15/ARID5B/FCAMR/ARRDC3/RASGRP3/CD101/HNMT/ZEB2/BBS12/ZMYND11/STAM2/KCNJ2/TNFSF15/CNIH3/CLDN1/CYBRD1/ADORA3/DUSP1/SCG2/SOS1/MAP4K3/STX6/ARL5B/TMEM71/ASB2/GPR137B/TP53INP1/UBE2W/ANKRD12/SIPA1L2/SNX16/LCOR/RTN1/COL6A3/TLR10/ITGB8/DPY19L4/BTG3/GPATCH2/NOV/ADAM28/KBTBD8/IL1B/PPP1R17/FNBP1L/FCHO2/RGS1/SETBP1/FOXQ1/ANKRD40/SOCS6/VWA5A/BMF",65
"6","CD14 Mono","STK33 NOMO UP","STK33 NOMO UP","65/1694","294/11250",0.000712526715018452,0.0224445915230812,0.0190007124004921,"MAFF/THBD/C3AR1/CD300C/PANX1/MTMR9/MANBAL/OTUD1/DAB2/CXCL2/UPP1/OLR1/GPRIN3/GDF15/ARID5B/ARRDC3/RASGRP3/A2M/DENND1B/IL1R2/HNMT/ZEB2/BBS12/PTPN3/ZMYND11/STAM2/KCNJ2/TNFSF15/CNIH3/DUSP1/SCG2/SOS1/MMP10/RAB8B/MAP4K3/IRS1/STX6/ARL5B/DDIT4L/LACC1/GPR137B/KCTD3/UBE2W/ANKRD12/FCRLB/SIPA1L2/IL7R/LCOR/COL6A3/STK17B/DPY19L4/CADM1/BTG3/GPATCH2/ADAM28/KBTBD8/IL1B/HECTD2/FCHO2/SETBP1/FOXQ1/SLC24A3/WHAMM/ZIC2/VWA5A",65
"7","CD14 Mono","KRAS.600 UP.V1 UP","KRAS.600 UP.V1 UP","63/1694","287/11250",0.00103420950311866,0.0279236565842039,0.023639074356998,"TFPI/CCNJL/GLRX/SCG3/PELI2/HS3ST3B1/SEMA3A/ERC2/FMNL2/RETN/A2M/IL1R2/VEGFC/TMEM158/DUSP4/DYNC1I1/ACOX2/PRL/TNFSF15/CDHR2/FAM174B/GLDC/MMP10/PRDM14/PCDH8/HEY1/MMD/DEFA5/ESM1/KCNK10/SLCO5A1/GFI1/TLR8/KIT/PLAT/SATB1/TRIM2/NAV3/SLIT1/RTN1/SNAP25/DCBLD2/ITGBL1/PLA2G4C/SLC6A15/TAPT1/GBA3/ZP4/KIF5C/PNMA2/NRCAM/CTNND2/ST18/ADAM19/ETV1/SYT1/LDB3/MYF6/RELN/TRIM36/SPRY2/INHBA/ANK3",63
"8","CD14 Mono","P53 DN.V1 DN","P53 DN.V1 DN","45/1694","192/11250",0.00132125245266022,0.0312145891940977,0.0264250490532044,"CDKN1A/THBD/CTSZ/SOX4/ST8SIA1/PDE4B/OAS1/TM4SF4/AKR1B1/NEFL/ZFYVE16/MMP7/TRIM22/RHOQ/GFRA1/CA12/GLDC/CDH1/IGFBP7/MYO5A/APOC1/ESM1/GPR137B/CTSK/ABCA4/CA2/VLDLR/STOM/FXYD2/KBTBD11/NAV3/CD247/VGF/IFFO1/LAMA1/AJAP1/FAM50B/PLCB4/SLC6A15/SLC24A5/NRCAM/CASP1/SLC19A2/MGLL/NCALD",45
"9","CD14 Mono","CAMP UP.V1 DN","CAMP UP.V1 DN","46/1694","200/11250",0.00177003574993741,0.0371707507486856,0.0314673022211095,"RASD2/MTMR9/RAP2A/MPZL3/GNG12/FOSB/EIF4E/GLO1/MED4/ERC2/PLEK/MBD2/SEL1L3/TIMP2/MAPK1/ME1/TMSB4X/SLC2A3/DST/PTPRC/MAP2/UBE2E2/HSPA8/PRDM8/DAG1/CD83/ATP8A1/TTYH3/CALM1/IDS/NFATC2/IL7R/KBTBD11/PAM/PKIA/CDCA7L/USP38/RGS1/PAK3/FSTL1/NAP1L1/TSPAN5/SYPL1/IL4R/INSIG1/USP36",46
"10","CD14 Mono","VEGF A UP.V1 DN","VEGF A UP.V1 DN","44/1694","193/11250",0.00263178117703319,0.0445133730256614,0.0376832787518826,"PRPF40A/ADAM9/AMD1/MAFK/MMP14/MDN1/ZC3H15/RNF6/VEGFC/MKLN1/AMPH/PNO1/SCAF11/BAZ1A/USP13/PPIG/BCLAF1/MMRN1/SAT1/CCL23/PLCL1/MYO5A/CTNNAL1/NR2F1/PGAP1/ARHGAP29/IPO5/ATIC/STEAP1/RPGR/FKBP5/BCL10/EXO1/CHM/PCDH7/IL6/DBF4/NEK7/CACNA2D1/SETBP1/PRMT3/AIMP1/SPTLC2/MAD2L1",44
