"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","1-Naphthyl Isothiocyanate-30 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","28/171","307/5027",1.09743735070368e-06,0.00359429749271921,0.00316997749806902,"LRRFIP1/PRDX1/FOS/KLF4/RHOG/HLA-DMA/BRI3/TAGLN2/STK10/ANPEP/HLA-DMB/PER1/S100A10/VIM/CD74/CD44/BACH1/CSTB/MYADM/ID2/RAN/FTH1/TUBA1B/VDAC2/OSTF1/NINJ1/SULF2/CDC42EP3",28
"2","CD14 Mono","Cisplatin-0.5 mg/kg in Saline-Rat-Kidney-28d-up","Cisplatin-0.5 mg/kg in Saline-Rat-Kidney-28d-up","29/171","330/5027",1.48678283049399e-06,0.00359429749271921,0.00316997749806902,"YWHAH/PRDX1/ARF5/IRF1/RHOG/ANXA5/TAGLN2/STK10/HLA-DMB/CTSL/MARCKSL1/VIM/CD74/CD44/CSTB/MYADM/CSRP1/PLAU/ZFP36L1/LITAF/CTSD/TUBA1B/WARS/OSTF1/NINJ1/GPNMB/LTBP4/ABCB6/SULF2",29
"3","CD14 Mono","Cholecalciferol-8 mg/kg in CMC-Rat-Kidney-5d-up","Cholecalciferol-8 mg/kg in CMC-Rat-Kidney-5d-up","27/171","307/5027",3.55567300175052e-06,0.00573055965448792,0.00505404608073381,"YWHAH/PRDX1/FOS/IRF1/RHOG/ANXA5/TAGLN2/HLA-DMB/CTSL/VIM/MANBA/CD74/CD44/ST3GAL6/CSTB/MYADM/DUSP5/PLAU/ZFP36L1/LITAF/TSEN34/CTSD/TUBA1B/OSTF1/GPNMB/LTBP4/EIF5",27
"4","CD14 Mono","Gentamicin-40 mg/kg in Saline-Rat-Kidney-14d-up","Gentamicin-40 mg/kg in Saline-Rat-Kidney-14d-up","26/171","309/5027",1.23787086377418e-05,0.0149627640658704,0.0131963549188137,"YWHAH/ADI1/PRDX1/ARF5/CCNL1/IRF1/RHOG/HLA-DMA/ANXA5/TAGLN2/HLA-DMB/CTSL/BCAP31/VIM/CD74/CSRP1/PLAU/ZFP36L1/LITAF/CTSD/FTH1/TUBA1B/VDAC2/LTBP4/EIF5/SULF2",26
"5","CD14 Mono","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-up","Doxorubicin-3 mg/kg in Saline-Rat-Bone marrow-3d-up","26/171","324/5027",2.87246334134719e-05,0.026947709168514,0.0237664333188157,"LRRFIP1/YWHAH/IRF1/RHOG/ANXA5/PPIF/BRI3/TAGLN2/STK10/ANPEP/BCAP31/VIM/CD74/CD44/CSTB/MYADM/RAC1/ID2/ZFP36L1/LCP2/MAF/FTH1/OSTF1/NINJ1/GPNMB/CDC42EP3",26
"6","CD14 Mono","Dexamethasone-456 uM in DMSO-Rat-Primary rat hepatocytes-1d-dn","Dexamethasone-456 uM in DMSO-Rat-Primary rat hepatocytes-1d-dn","26/171","332/5027",4.38737440568837e-05,0.026947709168514,0.0237664333188157,"YWHAH/ADI1/PRDX1/IRF1/RHOG/ANXA5/PRDX4/TAGLN2/ANPEP/MARCKSL1/BCAP31/MANBA/USP3/HSD3B7/ST3GAL6/CSTB/MYADM/CSRP1/GCLC/ZFP36L1/TSEN34/TUBA1B/PSMB3/OSTF1/NINJ1/GPNMB",26
"7","CD14 Mono","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","Etoposide-100 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","25/171","316/5027",5.28950269410044e-05,0.026947709168514,0.0237664333188157,"LRRFIP1/YWHAH/FOS/RHOG/BRI3/TAGLN2/STK10/ANPEP/HLA-DMB/BCAP31/VIM/CD74/CD44/CSTB/MYADM/RAC1/ID2/ZFP36L1/LCP2/TSEN34/FTH1/VDAC2/OSTF1/GPNMB/CDC42EP3",25
"8","CD14 Mono","Atorvastatin-300 mg/kg in Corn Oil-Rat-Liver-3d-up","Atorvastatin-300 mg/kg in Corn Oil-Rat-Liver-3d-up","24/171","297/5027",5.39769280756737e-05,0.026947709168514,0.0237664333188157,"YWHAH/ARF5/SQLE/RHOG/ANXA5/PRDX4/BRI3/TAGLN2/ANPEP/CTSL/MANBA/AKR1D1/CD74/EIF2AK4/CSTB/MYADM/CSRP1/ARL2BP/RAN/CTSD/TUBA1B/PSMB3/VDAC2/GPNMB",24
"9","CD14 Mono","Gold Sodium Thiomalate-8 mg/kg in Saline-Rat-Kidney-5d-up","Gold Sodium Thiomalate-8 mg/kg in Saline-Rat-Kidney-5d-up","25/171","317/5027",5.57500294519177e-05,0.026947709168514,0.0237664333188157,"YWHAH/ADI1/PRDX1/FOS/ARF5/ANXA5/STK10/HLA-DMB/SLCO4A1/VIM/MANBA/CD74/CD44/DUSP5/CSRP1/PLAU/ZFP36L1/LITAF/TSEN34/CTSD/VDAC2/GPNMB/LTBP4/SULF2/VDR",25
"10","CD14 Mono","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Spleen-5d-up","Cyclosporin A-350 mg/kg in Corn Oil-Rat-Spleen-5d-up","24/171","300/5027",6.34795352711584e-05,0.026947709168514,0.0237664333188157,"PRDX1/IRF1/KLF4/RHOG/HLA-DMA/ANXA5/BRI3/HLA-DMB/MARCKSL1/BCAP31/VIM/CD44/MYADM/CSRP1/ZFP36L1/MAF/TSEN34/FTH1/TUBA1B/VDAC2/OSTF1/NINJ1/GPNMB/LTBP4",24
