"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","GNF2 MYD88","GNF2 MYD88","11/426","60/10061",3.61623053893416e-05,0.0260730221857153,0.0252755481879187,"IQGAP1/HLA-B/USP3/ARPC5/LILRA6/TMEM127/TNFRSF1B/PTPRE/OSTF1/SH2B3/SKAP2",11
"2","CD16 Mono","MORF IKBKG","MORF IKBKG","15/368","137/10061",0.00014072672147187,0.0372931368272748,0.033941811499887,"HMG20B/FKBP15/CIB1/MGAT1/USP11/SFSWAP/VAMP3/SLC9A1/PML/CNP/LDB1/ST14/AP3B1/PHB/GRB2",15
"3","CD16 Mono","MORF ACTG1","MORF ACTG1","15/368","138/10061",0.000152737825605284,0.0372931368272748,0.033941811499887,"YBX1/SUMO3/RPL27A/COX8A/RPL14/PTMA/OAZ1/SNRPB/H3F3A/BTBD2/RPL38/TAGLN2/RPL28/YWHAZ/RPS9",15
"4","CD16 Mono","MORF CSNK1D","MORF CSNK1D","10/368","70/10061",0.000212221780387233,0.0372931368272748,0.033941811499887,"MFN2/CIB1/MGAT1/SFSWAP/SLC9A1/PML/CNP/ZC3H3/ST14/PHB",10
"5","CD16 Mono","MORF TERF2IP","MORF TERF2IP","13/368","112/10061",0.000217136167844395,0.0372931368272748,0.033941811499887,"MFN2/TOR1AIP1/NFATC2IP/SFSWAP/BRD8/SLC9A1/CAPZB/H3F3A/CNP/ARFGAP2/YWHAQ/PHB/PPP2CA",13
"6","CD4 TCM","GNF2 HLA-C","GNF2 HLA-C","13/674","47/10061",8.18195392541059e-06,0.00533953107731964,0.00505176743596714,"CORO7/PRR13/TSC22D3/HLA-F/RAC2/SASH3/ARHGDIB/VAV1/PNRC1/CD48/B2M/HLA-E/IRF1",13
"7","CD4 TCM","GNF2 STAT6","GNF2 STAT6","17/674","79/10061",1.42254825358502e-05,0.00533953107731964,0.00505176743596714,"ARPC3/USP3/CORO7/LCP1/PRR13/ARPC1B/HLA-F/RAC2/ARHGDIB/VAV1/BNIP2/CD48/SEC11A/B2M/RNASET2/HLA-E/PSMB8",17
"8","CD4 TCM","MORF PRKAG1","MORF PRKAG1","32/674","219/10061",2.27267179921155e-05,0.00533953107731964,0.00505176743596714,"PPP1R11/SUMO4/PHB/SMAD2/GLG1/NCOR2/ANXA7/PSMD2/UBE3C/TFAP4/TOMM34/HNRNPL/VAMP3/DRAP1/FAM189B/VGLL4/PDXDC1/POLR2C/NFRKB/PRKCSH/FBXW11/YWHAQ/COQ9/MYCBP/RABAC1/AFG3L2/ARCN1/EBP/CSNK2A1/TSTA3/TP53BP1/SEC23IP",32
"9","CD4 TCM","GNF2 CD48","GNF2 CD48","10/674","32/10061",2.84395796395187e-05,0.00533953107731964,0.00505176743596714,"CORO7/TNFAIP8/HLA-F/RAC2/SASH3/ARHGDIB/VAV1/CD48/HLA-E/PSMB8",10
"10","CD4 TCM","MODULE 44","MODULE 44","41/674","327/10061",6.93125546324468e-05,0.0099257712037333,0.00939084107158172,"TNFRSF1B/CCND3/PER1/CD69/HAP1/TCF7/CD6/CD3E/LCP1/TSC22D3/TNFAIP8/RHOH/TNFAIP3/DDIT4/KCTD17/LAMA3/SP100/RGS10/BRD4/TBC1D2B/ZBTB20/RAC2/CD52/IKZF1/ARHGDIB/IL2RG/PNRC1/S100A11/CD48/TOB2/FGL2/CYP1B1/LAMP3/ST6GAL1/ADAM19/STAT5A/NCF4/CXCR4/SH3BP1/CELF2/TRIB2",41
