"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","RPS14 DN.V1 UP","RPS14 DN.V1 UP","20/426","192/11250",3.94963181093913e-05,0.0072278262140186,0.00706776218799633,"SASH3/ANXA6/CRTAM/PID1/HLA-DMA/ICAM3/ANPEP/HLA-DMB/ITGAX/CCL1/ST3GAL6/EGR3/PLAU/KYNU/PTPRE/CLEC7A/CDCP1/MAF/GPNMB/CDC42EP3",20
"2","CD14 Mono","STK33 NOMO UP","STK33 NOMO UP","24/426","294/11250",0.000333858756241946,0.030548076196138,0.0298715729269109,"FOS/NPEPPS/NAMPT/CSRNP1/PID1/ST3GAL1/LAMB3/DUSP5/MIDN/EGR3/CGRRF1/PLAU/KYNU/ZFP36L1/CTTNBP2NL/CLEC7A/NKIRAS1/IL10/NEAT1/CXCL3/SEMA4D/LY6K/GPNMB/FAM114A1",24
"3","CD4 Naive","LTE2 UP.V1 DN","LTE2 UP.V1 DN","24/490","196/11250",4.40748921585357e-06,0.000810978015717056,0.00077942967185621,"SAMHD1/PTBP2/USP25/TAP1/PTPRK/ZNF107/ZMYM2/N4BP2L2/DDX60/LTN1/IFIT3/GADD45A/SAMD9/BCL2/IFIH1/HIST1H4H/FKTN/CDK8/PRKAR2B/MGP/PLCB1/UBE2L6/IL24/GART",24
"4","CD4 Naive","VEGF A UP.V1 DN","VEGF A UP.V1 DN","22/490","193/11250",3.41310386773101e-05,0.00314005555831253,0.0030179023672569,"TTK/TMPO/TFAM/PRKACB/RASA2/SULT1B1/PRPF40A/UFL1/MBD4/MKLN1/MAP3K7/CENPE/DLGAP5/BCL10/PPIG/EIF2S3/NEK7/TLE3/SCAF11/CEBPZ/CRYZ/NR2F1",22
"5","CD4 Naive","ERB2 UP.V1 DN","ERB2 UP.V1 DN","20/490","197/11250",0.000372147063934382,0.0228250199213088,0.0219370900845531,"TTK/ACTR6/PTBP2/ZNF107/RANBP6/DDX60/LTN1/CENPE/MYB/MTIF2/BCL2/IFIH1/EIF2S3/FKTN/PLA2G12A/ZCCHC2/PRKAR2B/MGP/CEBPZ/CPOX",20
"6","CD4 Naive","PIGF UP.V1 UP","PIGF UP.V1 UP","19/490","191/11250",0.000665979051857793,0.0306350363854585,0.0294432843979235,"CEP350/RNF13/PRKACB/PEX1/TOPORS/UFL1/N4BP2L2/OSBPL8/SLC38A6/MKLN1/GGCX/PPIG/EIF2S3/SLC33A1/NEK7/IL6ST/SCAF11/CEBPZ/CRYZ",19
"7","CD4 Naive","MEK UP.V1 DN","MEK UP.V1 DN","19/490","196/11250",0.000912193222612732,0.0335687105921485,0.032262833978724,"ZNF652/SAMHD1/ACTR6/RNF43/PTBP2/PDCD4/TAP1/ZNF107/DDX60/LTN1/MYB/MTIF2/BCL2/IFIH1/HIST1H4H/FKTN/PRKAR2B/MGP/UBE2L6",19
"8","CD4 TCM","PDGF ERK DN.V1 DN","PDGF ERK DN.V1 DN","21/663","149/11250",0.00016853286856138,0.031515646420978,0.0301585133215101,"PER1/TMEM11/GTF2B/TBKBP1/PISD/EGR1/SMAD7/DUSP1/MORC3/ANKRD40/CNTRL/FAM50B/IL2RG/PNRC1/DHX34/MNT/C2CD2L/ZFP36L2/TNFSF8/BCL10/FBXL14",21
"9","CD8 TEM","CAMP UP.V1 DN","CAMP UP.V1 DN","23/570","200/11250",0.000197551157231388,0.0367445152450381,0.0341035681957343,"SEL1L3/ZFP36/NDRG1/JARID2/TMEM97/CCR9/GLS/RALGAPA1/SEPT7/PLEK/USP36/PAM/KLHDC4/SPOCK2/EZR/INSIG1/PRDM1/BCL2L13/NFATC2/NYNRIN/TTYH3/MPZL3/BIRC3",23
"10","CD8 TEM","IL15 UP.V1 UP","IL15 UP.V1 UP","21/570","192/11250",0.000722664001637014,0.0448051681014948,0.0415848758836738,"SLC7A5/SLC1A5/ZBTB32/IRF2BP1/CDC25A/UTP3/CD69/DUSP2/TRMU/SH2D4A/ZBTB7A/MAF/USP36/PIM1/SPRY2/DUSP4/AP3M2/EGR1/DUSP6/CCDC85B/OSM",21
"11","CD8 TEM","IL2 UP.V1 UP","IL2 UP.V1 UP","21/570","192/11250",0.000722664001637014,0.0448051681014948,0.0415848758836738,"SLC7A5/SLC1A5/KLF6/ZBTB32/STX11/CDC25A/CD69/DUSP2/TRMU/SH2D4A/USP36/PIM1/RHBDF2/SPRY2/DUSP4/AP3M2/EGR1/DUSP6/CCDC85B/PPP4R4/OSM",21
