"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","melanoma","melanoma","10/69","90/2178",0.000398452253046601,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/MC1R/NCOR2/STK11/CTNNB1/NF1",10
"2","CD14 Mono","ceroid-lipofuscinosis, neuronal","ceroid-lipofuscinosis, neuronal","9/69","85/2178",0.00113844876695865,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/CLN8/PIK3R1/NCOR2/CTSD/CTNNB1",9
"3","CD14 Mono","hermansky-pudlak syndrome","hermansky-pudlak syndrome","9/69","85/2178",0.00113844876695865,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/HPS3/CTNNB1/HPS5",9
"4","CD14 Mono","myasthenic syndrome","myasthenic syndrome","9/69","85/2178",0.00113844876695865,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/SCN4A/NCOR2/CTNNB1/MUSK",9
"5","CD14 Mono","ichthyosis","ichthyosis","9/69","94/2178",0.00233970553571821,0.0260589415318853,0.00205361768334587,"SNAP29/IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/ST14/CTNNB1",9
"6","CD14 Mono","blood","blood","10/69","113/2178",0.00241012239730247,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/CD44/SEMA7A/XG/PIK3R1/NCOR2/CTNNB1",10
"7","CD14 Mono","lung cancer","lung cancer","9/69","97/2178",0.00291277543678547,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/IRF1/EP300/CHRNA5/TSHR/PIK3R1/NCOR2/CTNNB1",9
"8","CD14 Mono","parkinson disease","parkinson disease","9/69","99/2178",0.00335316417642958,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/TBP/GIGYF2/CTNNB1",9
"9","CD14 Mono","adrenoleukodystrophy","adrenoleukodystrophy","8/69","83/2178",0.00397422574368174,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/PEX10/CTNNB1",8
"10","CD14 Mono","bare lymphocyte syndrome","bare lymphocyte syndrome","8/69","83/2178",0.00397422574368174,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/CTNNB1/RFX5",8
"11","CD14 Mono","cholestasis","cholestasis","8/69","83/2178",0.00397422574368174,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/HSD3B7/PIK3R1/NCOR2/CTNNB1",8
"12","CD14 Mono","episodic ataxia","episodic ataxia","8/69","83/2178",0.00397422574368174,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/SLC1A3/TSHR/PIK3R1/NCOR2/CTNNB1",8
"13","CD14 Mono","infections","infections","8/69","83/2178",0.00397422574368174,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/IL12RB1/NCOR2/CTNNB1",8
"14","CD14 Mono","kallmann syndrome","kallmann syndrome","8/69","83/2178",0.00397422574368174,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/CTNNB1/PROK2",8
"15","CD14 Mono","night blindness","night blindness","8/69","84/2178",0.00428265929720767,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/RHO/NCOR2/CTNNB1",8
"16","CD14 Mono","atrial fibrillation","atrial fibrillation","8/69","85/2178",0.00460933052112965,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/KCNQ1/CTNNB1",8
"17","CD14 Mono","leukoencephalopathy","leukoencephalopathy","8/69","85/2178",0.00460933052112965,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/NOTCH3/TSHR/PIK3R1/NCOR2/CTNNB1",8
"18","CD14 Mono","rickets","rickets","8/69","85/2178",0.00460933052112965,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/CTNNB1/VDR",8
"19","CD14 Mono","charcot-marie-tooth disease","charcot-marie-tooth disease","9/69","104/2178",0.0046868394812184,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/YARS/TSHR/PIK3R1/LITAF/NCOR2/CTNNB1",9
"20","CD14 Mono","cataract","cataract","10/69","124/2178",0.00478727120122516,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/CRYBA1/NCOR2/MAF/GJA3/CTNNB1",10
"21","CD14 Mono","albinism","albinism","8/69","86/2178",0.00495494320930761,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/MC1R/NCOR2/CTNNB1",8
"22","CD14 Mono","hiv","hiv","8/69","86/2178",0.00495494320930761,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/IL10/CTNNB1",8
"23","CD14 Mono","hypothyroidism","hypothyroidism","8/69","86/2178",0.00495494320930761,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/CTNNB1/PAX8",8
"24","CD14 Mono","coronary artery disease","coronary artery disease","8/69","87/2178",0.00532020923656811,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/MEF2A/TSHR/PIK3R1/NCOR2/CTNNB1",8
"25","CD14 Mono","gastric cancer","gastric cancer","8/69","87/2178",0.00532020923656811,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/IRF1/EP300/TSHR/PIK3R1/NCOR2/CTNNB1",8
"26","CD14 Mono","hypotrichosis","hypotrichosis","8/69","87/2178",0.00532020923656811,0.0260589415318853,0.00205361768334587,"IQGAP1/FOS/EP300/TSHR/PIK3R1/NCOR2/ST14/CTNNB1",8
