"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD14 Mono","PMC5824365 F6","PMC5824365 F6","9/566","29/13662",1.60648214852717e-06,0.00831997104722223,0.00811696243466362,"FOS/EP300/KLF4/MDK/MBD3/LMO2/IL10/CTNNB1/NR2C2",9
"2","CD16 Mono","PMC7290655 F6","PMC7290655 F6","8/486","24/13662",1.07694266744869e-06,0.00565825677477542,0.00532689852035936,"GSK3B/INSR/CDKN1B/YWHAG/YWHAZ/YWHAQ/SHC1/GRB2",8
"3","CD16 Mono","PMC5552707 F8","PMC5552707 F8","12/486","77/13662",1.60745740451145e-05,0.0422279060165159,0.039754959704207,"GSK3B/FZD5/PKN2/MAPK8/MKNK2/ADAM17/EIF4G1/JUNB/REL/PDPK1/APP/RHOC",12
"4","CD4 TCM","PMC5889750 F5","PMC5889750 F5","6/895","10/13662",1.29925061863814e-05,0.0474132117811928,0.0422452799447481,"GRB2/GRB10/PDK1/BAD/NEDD4/PXN",6
"5","CD4 TCM","PMC6539122 F7","PMC6539122 F7","22/895","123/13662",1.42169550669875e-05,0.0474132117811928,0.0422452799447481,"MAPK14/HSP90AA1/USP7/TCF7/MAP3K2/PSMD2/GNA13/DNMT3A/ARPC1B/POLR2B/ATP2A2/DUSP1/PDE3B/RASA3/CCR7/KSR1/GNB1/RASA2/PIP4K2A/CHD4/NCF4/CXCR4",22
"6","CD4 TCM","PMC2774770 F1","PMC2774770 F1","7/895","15/13662",2.04308582797441e-05,0.0474132117811928,0.0422452799447481,"GRB2/ATF2/FOS/PDK1/BAD/SRC/BCL10",7
"7","CD8 TEM","PMC4387288 F2","PMC4387288 F2","10/736","24/13662",1.90717127852153e-07,0.00113038041677971,0.00105697439804378,"TBX21/IFNGR1/KLF2/BCL6/STAT4/IL2RB/STAT1/PRDM1/IFNG/GATA3",10
"8","CD8 TEM","PMC7886651 F1","PMC7886651 F1","6/736","10/13662",4.17487861892039e-06,0.00876003357463015,0.00819116385682429,"BCL6/STAT1/IFNG/IL21/GATA3/IRF4",6
"9","CD8 TEM","PMC4447342 F2","PMC4447342 F2","17/736","89/13662",4.4339633413009e-06,0.00876003357463015,0.00819116385682429,"ZFP36/CITED2/VASP/IFNGR1/SMAD7/BCL3/NFKBIA/BCL6/CDK6/MAP3K8/JUN/TRIP10/IRF9/BIRC3/NFKB2/SHB/TNFRSF10A",17
"10","CD8 TEM","PMC4015472 F3","PMC4015472 F3","6/736","11/13662",8.76549122635513e-06,0.0113147261946415,0.0105799567394151,"IFNGR1/IFNGR2/STAT4/STAT1/IFNG/GAPDH",6
"11","CD8 TEM","PMC3727154 F1","PMC3727154 F1","7/736","16/13662",9.54507018275814e-06,0.0113147261946415,0.0105799567394151,"TBX21/IFNGR1/IFNGR2/STAT4/IRF9/STAT1/IFNG",7
"12","CD8 TEM","PMC3612853 F1","PMC3612853 F1","8/736","23/13662",1.62446721503874e-05,0.0160470286392244,0.0150049471704894,"STAT4/IL21R/STAT1/IFNG/IL21/RARA/GATA3/IRF4",8
"13","CD8 TEM","PMC5322168 F5","PMC5322168 F5","8/736","25/13662",3.25475863744486e-05,0.027012857307132,0.0252586635152336,"STAT4/ZAP70/CAMK4/IL21R/DUSP4/IFNG/IL21/CDH2",8
"14","CD8 TEM","PMC7999074 F2","PMC7999074 F2","7/736","19/13662",3.64607488538984e-05,0.027012857307132,0.0252586635152336,"SLC7A5/SLC1A5/HMGCR/SLC38A1/HK1/GOT1/OGT",7
"15","NK","PMC6209915 F8","PMC6209915 F8","7/463","24/13662",1.02887269677781e-05,0.0390300312870722,0.0381474846226537,"RALGDS/ELK4/FYN/ZAP70/GNAQ/RASA3/JUN",7
"16","NK","PMC3041769 F4","PMC3041769 F4","6/463","18/13662",1.92408337624216e-05,0.0390300312870722,0.0381474846226537,"RTKN/UPP1/CREM/SRGN/HMMR/DDB2",6
