"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD16 Mono","MORF ACTG1","MORF ACTG1","15/326","138/10061",3.90012179316013e-05,0.0260918147962413,0.0240575933767562,"YBX1/SUMO3/RPL27A/COX8A/RPL14/PTMA/OAZ1/SNRPB/H3F3A/BTBD2/RPL38/TAGLN2/RPL28/YWHAZ/RPS9",15
"2","NK","GNF2 PTPN4","GNF2 PTPN4","13/313","51/10061",3.27932478381479e-09,2.16435435731776e-06,2.00901792018969e-06,"PTGDR/SPON2/ARL4C/PRF1/FYN/TBX21/ZAP70/IL2RB/CD7/NCR3/TTC38/S1PR5/GZMM",13
"3","NK","GNF2 IL2RB","GNF2 IL2RB","11/313","47/10061",1.42002923927858e-07,4.68609648961933e-05,4.34977377505335e-05,"PTGDR/SPON2/ARL4C/PRF1/TBX21/IL2RB/CD7/NCR3/TTC38/S1PR5/GZMM",11
"4","NK","GNF2 MATK","GNF2 MATK","7/313","25/10061",7.82359462360794e-06,0.00172119081719375,0.00159766037576836,"PTGDR/ARL4C/PRF1/ZAP70/IL2RB/S1PR5/GZMM",7
"5","NK","GNF2 CD7","GNF2 CD7","8/313","40/10061",2.58778112511972e-05,0.00426983885644754,0.00396339109163073,"PTGDR/ARL4C/PRF1/TBX21/ZAP70/IL2RB/CD7/GZMM",8
"6","NK","GCM HDAC1","GCM HDAC1","7/313","38/10061",0.000145074608726169,0.0167935998603154,0.0155883175736899,"DRAP1/SET/HNRNPL/PFN1/NONO/DDB2/ARHGEF1",7
"7","NK","MORF RAF1","MORF RAF1","12/313","110/10061",0.000152669089639231,0.0167935998603154,0.0155883175736899,"ETF1/ATXN2L/PPP2R5E/SUMO2/CNOT2/ZZZ3/NONO/UBE2D3/UBE2I/CSNK1D/EIF4H/RAB1A",12
"8","NK","GCM RAF1","GCM RAF1","7/313","43/10061",0.000324222961578452,0.030569593520254,0.0283756035546856,"DRAP1/SET/HNRNPL/MARS/NONO/UBE2D3/MAZ",7
"9","NK","MORF NPM1","MORF NPM1","14/313","162/10061",0.000519735910876955,0.03950016494836,0.0366652248802959,"H2AFV/RPS9/RPS18/HSP90AB1/U2AF1/PFN1/HMGN2/RPL23/SUMO2/NONO/UBE2I/RPS27/PSMB1/MAZ",14
"10","NK","MORF PPP2CA","MORF PPP2CA","12/313","127/10061",0.000582956275173861,0.03950016494836,0.0366652248802959,"ETF1/CUL1/U2AF1/SET/SUMO2/ZZZ3/NONO/UBE2I/SEPT7/PSMB1/EIF4H/SAFB",12
"11","NK","MODULE 73","MODULE 73","5/313","23/10061",0.000598487347702424,0.03950016494836,0.0366652248802959,"IL1R2/IL2RB/IL15RA/IL18R1/CXCR5",5
"12","NK","MORF SP3","MORF SP3","9/313","80/10061",0.000809947395612639,0.0465861049227799,0.0432426045694704,"PRKAR1A/SET/SP3/PPP2R5E/SUMO2/RPA1/ZZZ3/NONO/EIF4H",9
"13","NK","GCM DDX5","GCM DDX5","8/313","65/10061",0.000865272131738908,0.0465861049227799,0.0432426045694704,"ZNHIT3/SRSF5/SET/HNRNPL/SUMO2/NONO/EIF4H/MAZ",8
"14","NK","GCM PFN1","GCM PFN1","7/313","51/10061",0.000941822894921587,0.0465861049227799,0.0432426045694704,"DRAP1/SET/HNRNPL/PFN1/NONO/SNRPA/ARHGEF1",7
"15","NK","GCM CSNK2B","GCM CSNK2B","10/313","99/10061",0.000988190104422605,0.0465861049227799,0.0432426045694704,"ZNHIT3/HSP90AB1/SET/HNRNPL/PFN1/RPL23/SUMO2/NONO/SNRPA/EIF4H",10
