"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CD4 TCM","breast cancer","breast cancer","10/61","105/2178",0.000503867066227161,0.0473533900559677,0.00487620721400125,"PHB/CHEK2/GTF2B/NCOR2/FOS/POU2F1/HMMR/NFKB1/BRIP1/CSNK2A1",10
"2","CD4 TCM","colon cancer","colon cancer","8/61","84/2178",0.00194048241753929,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/SRC/NFKB1/BCL10/CSNK2A1",8
"3","CD4 TCM","adrenoleukodystrophy","adrenoleukodystrophy","7/61","83/2178",0.0074438206720693,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/PEX5/NFKB1/CSNK2A1",7
"4","CD4 TCM","goiter","goiter","7/61","83/2178",0.0074438206720693,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/TPO/NFKB1/CSNK2A1",7
"5","CD4 TCM","lipodystrophy","lipodystrophy","7/61","83/2178",0.0074438206720693,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/LMNB2/CSNK2A1",7
"6","CD4 TCM","lissencephaly","lissencephaly","7/61","83/2178",0.0074438206720693,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/PAFAH1B1/CSNK2A1",7
"7","CD4 TCM","mitochondrial dna depletion syndrome","mitochondrial dna depletion syndrome","7/61","83/2178",0.0074438206720693,0.0473533900559677,0.00487620721400125,"DGUOK/GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1",7
"8","CD4 TCM","nephronophthisis","nephronophthisis","7/61","83/2178",0.0074438206720693,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NPHP4/NFKB1/CSNK2A1",7
"9","CD4 TCM","amyloidosis","amyloidosis","7/61","84/2178",0.00794412414975386,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/GSN/NFKB1/CSNK2A1",7
"10","CD4 TCM","dermatitis","dermatitis","7/61","84/2178",0.00794412414975386,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/SOCS3/NFKB1/CSNK2A1",7
"11","CD4 TCM","hypoglycemia","hypoglycemia","7/61","84/2178",0.00794412414975386,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/KCNJ11/CSNK2A1",7
"12","CD4 TCM","neutropenia","neutropenia","7/61","84/2178",0.00794412414975386,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/GFI1/CSNK2A1",7
"13","CD4 TCM","pseudohypoaldosteronism","pseudohypoaldosteronism","7/61","84/2178",0.00794412414975386,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1/WNK1",7
"14","CD4 TCM","diabetes mellitus, type 2","diabetes mellitus, type 2","8/61","106/2178",0.00825815596030531,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/AKT2/NFKB1/KCNJ11/CSNK2A1",8
"15","CD4 TCM","ceroid-lipofuscinosis, neuronal","ceroid-lipofuscinosis, neuronal","7/61","85/2178",0.00846901825462015,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/PPT1/NFKB1/CSNK2A1",7
"16","CD4 TCM","diamond-blackfan anemia","diamond-blackfan anemia","7/61","85/2178",0.00846901825462015,0.0473533900559677,0.00487620721400125,"RPL11/GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1",7
"17","CD4 TCM","hermansky-pudlak syndrome","hermansky-pudlak syndrome","7/61","85/2178",0.00846901825462015,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/HPS4/CSNK2A1",7
"18","CD4 TCM","myasthenic syndrome","myasthenic syndrome","7/61","85/2178",0.00846901825462015,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/CHRNB1/NFKB1/CSNK2A1",7
"19","CD4 TCM","optic atrophy","optic atrophy","7/61","85/2178",0.00846901825462015,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1/OPA3",7
"20","CD4 TCM","osteopetrosis","osteopetrosis","7/61","85/2178",0.00846901825462015,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/OSTM1/NFKB1/CSNK2A1",7
"21","CD4 TCM","brachydactyly","brachydactyly","7/61","86/2178",0.00901920677805817,0.0473533900559677,0.00487620721400125,"GTF2B/ROR2/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1",7
"22","CD4 TCM","chondrodysplasia","chondrodysplasia","7/61","86/2178",0.00901920677805817,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/EBP/CSNK2A1",7
"23","CD4 TCM","hypercholesterolemia","hypercholesterolemia","7/61","86/2178",0.00901920677805817,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1/LDLRAP1",7
"24","CD4 TCM","gastric cancer","gastric cancer","7/61","87/2178",0.00959539249821789,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1/IRF1",7
"25","CD4 TCM","osteoporosis","osteoporosis","7/61","87/2178",0.00959539249821789,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/CALCA/NFKB1/CSNK2A1",7
"26","CD4 TCM","colorectal cancer","colorectal cancer","8/61","111/2178",0.0108268348805901,0.0473533900559677,0.00487620721400125,"CHEK2/GTF2B/NCOR2/FOS/POU2F1/SMAD7/NFKB1/CSNK2A1",8
"27","CD4 TCM","psoriasis","psoriasis","7/61","89/2178",0.0108285571742067,0.0473533900559677,0.00487620721400125,"GTF2B/IL23R/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1",7
"28","CD4 TCM","zellweger syndrome","zellweger syndrome","7/61","89/2178",0.0108285571742067,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/PEX5/NFKB1/CSNK2A1",7
"29","CD4 TCM","fanconi anemia","fanconi anemia","7/61","90/2178",0.0114869300283798,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/NFKB1/BRIP1/CSNK2A1",7
"30","CD4 TCM","glycogen storage disease","glycogen storage disease","7/61","90/2178",0.0114869300283798,0.0473533900559677,0.00487620721400125,"SLC37A4/GTF2B/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1",7
"31","CD4 TCM","leber amaurosis","leber amaurosis","7/61","90/2178",0.0114869300283798,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/FOS/POU2F1/RPGRIP1/NFKB1/CSNK2A1",7
"32","CD4 TCM","blood","blood","8/61","113/2178",0.0120061431733372,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/GYPC/FOS/POU2F1/NFKB1/XG/CSNK2A1",8
"33","CD4 TCM","encephalopathy","encephalopathy","7/61","91/2178",0.0121740864248228,0.0473533900559677,0.00487620721400125,"GTF2B/GLDC/NCOR2/FOS/POU2F1/NFKB1/CSNK2A1",7
"34","CD4 TCM","malaria","malaria","7/61","91/2178",0.0121740864248228,0.0473533900559677,0.00487620721400125,"GTF2B/NCOR2/GYPC/FOS/POU2F1/NFKB1/CSNK2A1",7
