"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1","ANKRD9",-15.7386306340497,1.42491184247483e-16,3.44044964365547e-13,"-"
"2","TNFAIP2",-13.2351128691987,1.0982485311511e-16,3.44044964365547e-13,"-"
"3","HMG20B",15.4707570531613,5.94266840867725e-16,9.56571524850081e-13,"+"
"4","PRPSAP1",13.9277274732825,5.43853289270932e-15,6.56566883472333e-12,"+"
"5","MBOAT7",-16.0408340738875,7.54959707875202e-15,7.2914008586587e-12,"-"
"6","BCAR4",14.0132299590926,9.40539491765054e-15,7.56977534288908e-12,"+"
"7","ALG1L2",15.7043058033056,1.49870887096041e-14,1.0338950196954e-11,"+"
"8","GBA",-15.5452718375938,1.71375901183697e-14,1.03446778352009e-11,"-"
"9","SETDB2-PHF11",13.5174568602009,5.27817855288493e-14,2.54883242318813e-11,"+"
"10","ERCC1",-15.2112825524298,4.94030918242268e-14,2.54883242318813e-11,"-"
"11","MIR4505",-13.3652038218466,6.10950317409461e-14,2.68207189342754e-11,"-"
"12","FADD",13.2809932274198,8.08479727502282e-14,3.25345717009043e-11,"+"
"13","CD300E",-14.5958950718098,9.31213290562914e-14,3.27519791593563e-11,"-"
"14","SLC27A5",14.9395755116652,9.49529319177858e-14,3.27519791593563e-11,"+"
"15","MARVELD1",13.080850928054,1.14582766941746e-13,3.45825113476057e-11,"+"
"16","DOT1L",-15.043433582951,1.09437996790384e-13,3.45825113476057e-11,"-"
"17","TRAF3IP2",-12.9057085535047,1.45918879000136e-13,4.14495450995093e-11,"-"
"18","MYO1C",-14.5755922446919,2.39829074872566e-13,6.43408112533122e-11,"-"
"19","NTN1",-12.6672518297917,2.7584464680936e-13,7.01080947074948e-11,"-"
"20","CAPZA1",12.7090149899588,2.9425882939154e-13,7.10487943565873e-11,"+"
"21","CREB3L1",14.4527149700563,3.91641271423312e-13,8.00984990416815e-11,"+"
"22","IFFO1",-14.520120848448,4.11121674496621e-13,8.00984990416815e-11,"-"
"23","CORO1A",-14.413415016798,3.70480782890309e-13,8.00984990416815e-11,"-"
"24","SPAG7",-14.385991355976,4.14674358260932e-13,8.00984990416815e-11,"-"
"25","CARD8",-14.6058300327485,4.13428064621181e-13,8.00984990416815e-11,"-"
"26","SRSF4",14.2410604708332,6.57197942462773e-13,1.1334317371974e-10,"+"
"27","SLC31A1",12.4389146775513,6.44325769651972e-13,1.1334317371974e-10,"+"
"28","C22orf42",-14.2405503403186,6.37696380555638e-13,1.1334317371974e-10,"-"
"29","REC8",14.3498868026995,7.06804689753607e-13,1.1769516713173e-10,"+"
"30","APOC1",-13.9325956802228,1.02963937616485e-12,1.65737618250002e-10,"-"
"31","MIR4506",13.8712695744867,1.3484424064152e-12,2.10052528405774e-10,"+"
"32","COTL1",14.7160493374048,1.42563123559836e-12,2.15136663647016e-10,"+"
"33","OAS3",-13.9219773733277,1.49376197363939e-12,2.1858716880923e-10,"-"
"34","SESN1",-11.8645771530164,1.73198349576295e-12,2.45992597089391e-10,"-"
"35","GLYR1",13.75795292342,1.78397398019055e-12,2.46137438581147e-10,"+"
"36","TICAM1",13.6964893773815,2.20825037402503e-12,2.96212251560191e-10,"+"
"37","DNMT3A",14.779431682521,2.51363510843155e-12,3.07884062203849e-10,"+"
"38","POLR1B",-13.4956862479892,2.6993471577398e-12,3.07884062203849e-10,"-"
"39","XCR1",13.5646704321031,2.64295172250087e-12,3.07884062203849e-10,"+"
"40","MRPS24",-13.7702932744987,2.74156443875865e-12,3.07884062203849e-10,"-"
"41","VCPIP1",-13.799302054396,2.61259055251078e-12,3.07884062203849e-10,"-"
"42","LOC102723385",13.6173367881829,2.60915790191887e-12,3.07884062203849e-10,"+"
"43","FBXL19-AS1",11.9518610606087,2.38963500555934e-12,3.07884062203849e-10,"+"
"44","LINC01910",11.6757872204075,2.87666385627942e-12,3.15713858226667e-10,"+"
"45","AKAP2",-13.6620412500635,3.00905969106547e-12,3.22905538847892e-10,"-"
"46","CLTRN",-13.6499509352877,3.14204970571776e-12,3.2984691367198e-10,"-"
"47","SLC10A3",13.5581971105618,3.27780691039069e-12,3.36777224899503e-10,"+"
"48","CLCN7",13.3909658172521,3.71072982511419e-12,3.73314881780759e-10,"+"
"49","MIR3121",-13.4164737041577,4.19680120493619e-12,4.13599041196671e-10,"-"
