"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1","PTBP2",-14.4990306683388,7.49505226830007e-25,7.75213256110276e-21,"-"
"2","SLC30A7",-13.319404152826,1.13597475697643e-22,5.87469345570359e-19,"-"
"3","ZNF107",-13.9221874016725,9.23623188856018e-22,3.18434488077927e-18,"-"
"4","LOC100505938",-12.5905524261473,3.23145913718487e-21,5.70203165159664e-18,"-"
"5","ATP2B1",-11.3513465338077,3.63632636971652e-21,5.70203165159664e-18,"-"
"6","FNDC3A",-12.7906472081798,3.85905651756516e-21,5.70203165159664e-18,"-"
"7","FGF14",-12.7168770263856,2.79760249928663e-21,5.70203165159664e-18,"-"
"8","OSBPL8",-13.5814091730716,5.71407842432095e-21,7.38758914284395e-18,"-"
"9","MIR5702",-11.355148244421,7.86148236570476e-21,9.03459023427603e-18,"-"
"10","SPTBN1",-13.7336196396754,9.89887213876991e-21,1.02384034531297e-17,"-"
"11","CDKAL1",-12.2806284616041,1.14458511448929e-20,1.07622216719661e-17,"-"
"12","MIR4465",-12.3581374921775,1.83485579869976e-20,1.5814927938293e-17,"-"
"13","CCNH",-12.0945185054177,3.76450573553753e-20,2.75009626362365e-17,"-"
"14","SPRY4-IT1",-13.0286068571762,3.95152295827052e-20,2.75009626362365e-17,"-"
"15","GPR68",-12.2579094242927,3.9883441897278e-20,2.75009626362365e-17,"-"
"16","NAP1L3",-12.0667119171582,4.70549168082979e-20,3.0418062784264e-17,"-"
"17","TXLNB",-12.9333809516821,7.92637797090306e-20,4.82250160900296e-17,"-"
"18","RNF145",-12.7958101639472,8.47732459278985e-20,4.87116490351252e-17,"-"
"19","MBNL1-AS1",-12.8624472261484,1.047250783513e-19,5.15795945422617e-17,"-"
"20","TNIK",-11.7891810153453,9.86192752950862e-20,5.15795945422617e-17,"-"
"21","ANTXR2",-12.7153263827448,1.02416174614676e-19,5.15795945422617e-17,"-"
"22","SLC38A1",-13.1415588723976,1.22514808133199e-19,5.75986663873489e-17,"-"
"23","ZNF37A",-12.8490183870313,1.48627802568677e-19,6.65627053911289e-17,"-"
"24","MIR5189",12.7327749164453,1.54452763162244e-19,6.65627053911289e-17,"+"
"25","AFF1-AS1",-12.6035322798058,1.71406752711395e-19,7.09144017317585e-17,"-"
"26","ZCCHC2",-12.7012751225764,1.81308721848112e-19,7.21260042336545e-17,"-"
"27","FGFBP3",-12.6513173852683,2.19030104400647e-19,8.39047544376256e-17,"-"
"28","FGFR1OP2",-12.5178850024323,2.52636008276159e-19,9.01039390896658e-17,"-"
"29","GOLGA8B",-12.6224048275723,2.50035672416464e-19,9.01039390896658e-17,"-"
"30","ARHGAP10",-12.542193612725,2.76062200213023e-19,9.51770445601099e-17,"-"
"31","MAP3K12",-11.5973581935856,3.12383707706041e-19,1.04225312542051e-16,"-"
"32","FRYL",-12.6449867393196,3.25647964005717e-19,1.05255527865973e-16,"-"
"33","HACD4",-12.6096542521703,3.56058424194802e-19,1.11597341862025e-16,"-"
"34","SAMD3",-12.5074632341278,3.8045619687032e-19,1.1573701306558e-16,"-"
"35","ODF2L",-12.6118677432939,4.20131453555731e-19,1.24154846403626e-16,"-"
"36","MCTS1",-12.4206015476004,4.34190130334981e-19,1.24745236612631e-16,"-"
"37","ACTR10",-12.3800488410744,4.69694755909711e-19,1.31298725956058e-16,"-"
"38","SNAI2",-11.5317280001331,5.06037704265031e-19,1.37735473031927e-16,"-"
"39","GPD1L",-11.4465446926534,5.73447058202314e-19,1.52081100589398e-16,"-"
"40","LINC00882",-12.3449670094767,7.20153977625597e-19,1.77346490251942e-16,"-"
"41","BET1",-12.3872631406289,7.07386562132829e-19,1.77346490251942e-16,"-"
"42","BIRC3",-12.3025679218808,6.92464688359586e-19,1.77346490251942e-16,"-"
"43","STARD3NL",-12.2877027800805,8.14896466318797e-19,1.96011026770589e-16,"-"
"44","DNAJC15",-12.5815519296653,8.81684383487141e-19,2.07255944963807e-16,"-"
"45","NR4A2",-12.3422739189169,9.29560679769499e-19,2.13654358019021e-16,"-"
"46","LINC01481",-12.3500215035282,1.09934695453433e-18,2.47185772842361e-16,"-"
"47","EGR1",-12.2141741107878,1.50349952909738e-18,3.30865864456472e-16,"-"
"48","PARP8",-12.1016111590983,1.7809661444549e-18,3.83761100668689e-16,"-"
"49","PLCB1",-12.1711872144284,2.1743662727739e-18,4.58968782842867e-16,"-"
"50","ARAP3",-11.0785094717182,2.41386892939684e-18,4.92172510504612e-16,"-"
"51","FOXP2",-12.0745226333996,2.42683921838298e-18,4.92172510504612e-16,"-"
"52","PSMD6-AS2",-11.9889419983206,2.95913028722307e-18,5.88582395399004e-16,"-"
