"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1","PRSS1",-13.3006974272209,4.16565674571804e-26,1.746243307805e-22,"-"
"2","RBL1",-14.7130461033137,4.30020876877937e-25,6.0088250529077e-22,"-"
"3","IL17RA",14.6707762342074,4.20295553908517e-25,6.0088250529077e-22,"+"
"4","IKBKE",-13.366395190624,4.29808035699e-24,3.90205246707462e-21,"-"
"5","HIF1A",-13.1841539410546,4.65416563343824e-24,3.90205246707462e-21,"-"
"6","LOC100129203",-14.1050253167021,8.88675945002095e-24,5.32189937349826e-21,"-"
"7","RINL",13.3422846873921,8.18238989830907e-24,5.32189937349826e-21,"+"
"8","LINC02072",13.1041036571863,1.57864654094952e-23,8.2721078745755e-21,"+"
"9","LEMD2",13.8236922285175,2.23886815976862e-23,1.04281503619445e-20,"+"
"10","SLC25A10",13.0696345615988,3.60016747443072e-23,1.50919020528136e-20,"+"
"11","MIR4695",12.7229854166218,9.88832292721383e-23,3.45432080924003e-20,"+"
"12","SIGIRR",12.5445486911759,9.55625046310703e-23,3.45432080924003e-20,"+"
"13","LOC101927557",12.637295687537,1.51634202064714e-22,4.88961980811755e-20,"+"
"14","C19orf71",12.7131778835054,1.95072336352585e-22,5.84102309992883e-20,"+"
"15","TICAM1",12.5516585240308,2.15671782137235e-22,6.02730740479525e-20,"+"
"16","MIR4779",-13.3710525971017,3.08996134769105e-22,8.09569873095056e-20,"-"
"17","FAM129B",12.7920673942105,4.1603713775265e-22,1.02589863615242e-19,"+"
"18","KDM5C",12.9477380929236,9.81594170460124e-22,2.28602375698269e-19,"+"
"19","APOL3",13.0615282738487,1.15051517707171e-21,2.53839980120243e-19,"+"
"20","HSPH1",-12.9999625015426,1.37332973441344e-21,2.87849912333058e-19,"-"
"21","TMEM120A",-12.0644499007953,2.00364560298417e-21,3.99965827033792e-19,"-"
"22","YPEL5",-12.0512576749179,2.2790269103994e-21,4.17341309199604e-19,"-"
"23","TRIM35",-12.8779385912719,2.38935864045575e-21,4.17341309199604e-19,"-"
"24","SLC38A2",-12.9165082617125,2.31934586935626e-21,4.17341309199604e-19,"-"
"25","STK11",11.8864603444192,4.34657929849593e-21,7.28834416771797e-19,"+"
"26","SEPT3",12.6813929934996,5.33025546992948e-21,8.59401189613246e-19,"+"
"27","ADAM11",12.7065067337267,6.07745321401872e-21,9.43580884191351e-19,"+"
"28","GNB1L",12.6067784633151,7.69947251412719e-21,1.15272102782933e-18,"+"
"29","EPB41",-11.7139547916592,9.13246131947295e-21,1.23798911002892e-18,"-"
"30","LINC01072",-12.6161199142581,9.15497672015663e-21,1.23798911002892e-18,"-"
"31","LOC100133286",-12.5005178830255,8.89066525538443e-21,1.23798911002892e-18,"-"
"32","MIR486-1",11.6017563830871,1.10451996364722e-20,1.44692115237786e-18,"+"
"33","SAMD11",12.5577172585097,1.2629864564237e-20,1.60437552282671e-18,"+"
"34","MIR4265",12.5519894077104,1.36124310467807e-20,1.630380312803e-18,"+"
"35","TPM1",-12.524118174949,1.35677411014831e-20,1.630380312803e-18,"-"
"36","UBE2K",-12.4644809438936,1.51561994332324e-20,1.76485522289195e-18,"-"
"37","MIR6720",12.4827073705518,1.62912823261781e-20,1.84575825706321e-18,"+"
"38","GCLC",-11.3323552288055,3.39508700229724e-20,3.74531702990264e-18,"-"
"39","REXO4",12.310170925388,3.64702378565746e-20,3.92008300242976e-18,"+"
"40","TGOLN2",11.3099735719528,5.02280914215109e-20,5.26390398097435e-18,"+"
"41","GNG8",-12.1371639950098,5.27859905117974e-20,5.39704566403549e-18,"-"
"42","AQP2",12.0936287611112,5.85706140859694e-20,5.845905101152e-18,"+"
"43","MIR4322",12.1864223598868,6.73778250028446e-20,6.56855447469592e-18,"+"
"44","MIR4647",-11.1955819007784,7.04132046365762e-20,6.70845804173926e-18,"-"
"45","ARSA",12.1026588221485,7.2800843180468e-20,6.78180299138937e-18,"+"
"46","DGCR6L",11.9426771165494,8.23454287358905e-20,7.50417472306202e-18,"+"
"47","RNF216-IT1",-12.0303704239591,1.04605095718127e-19,9.32988428192312e-18,"-"
"48","DDX6",-12.0456872676362,1.06904627311644e-19,9.33633745188354e-18,"-"
"49","DPH5",-11.0492123437085,1.19826810572388e-19,1.02513059167235e-17,"-"
"50","NPAS2",11.0716908049989,1.27282286457964e-19,1.06713468966357e-17,"+"
"51","RAE1",11.936744182775,1.34110179752182e-19,1.10233308533558e-17,"+"
"52","CRTAC1",11.9927487339649,1.3960128008611e-19,1.12540108869418e-17,"+"
"53","ENPP7",12.2688726169078,1.47972014046021e-19,1.17037487336022e-17,"+"
"54","NR3C2",-11.0132784658001,1.58551370272695e-19,1.23082841515396e-17,"-"
"55","DLGAP1",-12.024365951992,1.72413435144363e-19,1.31410385477303e-17,"-"
"56","BUD13",11.8802135589148,1.92499344663201e-19,1.43931621994699e-17,"+"
"57","RILPL2",-11.9233928187962,1.95708550899281e-19,1.43931621994699e-17,"-"
"58","LINC01350",-11.929439734456,2.08932725606277e-19,1.51007928576123e-17,"-"
"59","HTRA3",10.948287392738,2.21196393628031e-19,1.57161912218425e-17,"+"
"60","TBC1D22A",12.6845073068539,2.2958064450877e-19,1.60400343630127e-17,"+"
"61","CCNK",10.9705988104044,2.38136760098125e-19,1.63650704644482e-17,"+"
"62","SRSF5",12.0595180984266,2.62142754518454e-19,1.77242326926026e-17,"+"
"63","PPP2R5A",11.745396928847,2.7476831652872e-19,1.80277410068121e-17,"+"
"64","N4BP2L1",11.8159343208757,2.75232687126903e-19,1.80277410068121e-17,"+"
"65","SHD",-11.7970487408824,2.90933238555968e-19,1.8762955938871e-17,"-"
"66","MECP2",11.7426769195419,3.35141847880872e-19,2.12865852472215e-17,"+"
"67","CCND1",10.7951555926225,3.53087443004825e-19,2.20916800160631e-17,"+"
"68","MIR3135A",-11.6835872988493,3.80981923354672e-19,2.34864150397468e-17,"-"
"69","VPS45",11.8982824874392,3.93180758785673e-19,2.38871556641963e-17,"+"
"70","STXBP1",13.1106933209843,5.75826730152134e-19,3.42062107563152e-17,"+"
"71","TFAP4",-12.4054520193191,5.79351374928048e-19,3.42062107563152e-17,"-"
"72","MPZL1",-11.5383834047655,6.09713398651476e-19,3.51171888969949e-17,"-"
"73","CEACAM21",-14.383447248048,6.11535016574577e-19,3.51171888969949e-17,"-"
