"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1","KBTBD2",-14.3721883365925,2.97609936779117e-25,3.41864534378172e-21,"-"
"2","GLIS2",-13.3886876825673,2.35395379458051e-24,1.35199336191731e-20,"-"
"3","MAX",-12.8798685816854,2.25802588141647e-23,8.64598109994368e-20,"-"
"4","AGO2",13.6237986451867,3.9584104626688e-23,9.09405219693529e-20,"+"
"5","CD5",-12.8592742887114,3.32534155962895e-23,9.09405219693529e-20,"-"
"6","PICALM",-13.787004514921,1.0894611496657e-22,1.83996372979503e-19,"-"
"7","LEO1",-13.4927686607937,1.12124541730349e-22,1.83996372979503e-19,"-"
"8","MKI67",-11.4971268177655,1.42008534394294e-22,1.90978956903746e-19,"-"
"9","SELPLG",-12.3970518495605,1.49630940379012e-22,1.90978956903746e-19,"-"
"10","TRIM33",-13.3589375850445,1.86216299013561e-22,2.13906662676877e-19,"-"
"11","ZBP1",-12.3672387432194,2.21713749941936e-22,2.31529622325729e-19,"-"
"12","MT1A",-12.4256244836791,2.89786864261366e-22,2.77398475814192e-19,"-"
"13","FUT8-AS1",-13.1157881233064,5.73918239049483e-22,5.07122985535493e-19,"-"
"14","SP110",-11.9614102691603,2.06924975652437e-21,1.58463146354636e-18,"-"
"15","DKK3",-12.903028636652,1.95436541803025e-21,1.58463146354636e-18,"-"
"16","GPX4",-12.7805708327564,3.59153073486149e-21,2.53227533916737e-18,"-"
"17","UPF1",12.7560840378369,3.74759996220469e-21,2.53227533916737e-18,"+"
"18","NASP",-13.0442486559621,5.1003774363155e-21,3.08358082162927e-18,"-"
"19","BCAS4",-12.6249405447599,4.89091156684819e-21,3.08358082162927e-18,"-"
"20","PTCD2",12.4757491623421,9.80328640784026e-21,5.63051754834305e-18,"+"
"21","BAK1",-12.704380745714,1.0505384045213e-20,5.74644507273151e-18,"-"
"22","UVSSA",-11.5713003102364,1.4898129727623e-20,7.77322694026016e-18,"-"
"23","CSNK1D",-12.3899882264297,1.55640480217623e-20,7.77322694026016e-18,"-"
"24","GAP43",-11.6561398304973,2.24024228541227e-20,1.07223596385545e-17,"-"
"25","RAB8B",-12.3237370162279,2.49829022334267e-20,1.14791439182149e-17,"-"
"26","ATP2B4",12.5718197608957,3.57601045208018e-20,1.57990892550173e-17,"+"
"27","LOC101928858",-12.2062899015691,3.99113029502619e-20,1.69800421107281e-17,"-"
"28","LOC105376365",-15.2993664460334,4.22574344428803e-20,1.73361124801917e-17,"-"
"29","HSP90AB1",12.1878003581138,4.4628859744075e-20,1.76776452372479e-17,"+"
"30","CC2D1B",-12.0375142573667,5.70485657452225e-20,2.17576756329146e-17,"-"
"31","RNF4",-12.0081300143958,5.87175019256857e-20,2.17576756329146e-17,"-"
"32","SNORA73B",-12.0956667525549,8.38631776414044e-20,3.01042600489629e-17,"-"
"33","GATA6",-12.054602788077,8.85845227275797e-20,3.08354670476275e-17,"-"
"34","LINC02607",-11.0734123225423,1.09440113432346e-19,3.69746642058048e-17,"-"
"35","TP53BP2",-11.9251244310194,1.59798012076241e-19,5.24457075634224e-17,"-"
"36","KLF2",12.6438600751078,1.95482544456092e-19,6.23752218935313e-17,"+"
"37","EXTL2",-11.6686925533744,3.07139730984284e-19,9.53544348599047e-17,"-"
"38","TGFBR2",-12.0002259983402,3.50033506675545e-19,1.05811444504789e-16,"-"
"39","PRKG2",-11.6409465874776,4.02683553207732e-19,1.18605794248647e-16,"-"
"40","POC1A",10.7604724001613,4.61231525644995e-19,1.27734488452065e-16,"+"
"41","CAMK2N2",-11.5867575492633,4.54772834455994e-19,1.27734488452065e-16,"-"
"42","TPM4",-11.594178066384,4.67036520848499e-19,1.27734488452065e-16,"-"
"43","SNORD60",11.5925197170972,4.97109605177513e-19,1.32797628713351e-16,"+"
"44","MIR937",10.6465049979088,6.05594610348784e-19,1.58101483842647e-16,"+"
"45","CCDC196",-10.5987453836526,7.65579209509976e-19,1.91178443035676e-16,"-"
"46","LOC101927322",-11.4437395510605,7.53150974799356e-19,1.91178443035676e-16,"-"
"47","TACO1",-11.3717156462548,1.19842593823759e-18,2.92900398990111e-16,"-"
"48","SNAPC3",-11.3227071578849,1.2492959468515e-18,2.98972136280899e-16,"-"
"49","IL10",-11.3889820240099,1.31899145175439e-18,3.09209281761279e-16,"-"
"50","PUM2",-11.3959549832512,1.42321121563149e-18,3.26968544679179e-16,"-"
