"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1","NBPF1",13.1820156678857,1.57215708825435e-17,1.20398831071938e-14,"+"
"2","ESYT1",-16.5245986798727,9.03190909591685e-18,1.20398831071938e-14,"-"
"3","ICAM5",-14.9284123910024,2.10948455666995e-17,1.20398831071938e-14,"-"
"4","MIR181D",14.9931022316696,1.81137323919691e-17,1.20398831071938e-14,"+"
"5","PRDM14",-11.9624624686369,2.06286900426816e-16,7.84921656124037e-14,"-"
"6","PRRG2",-15.6522682434776,1.72386555317079e-16,7.84921656124037e-14,"-"
"7","CD244",-13.9981418431355,2.88917112665737e-16,9.42282526022681e-14,"-"
"8","SSH1",15.2807815607847,3.66836167899867e-16,1.0243660416355e-13,"+"
"9","PABPN1",15.3593325464986,4.0382366950151e-16,1.0243660416355e-13,"+"
"10","DAB2IP",11.7129290107061,4.9233497110879e-16,1.12400073904137e-13,"+"
"11","DYRK1A",-14.1826474542428,7.17194652718426e-16,1.48850490196015e-13,"-"
"12","TMEM87B",15.1048300697228,8.19217310998573e-16,1.55856093417478e-13,"+"
"13","NAA40",14.8322611710831,1.7860327120044e-15,3.02340501702733e-13,"+"
"14","MAST3",-14.6451768252606,1.8540372421543e-15,3.02340501702733e-13,"-"
"15","CCND3",-12.9864761789553,3.43596287007635e-15,4.90722908797611e-13,"-"
"16","GNGT2",-13.2657386233091,3.43914434549355e-15,4.90722908797611e-13,"-"
"17","ARHGEF2",-12.8662869756183,3.78307729612841e-15,5.08045027474186e-13,"-"
"18","TLR10",-12.8670955453271,5.10197213939317e-15,5.97890847724629e-13,"-"
"19","HLA-A",14.3419847214358,5.23776476324686e-15,5.97890847724629e-13,"+"
"20","SUPV3L1",-14.2739698225628,5.15885969250173e-15,5.97890847724629e-13,"-"
"21","PRNP",14.3693774724533,5.81185273857116e-15,6.31831419150379e-13,"+"
"22","PIGV",14.1901604663483,6.30015958581888e-15,6.53784742473841e-13,"+"
"23","SLC35C2",14.3634757322627,6.84653341707524e-15,6.79592860486208e-13,"+"
"24","RRP12",-14.0492164326333,9.16701946254301e-15,8.72012726374403e-13,"-"
"25","LINC01063",-12.4529089553941,1.24411914220602e-14,1.09361236134955e-12,"-"
"26","CSF2",-12.5918450504647,1.24546304840509e-14,1.09361236134955e-12,"-"
