"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"1","CD8 TEM","PMC7672105","Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis","41467_2020_19702_MOESM8_ESM.xlsx","Sheet2-Unnamed_4",1728,265,3.3,3.92e-76,2.54e-70,"41467_2020_19702_MOESM8_ESM $ Sheet2-Unnamed_4",4
"2","CD8 TEM","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-9.xlsx","NK_cell_up-feature",2374,289,2.62,1.33e-60,4.32e-55,"media-9 $ NK_cell_up-feature",4
"3","CD8 TEM","PMC8960437","The Th1 cell regulatory circuitry is largely conserved between human and mouse","LSA-2021-01075_TableS3.xlsx","Table_S3-Human_ensembl_gene_id",2186,274,2.69,1.56e-59,2.8e-54,"LSA-2021-01075_TableS3 $ Table_S3-Human_ensembl_gene_id",5
"4","CD8 TEM","PMC8960437","The Th1 cell regulatory circuitry is largely conserved between human and mouse","LSA-2021-01075_TableS3.xlsx","Table_S3-hgnc_symbol",2187,274,2.69,1.72e-59,2.8e-54,"LSA-2021-01075_TableS3 $ Table_S3-hgnc_symbol",5
"5","CD8 TEM","PMC10361538","Immunologic Characterization and T cell Receptor Repertoires of Expanded Tumor-infiltrating Lymphocytes in Patients with Renal Cell Carcinoma","crc-22-0514-s05.xlsx","supp_table_s5-Unnamed_7",2449,287,2.52,1.8e-56,2.34e-51,"crc-22-0514-s05 $ supp_table_s5-Unnamed_7",6
"6","CD8 TEM","PMC9942876","Single-cell and spatial transcriptomics reveal aberrant lymphoid developmental programs driving granuloma formation","mmc4.xlsx","GA_vs_homeostatic_Th_cells-Unnamed_1",2011,256,2.74,2.77e-56,3e-51,"mmc4 $ GA_vs_homeostatic_Th_cells-Unnamed_1",5
"7","CD8 TEM","PMC9763233","Single-cell RNA sequencing reveals intrahepatic and peripheral immune characteristics related to disease phases in HBV-infected patients","gutjnl-2021-325915supp004.xlsx","CD4_T-gene",1708,230,2.89,3.98e-54,3.69e-49,"gutjnl-2021-325915supp004 $ CD4_T-gene",6
"8","CD8 TEM","PMC10581444","Single-cell RNA sequencing of liver fine-needle aspirates captures immune diversity in the blood and liver in chronic hepatitis B patients","hep-78-1525-s005.xlsx","marker_genes_-_CD8-Supplementary_table_All_marker_genes_for_CD8_T_cell_clusters",2147,257,2.57,2.85e-51,2.32e-46,"hep-78-1525-s005 $ marker_genes_-_CD8-Supplementary_table_All_marker_genes_for_CD8_T_cell_clusters",5
"9","CD8 TEM","PMC7574992","The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing","41421_2020_225_MOESM2_ESM.xlsx","Supplementary_Table_S5-gene",2354,271,2.47,3.84e-51,2.77e-46,"41421_2020_225_MOESM2_ESM $ Supplementary_Table_S5-gene",5
"10","CD8 TEM","PMC7773550","CDK8 Fine-Tunes IL-6 Transcriptional Activities by Limiting STAT3 Resident Time at the Gene Loci","mmc4.xlsx","B-Unnamed_3",1462,205,3.01,2.05e-50,1.33e-45,"mmc4 $ B-Unnamed_3",4
"11","CD4 Naive","PMC9685672","Identification and exploration of novel M2 macrophage-related biomarkers in the development of acute myocardial infarction","Table_6.XLSX","turquoise-module-gene-genes",2485,257,2.54,6.26e-51,4.06e-45,"Table_6.XLSX $ turquoise-module-gene-genes",1
"12","CD8 TEM","PMC10186977","Multi-omics blood atlas reveals unique features of immune and platelet responses to SARS-CoV-2 Omicron breakthrough infection","mmc8.xlsx","NKT_cell-gene",2188,256,2.51,3.9e-49,2.3e-44,"mmc8 $ NKT_cell-gene",6
"13","CD4 TCM","PMC10514084","Sézary syndrome originates from heavily mutated hematopoietic progenitors","BLOODA_ADV-2022-008562-mmc3.xlsx","PreExh-gene",1892,268,2.48,1.06e-49,6.74e-44,"BLOODA_ADV-2022-008562-mmc3 $ PreExh-gene",5
"14","CD4 TCM","PMC7672105","Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis","41467_2020_19702_MOESM8_ESM.xlsx","Sheet2-Unnamed_4",1728,253,2.56,3.06e-49,6.74e-44,"41467_2020_19702_MOESM8_ESM $ Sheet2-Unnamed_4",4
"15","CD4 TCM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","CD4_Memory-Gene_symbol",2415,310,2.25,3.11e-49,6.74e-44,"41467_2022_30893_MOESM8_ESM $ CD4_Memory-Gene_symbol",5
"16","CD8 TEM","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cluster_batch_1-gene",1762,224,2.73,3.65e-48,1.98e-43,"NIHMS1870503-supplement-2 $ DEGs_cluster_batch_1-gene",6
