,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
0,PMC4746609,The transcriptional regulator network of human inflammatory macrophages is defined by open chromatin,cr20161x7.xlsx,1C_comEs-Unnamed_13,2078,207,2.74,2.63e-45,1.71e-39
1,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_5,1772,184,2.86,3.97e-42,1.29e-36
2,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM4_ESM.xlsx,Super_enhancers_in_AML10-CLOSEST_GENE,1398,157,3.09,1.76e-39,3.82e-34
3,PMC7672105,Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis,41467_2020_19702_MOESM8_ESM.xlsx,Sheet1-Unnamed_10,1784,175,2.70,1.52e-36,2.47e-31
4,PMC9584034,Single-cell multiome of the human retina and deep learning nominate causal variants in complex eye diseases,mmc4.xlsx,Microglia-ISG15,2317,203,2.41,6.39e-36,8.30e-31
5,PMC7704697,A molecular cell atlas of the human lung from single cell RNA sequencing,NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx,Cluster_56-OLR1_Classical_Monocyte,723,105,4.00,1.97e-35,2.13e-30
6,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_2,2011,185,2.53,4.33e-35,4.02e-30
7,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S6-Unnamed_6,2058,187,2.50,8.55e-35,6.95e-30
8,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_11,2009,184,2.52,1.28e-34,9.25e-30
9,PMC7863270,Age-dependent VDR peak DNA methylation as a mechanism for latitude-dependent multiple sclerosis risk,13072_2021_383_MOESM4_ESM.xlsx,Sheet_1-Unnamed_12,2469,208,2.32,1.89e-34,1.23e-29
10,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_1,2029,184,2.50,4.78e-34,2.82e-29
11,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-CD34-_Blasts_Calprotectin_AZU1,2263,195,2.37,2.72e-33,1.47e-28
12,PMC9288051,Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia,13046_2022_2428_MOESM4_ESM.xlsx,Super_enhancers_in_AML4-CLOSEST_GENE,656,96,4.03,1.29e-32,6.45e-28
13,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-CD34-_Blasts_Calprotectin_AZU1-,2297,195,2.34,2.08e-32,9.64e-28
14,PMC9439955,Histone acetylome-wide associations in immune cells from individuals with active Mycobacterium tuberculosis infection,41564_2021_1049_MOESM4_ESM.xlsx,SupTable33-Gene_Name,731,101,3.80,3.40e-32,1.47e-27
15,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_9,2027,180,2.44,4.85e-32,1.97e-27
16,PMC8494216,A single-cell tumor immune atlas for precision oncology,supp_gr.273300.120_Supplemental_Table_S4.xlsx,TAMs_proinflamatory-Unnamed_6,696,98,3.88,6.65e-32,2.54e-27
17,PMC9554030,A disorder clinically resembling cystic fibrosis caused by biallelic variants in the AGR2 gene,jmedgenet-2021-108150supp001.xlsx,Tab4_WT_vs_LoF-symbol,2473,202,2.25,2.01e-31,7.26e-27
18,PMC7704697,A molecular cell atlas of the human lung from single cell RNA sequencing,NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx,Cluster_53-EREG_Dendritic,603,90,4.11,3.19e-31,1.09e-26
19,PMC9554030,A disorder clinically resembling cystic fibrosis caused by biallelic variants in the AGR2 gene,jmedgenet-2021-108150supp001.xlsx,Tab4_WT_vs_LoF-ensgene,2489,202,2.23,4.89e-31,1.45e-26
20,PMC4746609,The transcriptional regulator network of human inflammatory macrophages is defined by open chromatin,cr20161x9.xlsx,3A_Mb_all_SE-Unnamed_15,659,94,3.93,4.92e-31,1.45e-26
21,PMC4746609,The transcriptional regulator network of human inflammatory macrophages is defined by open chromatin,cr20161x9.xlsx,3B_MIFNy_all_SE-Unnamed_15,646,93,3.96,5.10e-31,1.45e-26
22,PMC5075285,Genetic Adaptation and Neandertal Admixture Shaped the Immune System of Human Populations,mmc2.xlsx,S2E-Unnamed_1,1843,168,2.51,5.13e-31,1.45e-26
23,PMC9562361,Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease,41467_2022_33780_MOESM3_ESM.xlsx,Table_S52-Table_S52,2394,196,2.25,1.78e-30,4.83e-26
24,PMC5075285,Genetic Adaptation and Neandertal Admixture Shaped the Immune System of Human Populations,mmc2.xlsx,S2E-Table_S2E_List_of_genes_displaying_allele-specific_expression_events_ASE,1817,165,2.50,3.29e-30,8.54e-26
25,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S6-Unnamed_8,2014,174,2.38,2.17e-29,5.42e-25
