,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
0,PMC9685672,Identification and exploration of novel M2 macrophage-related biomarkers in the development of acute myocardial infarction,Table_6.XLSX,turquoise-module-gene-genes,2485,257,2.54,6.26e-51,4.06e-45
1,PMC7672105,Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis,41467_2020_19702_MOESM8_ESM.xlsx,Sheet2-Unnamed_4,1728,179,2.54,1.21e-33,3.93e-28
2,PMC10025454,The molecular consequences of androgen activity in the human breast,mmc7.xlsx,lymphoid-Supplementary_Table_S6_Genes_found_differentially_expressed_between_trans-male_and_cis-female_samples_for_each_cell_type_related_to_Figures_2-7,2059,193,2.30,1.14e-30,1.85e-25
3,PMC9789591,Transcriptional profiling of hepatocytes infected with the replicative form of the malaria parasite Plasmodium cynomolgi,12936_2022_4411_MOESM8_ESM.xlsx,Annotation-Gene_Symbol,1991,189,2.33,1.14e-30,1.85e-25
4,PMC6472965,Transcriptome networks identify mechanisms of viral and nonviral asthma exacerbations in children,41590_2019_347_MOESM3_ESM.xlsx,Gene_symbols-m1_b,2114,191,2.22,2.96e-28,3.85e-23
5,PMC6472965,Transcriptome networks identify mechanisms of viral and nonviral asthma exacerbations in children,41590_2019_347_MOESM3_ESM.xlsx,ENSG_IDs-m1_b,2113,190,2.21,7.94e-28,8.59e-23
6,PMC7613404,MNK2 deficiency potentiates β-cell regeneration via translational regulation,41589_2022_1047_MOESM20_ESM.xlsx,cercoTranslationUp-GeneSymbol,1850,172,2.28,1.42e-26,1.31e-21
7,PMC8425158,ALKBH5-HOXA10 loop-mediated JAK2 m6A demethylation and cisplatin resistance in epithelial ovarian cancer,13046_2021_2088_MOESM2_ESM.xlsx,up-regulated_gene-gene_name,1848,171,2.27,3.60e-26,2.93e-21
8,PMC8425158,ALKBH5-HOXA10 loop-mediated JAK2 m6A demethylation and cisplatin resistance in epithelial ovarian cancer,13046_2021_2088_MOESM2_ESM.xlsx,up-regulated_gene-gene_id,1852,171,2.26,4.62e-26,3.33e-21
9,PMC4248721,Genome-wide redistribution of BRD4 binding sites in transformation resistant cells,mmc2.xls,HG_inter-no_WT_union_homer_anno-Gene_Name,2309,196,2.08,1.27e-25,8.26e-21
10,PMC6966835,Co-expression network analysis predicts a key role of microRNAs in the adaptation of the porcine skeletal muscle to nutrient supply,40104_2019_412_MOESM13_ESM.xlsx,T0T1_WGCNA_Blue_module-Unnamed_1,2061,181,2.15,3.81e-25,2.25e-20
11,PMC4248721,Genome-wide redistribution of BRD4 binding sites in transformation resistant cells,mmc2.xls,HG_inter-no_WT_union_homer_anno-Nearest_Ensembl,2284,193,2.07,6.15e-25,3.33e-20
12,PMC6992744,ATR is a MYB regulated gene and potential therapeutic target in adenoid cystic carcinoma,41389_2020_194_MOESM1_ESM.xlsx,Supplementary_table_1_txt-Unnamed_1,1413,141,2.45,2.08e-24,1.04e-19
13,PMC7870932,Biallelic loss of BCMA as a resistance mechanism to CAR T cell therapy in a patient with multiple myeloma,41467_2021_21177_MOESM4_ESM.xlsx,2_w_After_1st_Inf_vs_Baseline-Unnamed_1,1672,156,2.29,4.57e-24,2.12e-19
14,PMC3607232,RUNX1 Is a Key Target in t(4;11) Leukemias that Contributes to Gene Activation through an AF4-MLL Complex Interaction,mmc1.xls,MLLN_prom_RS411-MLL_prom_RS411,1822,163,2.19,2.88e-23,1.25e-18
15,PMC10585045,Characterizing the influence of various antimicrobials used for metaphylaxis against bovine respiratory disease on host transcriptome responses,Table_3.XLSX,edgeR_TILD_T5-List_of_differentially_expressed_genes_DEGs_identified_by_edgeR_for_TILD_vs_NC_at_T5_FDR_0_1,2402,195,1.99,4.14e-23,1.68e-18
16,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_1,1936,169,2.14,4.92e-23,1.88e-18
17,PMC7870932,Biallelic loss of BCMA as a resistance mechanism to CAR T cell therapy in a patient with multiple myeloma,41467_2021_21177_MOESM3_ESM.xlsx,Baseline_vs_2w_After_first_Inf-Symbol,2320,190,2.01,6.91e-23,2.44e-18
18,PMC7704697,A molecular cell atlas of the human lung from single cell RNA sequencing,NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx,Cluster_39_SS2-CD4_Naive_T,2049,175,2.09,7.14e-23,2.44e-18
19,PMC2736984,"Anti-oncogenic and pro-differentiation effects of clorgyline, a monoamine oxidase A inhibitor, on high grade prostate cancer cells",1755-8794-2-55-S3.xls,96_hr_up-Gene_symbol,1878,165,2.15,9.71e-23,3.15e-18
20,PMC6585752,"Gene Expression and Pharmacodynamic Changes in 1,760 Systemic Lupus Erythematosus Patients From Two Phase III Trials of BAFF Blockade With Tabalumab",ART-69-643-s002.xlsx,Module_definitions-High_turquoise,1309,131,2.45,1.02e-22,3.15e-18
21,PMC10336139,Multi-batch single-cell comparative atlas construction by deep learning disentanglement,41467_2023_39494_MOESM4_ESM.xlsx,4c-gene,2461,197,1.96,1.21e-22,3.58e-18
22,PMC3607232,RUNX1 Is a Key Target in t(4;11) Leukemias that Contributes to Gene Activation through an AF4-MLL Complex Interaction,mmc1.xls,MLLN_prom_RS411-MLL_body_RS411,1950,167,2.10,7.39e-22,2.09e-17
23,PMC7870932,Biallelic loss of BCMA as a resistance mechanism to CAR T cell therapy in a patient with multiple myeloma,41467_2021_21177_MOESM3_ESM.xlsx,Baseline_vs_2w_After_second_Inf-Symbol,2098,175,2.05,9.51e-22,2.57e-17
24,PMC7871627,Identification of monocyte-associated genes as predictive biomarkers of heart failure after acute myocardial infarction,12920_2021_890_MOESM8_ESM.xlsx,Sheet1-Gene_symbol_1,1822,159,2.14,1.50e-21,3.90e-17
25,PMC9789591,Transcriptional profiling of hepatocytes infected with the replicative form of the malaria parasite Plasmodium cynomolgi,12936_2022_4411_MOESM13_ESM.xlsx,vs_uninfected_only_Annotation-Gene_Symbol,1391,133,2.34,2.76e-21,6.64e-17
26,PMC9789591,Transcriptional profiling of hepatocytes infected with the replicative form of the malaria parasite Plasmodium cynomolgi,12936_2022_4411_MOESM13_ESM.xlsx,vs_uninfected_only_Annotation-MyList,1391,133,2.34,2.76e-21,6.64e-17
27,PMC10570335,Fertility-preserving myeloablative conditioning using single-dose CD117 antibody-drug conjugate in a rhesus gene therapy model,41467_2023_41153_MOESM3_ESM.xlsx,Supplementary_figure_6-Unnamed_53,1704,151,2.17,4.90e-21,1.14e-16
28,PMC3937269,"Plasma Cholesterol–Induced Lesion Networks Activated before Regression of Early, Mature, and Advanced Atherosclerosis",pgen.1004201.s012.xlsx,Sheet1-Unnamed_1,1846,159,2.11,5.60e-21,1.25e-16
29,PMC3557294,Endoxifen’s Molecular Mechanisms of Action Are Concentration Dependent and Different than That of Other Anti-Estrogens,pone.0054613.s008.xls,Sheet1-Unnamed_1,1852,157,2.08,5.11e-20,1.11e-15
30,PMC5472579,TGF-beta/atRA-induced Tregs express a selected set of microRNAs involved in the repression of transcripts related to Th17 differentiation,41598_2017_3456_MOESM2_ESM.xls,default-Gene_Symbol,2039,167,2.01,7.44e-20,1.56e-15
31,PMC6102898,Malignant canine mammary epithelial cells shed exosomes containing differentially expressed microRNA that regulate oncogenic networks,12885_2018_4750_MOESM2_ESM.xlsx,Sheet1-Gene_Symbol,1776,152,2.10,9.89e-20,2.01e-15
32,PMC6966835,Co-expression network analysis predicts a key role of microRNAs in the adaptation of the porcine skeletal muscle to nutrient supply,40104_2019_412_MOESM9_ESM.xlsx,T0T1_HubScores_WGCNA-Unnamed_1,1589,141,2.18,1.26e-19,2.49e-15
33,PMC8692249,Single-Cell Transcriptome Analysis Reveals RGS1 as a New Marker and Promoting Factor for T-Cell Exhaustion in Multiple Cancers,DataSheet_2.xlsx,NSCLC_CD8-gene,1387,129,2.28,1.34e-19,2.57e-15
34,PMC10546663,Human basal-like breast cancer is represented by one of the two mammary tumor subtypes in dogs,13058_2023_1705_MOESM7_ESM.xlsx,Table_S6-4-Unnamed_5,2278,179,1.93,1.59e-19,2.92e-15
35,PMC10514084,Sézary syndrome originates from heavily mutated hematopoietic progenitors,BLOODA_ADV-2022-008562-mmc3.xlsx,PreExh-gene,1892,158,2.05,1.62e-19,2.92e-15
36,PMC9259848,"Computational Recognition of a Regulatory T-cell-specific Signature With Potential Implications in Prognosis, Immunotherapy, and Therapeutic Resistance of Prostate Cancer",Table_1.xlsx,Table_S3-Supplementary_Table_3_List_of_2407_dysregulated_mRNAs_highly_expressed_in_Tregs,2264,178,1.93,2.17e-19,3.82e-15
37,PMC10102512,Uncovering a novel role of focal adhesion and interferon-gamma in cellular rejection of kidney allografts at single cell resolution,Table_4.xlsx,Tcells_BorderlinevsTCMR-gene,1984,162,2.00,4.39e-19,7.50e-15
38,PMC10570335,Fertility-preserving myeloablative conditioning using single-dose CD117 antibody-drug conjugate in a rhesus gene therapy model,41467_2023_41153_MOESM3_ESM.xlsx,Supplementary_figure_6-Unnamed_27,1584,139,2.15,6.58e-19,1.10e-14
39,PMC10319804,Defining the landscape of circular RNAs in neuroblastoma unveils a global suppressive function of MYCN,41467_2023_38747_MOESM10_ESM.xlsx,cARID1A_KD_genes_down-gene_name,1966,160,2.00,1.08e-18,1.75e-14
40,PMC7612139,Autocrine Vitamin D-signaling switches off pro-inflammatory programs of Th1 cells,EMS137571-supplement-Table_S1.xlsx,Table_S1D-Unnamed_8,1971,160,1.99,1.38e-18,2.18e-14
41,PMC7704697,A molecular cell atlas of the human lung from single cell RNA sequencing,NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx,Cluster_38_SS2-CD4_Memory_Effector_T,2404,183,1.87,1.70e-18,2.63e-14
42,PMC9196334,Exploration of Different Hypoxia Patterns and Construction of a Hypoxia-Related Gene Prognostic Index in Colorectal Cancer,Table_1.xlsx,Table_S6-Unnamed_2,1996,161,1.98,1.91e-18,2.89e-14
43,PMC10546663,Human basal-like breast cancer is represented by one of the two mammary tumor subtypes in dogs,13058_2023_1705_MOESM7_ESM.xlsx,Table_S6-4-Unnamed_34,2257,175,1.90,1.97e-18,2.90e-14
44,PMC6808641,Comparison of the MGISEQ-2000 and Illumina HiSeq 4000 sequencing platforms for RNA sequencing,gi-2019-17-3-e32-supple5.xlsx,DEG_X36165160_2nd-Unnamed_0,1503,133,2.17,2.28e-18,3.24e-14
45,PMC10361538,Immunologic Characterization and T cell Receptor Repertoires of Expanded Tumor-infiltrating Lymphocytes in Patients with Renal Cell Carcinoma,crc-22-0514-s05.xlsx,supp_table_s5-Unnamed_7,2449,185,1.85,2.29e-18,3.24e-14
46,PMC3564262,Genome-wide analysis of FOXO3 mediated transcription regulation through RNA polymerase II profiling,msb201274-s2.xls,Fig_S10_changed_genes_RNAPII-Unnamed_5,2146,168,1.92,5.08e-18,7.02e-14
47,PMC4073284,Loss of the multifunctional RNA-binding protein RBM47 as a source of selectable metastatic traits in breast cancer,elife02734s003.xlsx,Updated-Unnamed_1,2469,185,1.84,5.39e-18,7.26e-14
48,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-9.xlsx,NK_cell_up-feature,2374,180,1.86,5.54e-18,7.26e-14
49,PMC8802454,TRPM7 silencing modulates glucose metabolic reprogramming to inhibit the growth of ovarian cancer by enhancing AMPK activation to promote HIF-1α degradation,13046_2022_2252_MOESM4_ESM.xlsx,down_T_vs_C-Unnamed_1,1641,140,2.09,5.59e-18,7.26e-14
50,PMC9624228,Integrated analysis of the whole transcriptome of skeletal muscle reveals the ceRNA regulatory network related to the formation of muscle fibers in Tan sheep,Table2.XLSX,circRNA-gene_pairs-Unnamed_12,1713,144,2.06,6.02e-18,7.67e-14
