,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
0,PMC10514084,Sézary syndrome originates from heavily mutated hematopoietic progenitors,BLOODA_ADV-2022-008562-mmc3.xlsx,PreExh-gene,1892,268,2.48,1.06e-49,6.74e-44
1,PMC7672105,Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis,41467_2020_19702_MOESM8_ESM.xlsx,Sheet2-Unnamed_4,1728,253,2.56,3.06e-49,6.74e-44
2,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM8_ESM.xlsx,CD4_Memory-Gene_symbol,2415,310,2.25,3.11e-49,6.74e-44
3,PMC10361538,Immunologic Characterization and T cell Receptor Repertoires of Expanded Tumor-infiltrating Lymphocytes in Patients with Renal Cell Carcinoma,crc-22-0514-s05.xlsx,supp_table_s5-Unnamed_7,2449,307,2.19,1.90e-46,3.08e-41
4,PMC9942876,Single-cell and spatial transcriptomics reveal aberrant lymphoid developmental programs driving granuloma formation,mmc4.xlsx,GA_vs_homeostatic_Th_cells-Unnamed_1,2011,271,2.36,4.67e-46,6.06e-41
5,PMC7831653,Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid,mmc5.xlsx,Marker_genes_T_subclusters-gene,2381,297,2.18,3.31e-44,3.59e-39
6,PMC7773550,CDK8 Fine-Tunes IL-6 Transcriptional Activities by Limiting STAT3 Resident Time at the Gene Loci,mmc4.xlsx,B-Unnamed_3,1462,220,2.63,4.43e-44,4.11e-39
7,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_13,1951,258,2.32,5.02e-42,4.08e-37
8,PMC10266353,HIV-1 activates oxidative phosphorylation in infected CD4 T cells in a human tonsil explant model,Table_7.csv,Unnamed_0,2396,291,2.13,7.45e-41,5.38e-36
9,PMC8445447,Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients,ppat.1009804.s017.xlsx,MAIT_Flu-Differentially_expressed_genes_in_MAIT_cells_for_ECMO_vs_non-ECMO_influenza_ICU_patients,1758,239,2.38,1.46e-40,9.50e-36
10,PMC9279430,Single cell sequencing identifies clonally expanded synovial CD4+ TPH cells expressing GPR56 in rheumatoid arthritis,41467_2022_31519_MOESM6_ESM.xlsx,Supplementary_Data_3-Unnamed_7,1880,249,2.32,1.77e-40,1.05e-35
