,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
0,PMC7672105,Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis,41467_2020_19702_MOESM8_ESM.xlsx,Sheet2-Unnamed_4,1728,265,3.30,3.92e-76,2.54e-70
1,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-9.xlsx,NK_cell_up-feature,2374,289,2.62,1.33e-60,4.32e-55
2,PMC8960437,The Th1 cell regulatory circuitry is largely conserved between human and mouse,LSA-2021-01075_TableS3.xlsx,Table_S3-Human_ensembl_gene_id,2186,274,2.69,1.56e-59,2.80e-54
3,PMC8960437,The Th1 cell regulatory circuitry is largely conserved between human and mouse,LSA-2021-01075_TableS3.xlsx,Table_S3-hgnc_symbol,2187,274,2.69,1.72e-59,2.80e-54
4,PMC10361538,Immunologic Characterization and T cell Receptor Repertoires of Expanded Tumor-infiltrating Lymphocytes in Patients with Renal Cell Carcinoma,crc-22-0514-s05.xlsx,supp_table_s5-Unnamed_7,2449,287,2.52,1.80e-56,2.34e-51
5,PMC9942876,Single-cell and spatial transcriptomics reveal aberrant lymphoid developmental programs driving granuloma formation,mmc4.xlsx,GA_vs_homeostatic_Th_cells-Unnamed_1,2011,256,2.74,2.77e-56,3.00e-51
6,PMC9763233,Single-cell RNA sequencing reveals intrahepatic and peripheral immune characteristics related to disease phases in HBV-infected patients,gutjnl-2021-325915supp004.xlsx,CD4_T-gene,1708,230,2.89,3.98e-54,3.69e-49
7,PMC10581444,Single-cell RNA sequencing of liver fine-needle aspirates captures immune diversity in the blood and liver in chronic hepatitis B patients,hep-78-1525-s005.xlsx,marker_genes_-_CD8-Supplementary_table_All_marker_genes_for_CD8_T_cell_clusters,2147,257,2.57,2.85e-51,2.32e-46
8,PMC7574992,The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing,41421_2020_225_MOESM2_ESM.xlsx,Supplementary_Table_S5-gene,2354,271,2.47,3.84e-51,2.77e-46
9,PMC7773550,CDK8 Fine-Tunes IL-6 Transcriptional Activities by Limiting STAT3 Resident Time at the Gene Loci,mmc4.xlsx,B-Unnamed_3,1462,205,3.01,2.05e-50,1.33e-45
10,PMC10186977,Multi-omics blood atlas reveals unique features of immune and platelet responses to SARS-CoV-2 Omicron breakthrough infection,mmc8.xlsx,NKT_cell-gene,2188,256,2.51,3.90e-49,2.30e-44
11,PMC9950534,Single-cell RNA sequencing identifies a population of human liver-type ILC1s,NIHMS1870503-supplement-2.xlsx,DEGs_cluster_batch_1-gene,1762,224,2.73,3.65e-48,1.98e-43
12,PMC10565639,Single‐cell profiling of muscle‐infiltrating T cells in idiopathic inflammatory myopathies,EMMM-15-e17240-s009.xlsx,Data_Set_EV5-Data_Set_EV5_Differentially_expressed_genes_in_memory_T_cells_from_healthy_control_PBMC_treated_with_collagenase_versus_control,1743,222,2.74,7.39e-48,3.69e-43
13,PMC9554086,A novel unconventional T cell population enriched in Crohn’s disease,gutjnl-2021-325373supp004.xlsx,D_all_marker_genes-Unnamed_1,1610,211,2.82,3.59e-47,1.67e-42
14,PMC9950534,Single-cell RNA sequencing identifies a population of human liver-type ILC1s,NIHMS1870503-supplement-2.xlsx,DEGs_cluster_batch_1-Unnamed_0,1794,224,2.68,7.96e-47,3.45e-42
15,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-NK_and_T_cells,1545,204,2.84,6.08e-46,2.47e-41
16,PMC7831653,Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid,mmc5.xlsx,Marker_genes_T_subclusters-gene,2381,263,2.37,6.79e-46,2.55e-41
17,PMC9888347,Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma,41375_2023_1824_MOESM3_ESM.xlsx,8-ENSEMBL_ID,1901,230,2.60,7.07e-46,2.55e-41
18,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-9.xlsx,CD8_T_cell_up-feature,1607,208,2.78,1.49e-45,5.09e-41
19,PMC10259667,Single‐cell atlas reveals a distinct immune profile fostered by T cell‐B cell crosstalk in triple negative breast cancer,CAC2-43-661-s001.xlsx,S11-Supplementary_Table_S11_Differentially_expressed_genes_of_Treg_cells_exhausted_CD8_T_cells_and_cytotoxic_CD8_T_cells_in_TNBC_compared_to_their_counterparts,1967,234,2.56,1.65e-45,5.35e-41
20,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM8_ESM.xlsx,CD8_Memory-Gene_symbol,2113,244,2.48,1.99e-45,6.16e-41
21,PMC9888347,Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma,41375_2023_1824_MOESM3_ESM.xlsx,8-gene,1915,230,2.58,2.50e-45,7.38e-41
22,PMC8800370,CD19-CAR T cells undergo exhaustion DNA methylation programming in patients with acute lymphoblastic leukemia,NIHMS1769771-supplement-Supplemental_Table_1.xlsx,Week3_demethylated_Kmeans-Unnamed_19,2221,250,2.42,1.05e-44,2.97e-40
23,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_9,1659,209,2.71,6.40e-44,1.73e-39
24,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_7,2015,233,2.49,3.62e-43,9.41e-39
25,PMC9763233,Single-cell RNA sequencing reveals intrahepatic and peripheral immune characteristics related to disease phases in HBV-infected patients,gutjnl-2021-325915supp004.xlsx,gdT-gene,1075,162,3.24,4.25e-43,1.06e-38
26,PMC9562361,Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease,41467_2022_33780_MOESM3_ESM.xlsx,Table_S43-Table_S43,1967,229,2.50,8.21e-43,1.97e-38
27,PMC9174272,"Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure",41467_2022_30893_MOESM8_ESM.xlsx,NKdim-Gene_symbol,2306,252,2.35,8.57e-43,1.99e-38
28,PMC8771561,Single-cell RNA landscape of the osteoimmunology microenvironment in periodontitis,thnov12p1074s3.xlsx,Supplementary_Table_2_7-Supplementary_Table_2_7_All_marker_genes_of_cell_types_shown_in_Fig_6B,1896,222,2.52,1.00e-41,2.20e-37
