,Paper,Title,Supporting.Table,Column,Gene.Set.Size,Overlap,Odds,P.Value,Adj.P.Value
0,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-19.xlsx,up_2-feature,1204,123,3.44,3.24e-35,2.11e-29
1,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S4-Unnamed_9,1659,144,2.92,1.13e-33,3.67e-28
2,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,sc2marker_nk-gene,1189,116,3.28,3.11e-31,5.05e-26
3,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,Hyper_nk-gene,1189,116,3.28,3.11e-31,5.05e-26
4,PMC10581444,Single-cell RNA sequencing of liver fine-needle aspirates captures immune diversity in the blood and liver in chronic hepatitis B patients,hep-78-1525-s005.xlsx,marker_genes_-_CD8-Supplementary_table_All_marker_genes_for_CD8_T_cell_clusters,2147,162,2.54,5.11e-31,6.64e-26
5,PMC10186977,Multi-omics blood atlas reveals unique features of immune and platelet responses to SARS-CoV-2 Omicron breakthrough infection,mmc8.xlsx,NKT_cell-gene,2188,163,2.51,1.39e-30,1.50e-25
6,PMC9950534,Single-cell RNA sequencing identifies a population of human liver-type ILC1s,NIHMS1870503-supplement-2.xlsx,DEGs_cluster_batch_1-gene,1762,142,2.71,1.02e-29,9.49e-25
7,PMC9013654,Immune features of COVID-19 convalescent individuals revealed by a single-cell RNA sequencing,mmc5.xlsx,5-gene,742,88,3.99,1.45e-29,1.18e-24
8,PMC7921413,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,41467_2021_21650_MOESM5_ESM.xlsx,002_DE-NK_and_T_cells,1545,131,2.85,2.31e-29,1.66e-24
9,PMC9950534,Single-cell RNA sequencing identifies a population of human liver-type ILC1s,NIHMS1870503-supplement-2.xlsx,DEGs_cluster_batch_1-Unnamed_0,1794,142,2.66,6.70e-29,4.35e-24
10,PMC6642679,Epigenetic programming underpins B cell dysfunction in human SLE,NIHMS1529080-supplement-4.xlsx,Sheet1-Unnamed_1,1794,140,2.62,7.95e-28,3.60e-23
11,PMC7982650,Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases,Data_Sheet_2.xlsx,Table_S8-Unnamed_8,2017,150,2.50,9.07e-28,3.60e-23
12,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,Ttest_nk-Unnamed_0,1399,121,2.91,9.41e-28,3.60e-23
13,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,LR_nk-Unnamed_0,1399,121,2.91,9.41e-28,3.60e-23
14,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,ROC_nk-Unnamed_0,1399,121,2.91,9.41e-28,3.60e-23
15,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,Wilcox_nk-Unnamed_0,1399,121,2.91,9.41e-28,3.60e-23
16,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM4_ESM.xlsx,MAST_nk-Unnamed_0,1399,121,2.91,9.41e-28,3.60e-23
17,PMC9135966,Single Cell Transcriptome and Surface Epitope Analysis of Ankylosing Spondylitis Facilitates Disease Classification by Machine Learning,Table_5.xlsx,NK_SUBSETS_DEGs-gene,2210,155,2.36,4.87e-26,1.76e-21
18,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Maternal_Natural_Killer_Cells-Gene,639,75,3.95,6.76e-25,2.31e-20
19,PMC4920892,T-bet Activates Th1 Genes through Mediator and the Super Elongation Complex,mmc3.xlsx,Table_S2_Human_super-enhancers-Closest_Gene_TSS,284,50,5.92,1.25e-24,4.05e-20
20,PMC10361538,Immunologic Characterization and T cell Receptor Repertoires of Expanded Tumor-infiltrating Lymphocytes in Patients with Renal Cell Carcinoma,crc-22-0514-s05.xlsx,supp_table_s5-Unnamed_7,2449,162,2.22,1.43e-24,4.42e-20
21,PMC10011423,Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences,42003_2023_4623_MOESM5_ESM.xlsx,Fetal_CD8_Activated_T_Cells-Gene,891,89,3.36,1.78e-24,5.26e-20
22,PMC9103331,Single-cell landscape of immunocytes in patients with extrahepatic cholangiocarcinoma,12967_2022_3424_MOESM4_ESM.xlsx,20-gene,461,62,4.52,8.80e-24,2.11e-19
23,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,Wilcox_B-Marker_detection_results_in_Human_Cell_Atlas_Human_-PBMC_data_set_for_all_evaluated_methods,2275,153,2.26,9.11e-24,2.11e-19
24,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,T_B-Unnamed_0,2275,153,2.26,9.11e-24,2.11e-19
25,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,LR_B-Unnamed_0,2275,153,2.26,9.11e-24,2.11e-19
26,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,ROC_B-Unnamed_0,2275,153,2.26,9.11e-24,2.11e-19
27,PMC9281170,Detection of cell markers from single cell RNA-seq with sc2marker,12859_2022_4817_MOESM5_ESM.xlsx,MAST_B-Unnamed_0,2275,153,2.26,9.11e-24,2.11e-19
28,PMC7574992,The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing,41421_2020_225_MOESM2_ESM.xlsx,Supplementary_Table_S5-gene,2354,155,2.21,3.62e-23,8.12e-19
29,PMC9296597,Single-cell multiomics analysis reveals regulatory programs in clear cell renal cell carcinoma,41421_2022_415_MOESM4_ESM.xlsx,NK_NKT_cell-gene,349,53,5.11,6.47e-23,1.40e-18
30,PMC9399107,scRNA-seq of gastric tumor shows complex intercellular interaction with an alternative T cell exhaustion trajectory,41467_2022_32627_MOESM6_ESM.xlsx,NK_NKT_and_γδT_subsets-gene_name_NK_FCGR3A,486,62,4.29,1.49e-22,3.08e-18
31,PMC8416549,Early IFN-α signatures and persistent dysfunction are distinguishing features of NK cells in severe COVID-19,mmc5.xlsx,DEG-Unnamed_1,1104,97,2.95,1.52e-22,3.08e-18
32,PMC7924267,A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2,media-19.xlsx,down_6-feature,2196,147,2.25,1.56e-22,3.08e-18
33,PMC7704697,A molecular cell atlas of the human lung from single cell RNA sequencing,NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx,Cluster_41-Natural_Killer,539,65,4.06,2.88e-22,5.45e-18
