#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABT1	NOM1	9606.ENSP00000274849	9606.ENSP00000275820	0	0	0	0	0.142	0.954	0	0.329	0.971
ACADS	CPT2	9606.ENSP00000242592	9606.ENSP00000360541	0	0	0	0	0.223	0.098	0	0.898	0.922
ACADVL	CPT2	9606.ENSP00000438689	9606.ENSP00000360541	0	0	0	0	0.324	0.099	0.900	0.935	0.995
ACSF3	FASN	9606.ENSP00000479130	9606.ENSP00000304592	0.086	0.097	0	0	0.148	0.071	0.929	0.458	0.969
ACTR1A	BICDL1	9606.ENSP00000358921	9606.ENSP00000380690	0	0	0	0	0	0.910	0	0.382	0.942
ACTR5	INO80B	9606.ENSP00000243903	9606.ENSP00000233331	0	0	0	0	0.133	0.963	0.900	0.471	0.998
ACTR5	WBP1	9606.ENSP00000243903	9606.ENSP00000233615	0	0	0	0	0.049	0.895	0	0.336	0.927
ACTR5	ING3	9606.ENSP00000243903	9606.ENSP00000320566	0	0	0	0	0	0	0.900	0.084	0.904
ACTR5	YY1	9606.ENSP00000243903	9606.ENSP00000262238	0	0	0	0	0.049	0.811	0.900	0.226	0.984
ACTR5	NFRKB	9606.ENSP00000243903	9606.ENSP00000436926	0	0	0	0	0.155	0.994	0.900	0.805	0.999
ACTR5	INO80	9606.ENSP00000243903	9606.ENSP00000497609	0	0	0	0	0.075	0.998	0.900	0.427	0.999
ACVR2A	TGFBR3	9606.ENSP00000241416	9606.ENSP00000212355	0	0	0	0	0.056	0.098	0.720	0.843	0.957
ACVR2A	SMAD2	9606.ENSP00000241416	9606.ENSP00000262160	0	0	0	0	0.088	0.126	0.900	0.746	0.977
ACVR2A	SMAD3	9606.ENSP00000241416	9606.ENSP00000332973	0	0	0	0	0.086	0.126	0.900	0.768	0.979
ACVR2A	TGFBR1	9606.ENSP00000241416	9606.ENSP00000447297	0	0	0.082	0.779	0.158	0.152	0.800	0.927	0.988
ADCY4	PRKCD	9606.ENSP00000312126	9606.ENSP00000331602	0	0	0	0	0.087	0	0.900	0.073	0.908
ADK	PDE3B	9606.ENSP00000443965	9606.ENSP00000282096	0	0	0	0	0	0	0.900	0.278	0.924
ADK	ADSL	9606.ENSP00000443965	9606.ENSP00000485525	0.100	0	0	0	0.096	0.250	0.900	0.690	0.977
ADSL	PPAT	9606.ENSP00000485525	9606.ENSP00000264220	0.231	0	0	0	0.964	0.250	0	0.910	0.997
ADSL	PDE3B	9606.ENSP00000485525	9606.ENSP00000282096	0	0	0	0	0	0	0.900	0.048	0.900
AFAP1	SRC	9606.ENSP00000410689	9606.ENSP00000362680	0	0	0	0	0	0.113	0	0.963	0.965
AFF1	ICE1	9606.ENSP00000378578	9606.ENSP00000296564	0	0	0	0	0.049	0	0.900	0.158	0.913
AFF1	ZC3H8	9606.ENSP00000378578	9606.ENSP00000386488	0	0	0	0	0.046	0.091	0.900	0.057	0.907
AFF1	SUPT5H	9606.ENSP00000378578	9606.ENSP00000470252	0	0	0	0	0.049	0.091	0.900	0.381	0.939
AFF1	KMT2A	9606.ENSP00000378578	9606.ENSP00000436786	0	0	0	0	0.123	0.552	0	0.978	0.990
AFG3L2	PHB	9606.ENSP00000269143	9606.ENSP00000479488	0	0	0	0	0.248	0.672	0.500	0.532	0.934
AGO2	HSD17B10	9606.ENSP00000220592	9606.ENSP00000168216	0	0	0	0	0.047	0	0.900	0.060	0.902
AGO2	PRORP	9606.ENSP00000220592	9606.ENSP00000440915	0	0	0	0	0.049	0	0.900	0.063	0.903
AGO2	RBM8A	9606.ENSP00000220592	9606.ENSP00000463058	0	0	0	0	0.049	0	0	0.961	0.961
AGO2	HSP90AA1	9606.ENSP00000220592	9606.ENSP00000335153	0	0	0	0	0.062	0.770	0	0.989	0.997
AKAP13	GNA12	9606.ENSP00000354718	9606.ENSP00000275364	0	0	0	0	0.053	0.335	0.900	0.630	0.973
AKAP13	GNA13	9606.ENSP00000354718	9606.ENSP00000400717	0	0	0	0	0.060	0.100	0.900	0.307	0.933
AKAP13	RHOA	9606.ENSP00000354718	9606.ENSP00000400175	0	0	0	0	0.089	0.970	0.900	0.991	0.999
AKT2	MAPK14	9606.ENSP00000375892	9606.ENSP00000229795	0	0	0.118	0.630	0.089	0.110	0.900	0.194	0.932
AKT2	PDE3B	9606.ENSP00000375892	9606.ENSP00000282096	0	0	0	0	0	0.045	0.900	0.213	0.918
AKT2	RPTOR	9606.ENSP00000375892	9606.ENSP00000307272	0	0	0	0	0.049	0.052	0.900	0.768	0.976
AKT2	RPS6KB2	9606.ENSP00000375892	9606.ENSP00000308413	0	0	0.072	0.860	0.101	0.095	0.900	0.138	0.923
AKT2	HSP90AA1	9606.ENSP00000375892	9606.ENSP00000335153	0	0	0	0	0.047	0.223	0.900	0.380	0.948
AKT2	PIK3R6	9606.ENSP00000375892	9606.ENSP00000480157	0	0	0	0	0	0	0.900	0.159	0.912
AKT2	BAD	9606.ENSP00000375892	9606.ENSP00000378040	0	0	0	0	0.054	0.065	0.900	0.201	0.919
ALG5	DPM2	9606.ENSP00000239891	9606.ENSP00000322181	0	0	0	0	0.094	0	0.900	0.541	0.954
ALG5	DOLPP1	9606.ENSP00000239891	9606.ENSP00000361625	0.057	0	0	0	0.049	0	0.900	0.615	0.960
ALYREF	ZC3H13	9606.ENSP00000421592	9606.ENSP00000242848	0	0	0	0	0.097	0.729	0	0.660	0.909
ALYREF	SRSF7	9606.ENSP00000421592	9606.ENSP00000325905	0	0	0	0	0.547	0.616	0.500	0.579	0.958
ALYREF	RBM8A	9606.ENSP00000421592	9606.ENSP00000463058	0	0	0	0	0.226	0.710	0.500	0.877	0.984
AP2A1	CLTA	9606.ENSP00000351926	9606.ENSP00000242285	0	0	0	0	0.054	0.268	0.900	0.788	0.983
AP2A1	CLTB	9606.ENSP00000351926	9606.ENSP00000309415	0	0	0	0	0.060	0.637	0.900	0.793	0.992
AP2A1	AP5Z1	9606.ENSP00000351926	9606.ENSP00000497815	0	0	0	0	0.103	0	0.900	0.079	0.910
AQR	PRPF38A	9606.ENSP00000156471	9606.ENSP00000257181	0	0	0	0	0.306	0.800	0.400	0.366	0.940
AQR	RBM8A	9606.ENSP00000156471	9606.ENSP00000463058	0	0	0	0	0.067	0.937	0	0.149	0.946
AQR	SNRPG	9606.ENSP00000156471	9606.ENSP00000393388	0	0	0	0	0.062	0.976	0.900	0	0.997
AQR	PPIE	9606.ENSP00000156471	9606.ENSP00000361918	0	0	0	0	0.058	0.979	0.900	0.648	0.999
AQR	RBM22	9606.ENSP00000156471	9606.ENSP00000199814	0	0	0	0	0.074	0.989	0.900	0.288	0.999
ARHGAP1	BNIP2	9606.ENSP00000310491	9606.ENSP00000267859	0	0	0	0.654	0.042	0.768	0	0.717	0.931
ARHGAP1	RHOA	9606.ENSP00000310491	9606.ENSP00000400175	0	0	0	0	0.088	0.986	0.400	0.916	0.999
ARHGAP5	SRC	9606.ENSP00000371897	9606.ENSP00000362680	0	0	0	0	0	0.067	0.900	0.694	0.969
ARHGAP5	RHOA	9606.ENSP00000371897	9606.ENSP00000400175	0	0	0	0	0	0.708	0.900	0.757	0.992
ARHGDIB	RAC2	9606.ENSP00000228945	9606.ENSP00000249071	0	0	0	0	0.495	0.963	0	0.650	0.992
ARHGDIB	RHOA	9606.ENSP00000228945	9606.ENSP00000400175	0	0	0	0	0.106	0.523	0.900	0.911	0.995
ARNTL	CRY1	9606.ENSP00000384517	9606.ENSP00000008527	0	0	0	0	0.116	0.982	0.900	0.998	0.999
ARNTL	NR1D1	9606.ENSP00000384517	9606.ENSP00000246672	0	0	0	0	0.049	0	0.500	0.979	0.989
ARNTL	PER1	9606.ENSP00000384517	9606.ENSP00000314420	0	0	0	0.569	0.044	0.954	0.500	0.403	0.985
ARNTL	HIF1A	9606.ENSP00000384517	9606.ENSP00000437955	0	0	0	0.623	0	0.749	0	0.860	0.963
ARPC1A	ARPC3	9606.ENSP00000262942	9606.ENSP00000228825	0	0	0	0	0.147	0.995	0.900	0.955	0.999
ARPC1A	ARPC1B	9606.ENSP00000262942	9606.ENSP00000389631	0	0	0.054	0.973	0.105	0.225	0.900	0.817	0.985
ARPC1B	ARPC3	9606.ENSP00000389631	9606.ENSP00000228825	0	0	0	0	0.781	0.995	0.900	0.998	0.999
ARPC1B	NCKIPSD	9606.ENSP00000389631	9606.ENSP00000294129	0	0	0	0	0.049	0.826	0.500	0	0.910
ARPC3	NCKIPSD	9606.ENSP00000228825	9606.ENSP00000294129	0	0	0	0	0.049	0.940	0.500	0.209	0.974
ASXL2	BAP1	9606.ENSP00000383920	9606.ENSP00000417132	0	0	0	0	0	0.992	0.700	0.723	0.999
ATF2	MAPK14	9606.ENSP00000264110	9606.ENSP00000229795	0	0	0	0	0.088	0.963	0.900	0.522	0.998
ATF2	ATF6B	9606.ENSP00000264110	9606.ENSP00000364349	0	0	0	0	0	0	0.900	0.230	0.919
ATF2	CREM	9606.ENSP00000264110	9606.ENSP00000265372	0	0	0	0	0.047	0	0.900	0.544	0.952
ATF2	FOS	9606.ENSP00000264110	9606.ENSP00000306245	0	0	0	0.572	0	0.881	0.500	0.853	0.990
ATF6B	CREM	9606.ENSP00000364349	9606.ENSP00000265372	0	0	0	0.583	0	0	0.900	0.099	0.906
ATG14	RB1CC1	9606.ENSP00000247178	9606.ENSP00000025008	0	0	0	0	0.174	0.994	0.900	0.913	0.999
ATG14	GABARAPL2	9606.ENSP00000247178	9606.ENSP00000037243	0	0	0	0	0.060	0.513	0.900	0.895	0.994
ATG3	RB1CC1	9606.ENSP00000283290	9606.ENSP00000025008	0	0	0	0	0.059	0.064	0	0.933	0.936
ATG3	GABARAPL2	9606.ENSP00000283290	9606.ENSP00000037243	0	0	0	0	0.170	0.919	0.900	0.999	0.999
ATP2A2	ITPR3	9606.ENSP00000440045	9606.ENSP00000363435	0	0	0	0	0.044	0.555	0	0.801	0.908
ATXN7L3	TADA1	9606.ENSP00000397259	9606.ENSP00000356848	0	0	0	0	0	0.930	0.900	0.257	0.994
ATXN7L3	TAF5	9606.ENSP00000397259	9606.ENSP00000358854	0	0	0	0	0.060	0.424	0.900	0.244	0.953
B2M	HLA-F	9606.ENSP00000497910	9606.ENSP00000259951	0	0	0	0.727	0.634	0.989	0.900	0.701	0.999
B2M	CD3E	9606.ENSP00000497910	9606.ENSP00000354566	0	0	0	0	0.163	0.800	0.500	0.322	0.935
B2M	HLA-E	9606.ENSP00000497910	9606.ENSP00000365817	0	0	0	0	0.638	0.989	0.900	0.966	0.999
B3GNT6	GALNT17	9606.ENSP00000484640	9606.ENSP00000329654	0	0	0	0	0.042	0	0.900	0.253	0.922
B3GNT6	GCNT1	9606.ENSP00000484640	9606.ENSP00000415454	0	0	0	0	0.042	0	0.900	0.692	0.967
B4GALNT4	B4GALT1	9606.ENSP00000328277	9606.ENSP00000369055	0	0	0	0	0	0	0.900	0.137	0.910
B4GALT1	ST6GAL1	9606.ENSP00000369055	9606.ENSP00000169298	0	0	0	0	0	0	0.900	0.912	0.990
BAD	YWHAQ	9606.ENSP00000378040	9606.ENSP00000371267	0	0	0	0	0	0.837	0.900	0.135	0.984
BAD	PPP3CB	9606.ENSP00000378040	9606.ENSP00000378306	0	0	0	0	0	0	0.900	0	0.900
BAP1	CBX7	9606.ENSP00000417132	9606.ENSP00000216133	0	0	0	0	0.055	0	0.900	0.074	0.904
BAP1	EZH1	9606.ENSP00000417132	9606.ENSP00000404658	0	0	0	0	0.105	0	0.900	0.046	0.907
BATF	FOS	9606.ENSP00000286639	9606.ENSP00000306245	0	0	0	0.740	0.044	0	0.400	0.865	0.915
BATF	IRF4	9606.ENSP00000286639	9606.ENSP00000370343	0	0	0	0	0.158	0.392	0	0.992	0.995
BCL10	NFKB1	9606.ENSP00000498104	9606.ENSP00000226574	0	0	0	0	0.141	0	0.500	0.848	0.929
BCL10	MAPK14	9606.ENSP00000498104	9606.ENSP00000229795	0	0	0	0	0.103	0	0.900	0.192	0.921
BCL11B	BICRAL	9606.ENSP00000349723	9606.ENSP00000313933	0	0	0	0	0.049	0.058	0.900	0.102	0.908
BCL3	NFKB1	9606.ENSP00000164227	9606.ENSP00000226574	0	0	0	0.662	0.175	0.835	0.900	0.984	0.999
BRD4	CHD4	9606.ENSP00000263377	9606.ENSP00000440542	0	0	0	0	0.231	0.849	0	0.915	0.989
