Cell,Feature,p value,adjusted p value
CD14 Mono,MIR548I3,0,0
CD14 Mono,SLC27A1,0,0
CD14 Mono,SNAP29,0,7.3061E-308
CD14 Mono,ANKRD16,3.8748E-292,2.2956E-288
CD14 Mono,CCNE1,1.3749E-268,6.5164E-265
CD14 Mono,IQGAP1,4.1023E-268,1.6202E-264
CD14 Mono,NA,3.1309E-258,1.0599E-254
CD14 Mono,TMEM14C,4.0289E-251,1.1934E-247
CD14 Mono,SERTAD1,1.6643E-239,4.3822E-236
CD14 Mono,ATXN7L1,8.2205E-229,1.948E-225
CD14 Mono,CFAP126,3.5715E-214,7.694E-211
CD14 Mono,MIR23A,1.1937E-197,2.3573E-194
CD14 Mono,LMTK3,1.5339E-180,2.7961E-177
CD14 Mono,CHST6,6.4529E-163,1.0923E-159
CD14 Mono,INPP5F,1.0643E-154,1.6814E-151
CD14 Mono,NAGS,4.1741E-153,6.1821E-150
CD14 Mono,P4HA1,1.9185E-150,2.6743E-147
CD14 Mono,LRRC20,1.9895E-147,2.6192E-144
CD14 Mono,FAM214B,1.06E-131,1.322E-128
CD14 Mono,FOXO6,1.7222E-131,2.0406E-128
CD14 Mono,HLA-B,1.0749E-130,1.213E-127
CD14 Mono,BSN-DT,1.2954E-130,1.3954E-127
CD14 Mono,GPR157,8.0122E-122,8.255E-119
CD14 Mono,LRRFIP1,5.4747E-112,5.4056E-109
CD14 Mono,CCL4L2,1.3207E-103,1.2518E-100
CD14 Mono,YWHAH,6.7875E-101,6.1863E-98
CD14 Mono,PCK2,9.5296E-100,8.36383E-97
CD14 Mono,MIR661,3.26765E-96,2.76548E-93
CD14 Mono,SASH3,1.00859E-75,8.24157E-73
CD14 Mono,ADI1,6.68876E-74,5.28345E-71
CD14 Mono,TMEM141,3.34746E-71,2.55886E-68
CD14 Mono,PRDX1,3.11819E-69,2.30912E-66
CD14 Mono,ZP3,6.39269E-65,4.59053E-62
CD14 Mono,SNAI3,2.12157E-62,1.47867E-59
CD14 Mono,EPS8L3,3.86397E-59,2.61613E-56
CD14 Mono,CCL3L3,1.45991E-56,9.35012E-54
CD14 Mono,MIR3190,1.45991E-56,9.35012E-54
CD14 Mono,FOS,6.0675E-55,3.78372E-52
CD14 Mono,NPEPPS,9.23855E-54,5.61349E-51
CD14 Mono,SHKBP1,1.91365E-51,1.13369E-48
CD14 Mono,ACOT11,5.94967E-49,3.43876E-46
CD14 Mono,FAM86C1,2.68778E-48,1.51648E-45
CD14 Mono,ASB6,4.81435E-48,2.65316E-45
CD14 Mono,NEURL4,4.94108E-47,2.66111E-44
CD14 Mono,RARA,5.82199E-46,3.06586E-43
CD14 Mono,HAUS3,7.53858E-46,3.88352E-43
CD14 Mono,ARHGAP12,6.70255E-45,3.37937E-42
CD14 Mono,DIMT1,1.29621E-44,6.39922E-42
CD14 Mono,SERTAD2,1.54399E-43,7.46691E-41
CD14 Mono,PPP4C,1.72033E-42,8.15333E-40
CD14 Mono,FBRSL1,2.59567E-42,1.20607E-39
CD14 Mono,NPHP3-ACAD11,3.74618E-42,1.70718E-39
CD14 Mono,TNFAIP8,3.92418E-42,1.75455E-39
CD14 Mono,ARF5,6.33008E-42,2.77785E-39
CD14 Mono,NUDT7,2.03591E-41,8.7718E-39
CD14 Mono,CCNL1,1.44051E-40,6.09567E-38
CD14 Mono,NCR2,1.90396E-40,7.91545E-38
CD14 Mono,C10orf91,6.56498E-40,2.68225E-37
CD14 Mono,MEX3C,1.86818E-39,7.50344E-37
CD14 Mono,LINC01423,5.21533E-38,2.05979E-35
CD14 Mono,HNRNPA1,1.09463E-37,4.25238E-35
CD14 Mono,ATP8B3,5.60892E-37,2.14379E-34
CD14 Mono,MMP19,8.39506E-37,3.15774E-34
CD14 Mono,KAT6A,6.30308E-36,2.33381E-33
CD14 Mono,GPR155,1.03915E-35,3.78841E-33
CD14 Mono,CATSPERG,2.26956E-35,8.14876E-33
CD14 Mono,WRNIP1,1.0582E-34,3.74272E-32
CD14 Mono,FZD1,3.01754E-34,1.05157E-31
CD14 Mono,STN1,5.24208E-34,1.80031E-31
CD14 Mono,CDC37,7.72388E-34,2.61475E-31
CD14 Mono,MBNL1-AS1,9.696E-34,3.23614E-31
CD14 Mono,LUC7L3,2.86043E-33,9.41439E-31
CD14 Mono,GZF1,3.58892E-33,1.16502E-30
CD14 Mono,ZNF558,6.48469E-33,2.05919E-30
CD14 Mono,OAT,6.51725E-33,2.05919E-30
CD14 Mono,ANXA6,1.18433E-32,3.69276E-30
CD14 Mono,NOC4L,2.15364E-31,6.62791E-29
CD14 Mono,NAMPT,8.48359E-31,2.57738E-28
