"","Feature","p value","adjusted p value"
"358","MIR548I3",0,0
"771","SLC27A1",0,0
"857","SNAP29",9.24944436344564e-312,7.30613610268571e-308
"413","ANKRD16",3.87483944415687e-292,2.29555175770463e-288
"779","CCNE1",1.37494152587254e-268,6.51639786772029e-265
"614","IQGAP1",4.10227925555133e-268,1.62019519198e-264
"8",NA,3.13091077892734e-258,1.05990275326059e-254
"273","TMEM14C",4.02886819491221e-251,1.19340112018543e-247
"786","SERTAD1",1.66433263148669e-239,4.38218781870446e-236
"341","ATXN7L1",8.22050168892164e-229,1.94801228522376e-225
"72","CFAP126",3.57152343658394e-214,7.69403553424814e-211
"765","MIR23A",1.19372120312409e-197,2.3573009458693e-194
"797","LMTK3",1.53394395056412e-180,2.79614383050138e-177
"657","CHST6",6.45293612108672e-163,1.09225162329566e-159
"444","INPP5F",1.06430375821199e-154,1.6813870772233e-151
"698","NAGS",4.17409203258348e-153,6.18209118100817e-150
"429","P4HA1",1.91851142094446e-150,2.67429206718357e-147
"427","LRRC20",1.98950534732161e-147,2.6191837897489e-144
"385","FAM214B",1.05998886967757e-131,1.32202927603944e-128
"41","FOXO6",1.72221058050833e-131,2.04056120631529e-128
"283","HLA-B",1.07492228294188e-130,1.21297301613684e-127
"165","BSN-DT",1.29544019637976e-130,1.39536574243687e-127
"10","GPR157",8.0122322053758e-122,8.25503767699089e-119
"144","LRRFIP1",5.47472921273094e-112,5.40561075642022e-109
"689","CCL4L2",1.3206782783946e-103,1.25184452652467e-100
"865","YWHAH",6.78751470737817e-101,6.18629753925925e-98
"569","PCK2",9.52961856949195e-100,8.36382856449077e-97
"382","MIR661",3.26764664638678e-96,2.76547937783669e-93
"885","SASH3",1.00858937704818e-75,8.24156636824506e-73
"98","ADI1",6.68875786026112e-74,5.28344983382026e-71
"412","TMEM141",3.34745610261598e-71,2.55886023431261e-68
"46","PRDX1",3.11819002075371e-69,2.30911715380627e-66
"329","ZP3",6.39269020374004e-65,4.59053271994023e-62
"664","SNAI3",2.12156791368639e-62,1.47867043678313e-59
"51","EPS8L3",3.86397321572161e-59,2.616130665513e-56
