"","Feature","p value","adjusted p value"
"69","IGSF8",0,0
"81","CEP350",0,0
"153","PJVK",0,0
"238","HTT-AS",0,0
"265","METAP1",0,0
"403","SUN1",0,0
"431","VPS50",0,0
"687","LOC101928530",0,0
"698","USPL1",0,0
"797","TMEM102",0,0
"804","MIR4724",0,0
"829","SMARCD2",0,0
"874","ZNF846",0,0
"907","LYPD3",0,0
"916","NOSIP",0,0
"887","ELL",7.68259553171666e-301,1.13784041446931e-297
"538","THNSL1",6.23875890836814e-281,8.69646293244705e-278
"346","C6orf62",1.32047596938284e-278,1.7384066136925e-275
"953","SLC19A1",8.55669338200666e-272,1.06719980564954e-268
"715","COMMD6",1.18057025421434e-262,1.39879866570586e-259
"71","MPZ",1.98652036556885e-249,2.24164633823262e-246
"630","LPCAT3",7.93572855188583e-237,8.54786179518357e-234
"821","KAT7",5.69257723883104e-231,5.86508707950345e-228
"174","ZCWPW2",1.48642903562168e-228,1.46766286904696e-225
"432","BET1",9.28347081992371e-224,8.79961632078929e-221
"113","FAM228B",2.35341800867739e-221,2.14495948275493e-218
"293","LOC105377590",5.13039537172133e-212,4.50277700458075e-209
"16","CEP85",1.47295728172738e-206,1.2465953108962e-203
"356","PRR3",5.55909539433862e-201,4.54254770895318e-198
"875","RAVER1",3.53714015113367e-200,2.79398700538049e-197
"156","WDR75",4.44865349098984e-198,3.40063683148342e-195
"61","BCL9",4.06076457806621e-189,3.00712306895109e-186
"820","ZNF652",2.14253380211823e-186,1.53853404572108e-183
"410","C1GALT1",1.00467425429519e-178,7.00228406000977e-176
"334","PWWP2A",5.7850903642348e-178,3.9168367531792e-175
"377","KLHL32",2.95807628037595e-177,1.94715371155747e-174
"484","DEPTOR",9.41504904745409e-175,6.02995722371674e-172
"575","MXI1",8.99274706887665e-170,5.60792440239921e-167
"707","MED4",1.15153820157506e-163,6.99692327249335e-161
"514","ANP32B",4.32086026289487e-162,2.55978564124549e-159
"480","PABPC1",4.48473306892237e-162,2.59206633010374e-159
"472","OSGIN2",7.13952635069482e-159,4.0282227602956e-156
"499","ACER2",2.77462577901429e-146,1.5290769089605e-143
"76","ZBTB37",4.2555876385516e-146,2.29192409706266e-143
"805","MYO1D",2.86539270613827e-145,1.50891579905241e-142
"920","ZNF816",5.59213338073917e-143,2.88079966789948e-140
"21","C1orf50",7.4587283964251e-142,3.76062737893799e-139
"19","TRNAU1AP",1.84383188707428e-138,9.10276754749985e-136
"912","CCDC114",3.12307693052761e-136,1.51035824536148e-133
"411","TMEM106B",3.04101229606869e-133,1.44125736759879e-130
"596","PRPF19",4.29036752089824e-131,1.99350664985736e-128
"569","TCTN3",8.0930299790222e-131,3.68808714255556e-128
"876","ILF3",1.30373653463054e-127,5.82917823795093e-125
"445","BMT2",6.68893589630275e-121,2.93532803582752e-118
"396","TNFAIP3",4.10347752795984e-119,1.76800194509208e-116
"885","FCHO1",4.27251567810258e-117,1.8079607861428e-114
"922","ZSCAN18",1.23655758339043e-116,5.14082544800053e-114
"749","TC2N",4.01533376412807e-116,1.64054076221625e-113
"582","BRSK2",1.31282817450807e-115,5.2728964832742e-113
"860","RTTN",6.29085262746852e-115,2.48457224521869e-112
"936","SAMHD1",1.94853471215763e-114,7.56957820885234e-112
"854","RELCH",3.1453997317429e-112,1.20220221682438e-109
"158","ORMDL1",8.75059800335382e-111,3.29147493469009e-108
"798","ZBTB4",7.32131090273393e-110,2.71082975722009e-107
"370","TTK",4.3787143548042e-109,1.59634452408916e-106
"47","ABCD3",9.17461997417533e-107,3.29410559890959e-104
"557","MCU",4.67453553908589e-104,1.65332042790624e-101
"658","ACVR1B",7.76117044404608e-104,2.70465376489059e-101
"859","CCDC102B",1.29517136747492e-103,4.44806897029755e-101
"139","WDSUB1",2.69203445231586e-103,9.11330577378985e-101
"605","PPP1CA",2.28325650278275e-102,7.62060976710464e-100
"779","LOC105371083",6.31061974942665e-97,2.07698272503005e-94
"400","HIVEP2",1.55410244808837e-94,5.04487201539043e-92
"244","GUF1",2.05920330604706e-93,6.59418118154016e-91
"339","FAM193B",6.43587591660782e-93,2.03347935461141e-90
"88","TROVE2",8.79948105273205e-90,2.74370134877094e-87
"870","AES",2.64643113537457e-87,8.14447774220404e-85
"309","POC5",1.25724357901003e-83,3.81960270407701e-81
"138","CCDC148",1.28952217473172e-82,3.86807683223007e-80
"444","ZNF277",8.44032664819906e-82,2.50013025727966e-79
"455","LOC101927752",2.3540450333924e-79,6.88688952546911e-77
"67","SYT11",5.34954753386288e-79,1.52732804710782e-76
"97","SNRPE",5.34954753386288e-79,1.52732804710782e-76
"679","ACTR6",1.2754613627821e-78,3.59816760879136e-76
"731","HNRNPC",3.2222036760422e-77,8.98312476602025e-75
"509","MIR4475",1.3862854138187e-76,3.81986109898393e-74
"889","SLC25A42",9.64631337253025e-75,2.59759872714601e-72
"900","PSMD8",9.64631337253025e-75,2.59759872714601e-72
"423","RUNDC3B",6.94654235546954e-74,1.84957544042204e-71
"163","DNPEP",1.59860791269763e-73,4.20913463413287e-71
"9","HP1BP3",9.82196724164848e-73,2.55770502994884e-70
"899","ZNF573",1.23377547070019e-71,3.17791057925895e-69
"773","ASB7",2.1051330414193e-71,5.36401480457129e-69
"408","RNF216",2.30080691875898e-71,5.800236335514e-69
"299","ZNF131",1.9869401749823e-69,4.95626540279532e-67
"10","RCAN3",7.54041916682734e-69,1.86130534371154e-66
"62","ENSA",5.22603513192778e-68,1.27671499506487e-65
"717","SLAIN1",1.40779714062698e-67,3.40413967769771e-65
"833","KCTD2",1.75264279698351e-67,4.19518953132508e-65
"595","ZFP91",1.9637934037808e-67,4.65360122893935e-65
"727","ERCC5",6.55477129675956e-66,1.5379051031615e-63
"623","BCL9L",1.8267334805405e-65,4.24393169493806e-63
"811","DHX58",5.8398656381606e-65,1.34356598084943e-62
"361","BICRAL",9.40722955398088e-65,2.14349152635274e-62
"869","TLE6",2.82655356408157e-64,6.35511663481696e-62
"578","RGS10",2.84273268046841e-64,6.35511663481696e-62
"141","LINC01806",5.10707806282493e-64,1.1310507369604e-61
"607","NDUFS8",7.91347534516159e-64,1.73634838198421e-61
"825","RNF43",1.58870653962471e-63,3.45390631830155e-61
"401","STXBP5",2.90109550642178e-63,6.2497509286979e-61
"357","AGPAT1",3.71440070876911e-63,7.8589422853305e-61
"868","ZNF77",3.71440070876911e-63,7.8589422853305e-61
"789","PDXDC2P-NPIPB14P",5.23933231360538e-62,1.09872971535847e-59
"48","PTBP2",6.14037516778296e-62,1.27639009079783e-59
"656","TMEM106C",1.20103397196443e-61,2.47486104640357e-59
"777","SNHG19",1.38569632016915e-61,2.83076256026279e-59
"673","ZDHHC17",3.62865747074375e-61,7.34942701574483e-59
"720","SLITRK1",1.65879054080059e-60,3.33121690214843e-58
"413","CBX3",3.02674952542716e-60,6.02730113479389e-58
"176","SS18L2",4.93260407854922e-60,9.74065990411507e-58
"121","CALM2",1.01954667205644e-59,1.99671053617533e-57
"281","IL21-AS1",4.39849559932097e-59,8.54353690304173e-57
"8","SDHB",1.66109484463902e-58,3.20024101897649e-56
"741","DAAM1",1.95800763240922e-58,3.74184732783881e-56
"614","TMEM135",7.74773565604183e-58,1.46878473472979e-55
"918","IL4I1",4.39944547801438e-57,8.27409995972277e-55
"845","FN3KRP",5.32408534805128e-57,9.93424019628119e-55
"198","PLCXD2",8.99117968363066e-57,1.6645623825234e-54
"794","ACADVL",1.25298217141742e-56,2.30169910977353e-54
"54","LINC01307",1.73425926664638e-56,3.1612878339784e-54
"492","CDC37L1-DT",2.16898373722211e-56,3.92354256648491e-54
"414","AVL9",8.73198655357042e-56,1.56759004060574e-53
"667","CPSF6",9.45677655823224e-56,1.68494160977766e-53
"314","TMEM161B-AS1",2.93780114414549e-55,5.19530400841909e-53
"610","POLD3",3.15638939557231e-55,5.54051551902793e-53
"784","TEPP",5.25431246498206e-55,9.15525312372645e-53
"382","SLC16A10",3.03708731493879e-54,5.25327431402223e-52
"711","ALG11",4.22287745713623e-54,7.25141500737371e-52
"892","IPO5P1",4.4091132062166e-54,7.51674501062696e-52
"553","EGR2",3.81595762201366e-53,6.45905341206127e-51
"838","LOC100507351",4.35405356562595e-53,7.31758917337859e-51
