"","Feature","p value","adjusted p value"
"7",NA,0,0
"12","TNFRSF1B",0,0
"20","ID3",0,0
"21","RPL11",0,0
"22","NIPAL3",0,0
"68","LOC100996251",0,0
"110","DUSP12",0,0
"123","CSRP1",0,0
"127","SLC41A1",0,0
"159","ADGRF3",0,0
"222","SP140L",0,0
"238","TSEN2",0,0
"259","MST1R",0,0
"260","MIR5787",0,0
"272","SLC25A26",0,0
"282","ABTB1",0,0
"307","LETM1",0,0
"399","PPP1R11",0,0
"413","MAPK14",0,0
"417","MTCH1",0,0
"423","CCND3",0,0
"447","SUMO4",0,0
"458","LOC102723672",0,0
"498","EFCAB10",0,0
"511","ZNF862",0,0
"543","DDHD2",0,0
"573","PARP10",0,0
"605","PSMD5",0,0
"614","MIR3960",0,0
"617","DNM1",0,0
"620","PHYHD1",0,0
"678","ACTR1A",0,0
"687","CCDC186",0,0
"717","ARHGAP1",0,0
"791","DDX23",0,0
"807","RASSF3",0,0
"821","PXN-AS1",0,0
"857","SUGT1",0,0
"905","ZDHHC22",0,0
"915","YY1",0,0
"917","HSP90AA1",0,0
"932","NUSAP1",0,0
"955","RNU5A-1",0,0
"959","C15orf61",0,0
"1001","ARMC5",0,0
"1016","VAC14",0,0
"1026","SNAI3-AS1",0,0
"1036","ZZEF1",0,0
"1041","PER1",0,0
"1050","GID4",0,0
"1055","TMEM11",0,0
"1057","SPAG5",0,0
"1092","PHB",0,0
"1099","DYNLL2",0,0
"1133","TWSG1",0,0
"1137","CEP192",0,0
"1143","SMAD2",0,0
"1174","MIR5684",0,0
"1180","TPM4",0,0
"1182","CPAMD8",0,0
"1211","BBC3",0,0
"1215","LIG1",0,0
"1222","AP2A1",0,0
"1225","JOSD2",0,0
"1243","PLAGL2",0,0
"1248","RALY",0,0
"1259","CSE1L",0,0
"1278","ITSN1",0,0
"1289","PKNOX1",0,0
"1295","HDHD5-AS1",0,0
"1361","GLA",0,0
"431","ABCC10",1.48219693752374e-323,4.8764279244531e-321
"180","C2orf42",6.94448136338624e-314,2.25429280641324e-311
"1273","TIAM1",1.33113777543735e-312,4.26269890061336e-310
"815","ARPC3",2.67484312985386e-312,8.45143435308625e-310
"682","CFAP58",1.6589208355855e-309,5.17255882116705e-307
"183","DGUOK",4.56777478434225e-295,1.40574752031894e-292
"1097","COIL",1.81407401146066e-294,5.51129639097221e-292
"460","MICALL2",1.41632535021538e-293,4.24843820557645e-291
"1235","PSMF1",1.29154309949649e-279,3.82571210359605e-277
"1065","C17orf75",2.27745997196701e-273,6.66283567354349e-271
"37","CLSPN",2.73803153799171e-266,7.91257723851092e-264
"1010","CMTM3",2.23100454061628e-265,6.36965236132336e-263
"1183","DDA1",1.11470618069739e-261,3.1446657576174e-259
"1107","SNHG25",1.33999681617218e-258,3.7357534768038e-256
"761","SLC37A4",1.05900266943046e-250,2.91804491366205e-248
"32","TINAGL1",8.53017882983561e-243,2.32344422678867e-240
"1193","C19orf12",1.24928867811569e-242,3.36413565969404e-240
"817","VSIG10",4.80643944558447e-240,1.27975500609006e-237
"91","SLC27A3",3.43038817000661e-237,9.03221205162739e-235
"636","MAN1B1",7.73712010137507e-233,2.01479708837676e-230
"746","FAM86C1",2.46717151265107e-224,6.35484384079265e-222
"86","MRPS21",2.40789295123206e-223,6.13546658767162e-221
"793","RACGAP1",2.45755752333921e-220,6.19539793942226e-218
"240","WNT7A",4.80316699887282e-220,1.19811208812936e-217
"227","HDAC4",7.4064065646741e-215,1.82822517044877e-212
"783","CD69",7.79584423131991e-206,1.90451670875864e-203
"167","HNRNPLL",3.97782510675186e-204,9.61862464843866e-202
"263","DCAF1",8.2970087935834e-200,1.98600219577319e-197
"160","MAPRE3",4.27129922409671e-198,1.0121697771342e-195
"306","SLBP",1.50949106293108e-197,3.54162472458196e-195
"1206","PPM1N",1.03510812317009e-195,2.40479972497662e-193
"15","CPLANE2",7.65755759506822e-194,1.76175866340128e-191
"390","TUBB2A",1.73060788937426e-193,3.9432899187021e-191
"1084","MAP3K14-AS1",1.61691819695732e-189,3.64915338221882e-187
"1301","CHEK2",9.05659918505936e-186,2.02466255555049e-183
"62","MFSD14A",2.25142955426266e-182,4.98618001377217e-180
"906","GPR68",6.3081238172741e-179,1.38410750090689e-176
"1113","GRB2",1.79010311866476e-172,3.89174987183475e-170
"323","SEPT11",4.84626433600945e-172,1.04401750882196e-169
"590","POLR1E",6.086634321902e-171,1.29941417591092e-168
"1075","HAP1",1.74228686912144e-169,3.68633678014025e-167
"1155","SLC39A3",6.12703142895788e-166,1.28488729001783e-163
"317","KLF3",1.43063594976721e-165,2.97384035979242e-163
"968","IMP3",5.46288626541789e-165,1.12568709418789e-162
"981","ZNF75A",1.28782497225056e-164,2.6308265833984e-162
"1221","PRRG2",7.75355053569721e-155,1.57039219696083e-152
"782","KLRG1",9.10965041445653e-153,1.8294185243337e-150
"475","EEPD1",5.39020953881559e-148,1.07337643227994e-145
"1172","SWSAP1",2.59071950538779e-147,5.11602334326454e-145
"292","LINC00881",7.73893316572243e-146,1.5156156961002e-143
"531","DOK2",7.9834826835535e-146,1.55069335370629e-143
"344","MND1",1.14366740723793e-142,2.20337289018839e-140
"1188","KLHL26",2.16070681792222e-141,4.12921527937927e-139
"58","GTF2B",1.55756389731526e-138,2.95276733397438e-136
"578","GLDC",4.31674220587511e-138,8.11855873433512e-136
"920","LINC02298",1.17930838864363e-132,2.20047802249512e-130
"989","RMI2",4.20826616127119e-131,7.79088150184713e-129
"565","ST3GAL1",6.08086755831773e-126,1.11704122891051e-123
"9","TNFRSF25",3.36643047534997e-124,6.13648484418217e-122
"348","TPPP",3.43072677488846e-123,6.20594903698716e-121
"596","ROR2",6.36860225569155e-121,1.14330884585699e-118
"1162","KHSRP",8.92221109566024e-118,1.58969651378843e-115
"446","MIR3145",3.23699712892354e-117,5.72441201224635e-115
"554","PDP1",6.03219998639629e-115,1.05885217094543e-112
"772","CCND2",1.82549696801874e-114,3.18079423905441e-112
"676","LINC01514",3.41279437921504e-109,5.90313783972692e-107
"455","WTAP",3.51920359080657e-105,6.04308460082198e-103
"584","MYORG",3.74564244924231e-101,6.38564669925863e-99
"884","LINC01599",8.20908071183672e-101,1.38950418305996e-98
"432","MCM3",5.26474653642986e-99,8.84813465771478e-97
"1308","FBXO7",5.4146087753892e-99,9.03591437678858e-97
"649","RSU1",1.06267333143353e-98,1.76099090454408e-96
"960","LOC101929076",1.34457810252225e-98,2.21267133996318e-96
"360","ERAP1",1.28470442813255e-96,2.09956143679013e-94
"13","MIR4632",8.43930670036499e-96,1.3697688416339e-93
"561","MIR1205",2.67846005912365e-95,4.31778694020769e-93
"164","YPEL5",9.60995548291867e-94,1.53869672350489e-91
"205","ACVR2A",2.662931617917e-93,4.23513359394492e-91
"1160","FEM1A",1.844087993108e-92,2.91329021151202e-90
"30","TMEM222",7.52067106100045e-91,1.18024729889091e-88
"1088","TBKBP1",5.58736387315825e-88,8.71077379619941e-86
"50","EFCAB14",5.14446306115403e-87,7.96786543530503e-85
"1037","MYBBP1A",6.45367205024211e-87,9.93069263471346e-85
"586","DNAJB5-DT",2.26123627333642e-86,3.45706554640342e-84
"656","FXYD4",5.6246176511639e-85,8.54401054356609e-83
"892","SYNE2",4.70401965765072e-80,7.10007349218784e-78
"719","PTPRJ",6.72516456491386e-80,1.00864699173901e-77
"987","USP7",3.74691615389999e-77,5.58431899993509e-75
"202","MIR3679",4.88756016035633e-75,7.23878206999775e-73
"1019","GLG1",6.4180942609842e-75,9.44655774549954e-73
"366","TCF7",1.30180267836565e-74,1.90424802896487e-72
"1082","ASB16-AS1",1.74821719910871e-73,2.54156459921958e-71
"5","CALML6",7.07314801832954e-69,1.02202675969729e-66
"715","LOC100507144",7.28457341085395e-69,1.04619718858792e-66
"721","YPEL4",9.21391100095813e-69,1.31531354813075e-66
"404","VWA7",1.41120338246203e-68,2.00247224875466e-66
"1142","TTC39C-AS1",6.40231682745338e-68,9.03069653929541e-66
