"","Feature","p value","adjusted p value"
"181","HDAC4",0,0
"213","GPR15",0,0
"266","KLF3",0,0
"297","SAP30",0,0
"315","RAB3C",0,0
"456","C6orf99",0,0
"594","CELF2-AS2",0,0
"604","LOC102031319",0,0
"708","COX14",0,0
"726","BTG1",0,0
"894","SLC7A5",0,0
"907","EIF5A",0,0
"935","MAP3K14-AS1",0,0
"955","WIPI1",0,0
"1044","SLC1A5",0,0
"1051","MIR4754",0,0
"1075","MIR3194",0,0
"1110","TOB2",0,0
"429","TSPYL1",2.84236617349566e-313,3.54502901122773e-310
"56","LINC01160",4.88025431689926e-310,5.78236932737809e-307
"489","MBLAC1",1.34913093849604e-298,1.52239789759717e-295
"973","MIB1",4.85446675055869e-270,5.22892266309042e-267
"588","KLF6",5.16444590302418e-257,5.32095106799843e-254
"731","SLC25A3",6.91871825808237e-253,6.83136944007408e-250
"294","ETFDH",1.16772021356406e-244,1.1068586360331e-241
"289","BBS12",3.92380855948466e-240,3.57624967054262e-237
"274","COPS4",1.30446207947921e-236,1.14488288508959e-233
"603","ARHGAP12",6.13020731478827e-235,5.18812581209063e-232
"1073","PCIF1",8.52399613203318e-234,6.96528056347552e-231
"671","CEP57",1.4672113523738e-233,1.15895024724006e-230
"1085","SON",1.56187841650763e-233,1.19393009148327e-230
"376","ERVFRD-1",5.71018797718684e-232,4.22857264048114e-229
"1140","MIR505",2.90673208340309e-220,2.08729788425464e-217
"263","SEL1L3",4.71252033219104e-219,3.28448806799798e-216
"339","MARCH3",1.42616074823885e-214,9.655923214576e-212
"324","HMGCR",3.03945605708733e-212,2.00072194957774e-209
"386","HIST1H2BD",3.12481295194068e-209,2.00131601411185e-206
"477","AOAH",2.97537595368543e-207,1.85546010459167e-204
"858","POLR3K",2.71589118626529e-205,1.65021726771612e-202
"699","KIF21A",3.31275082617168e-204,1.96255640819476e-201
"658","RAB1B",4.28309775616796e-199,2.47552603726615e-196
"472","ANKMY2",5.16550740974822e-197,2.91445307354294e-194
"337","EFNA5",9.50516723228645e-195,5.23823134659284e-192
"681","CRTAM",7.62747600532404e-194,4.10791588404918e-191
"989","PARD6G-AS1",3.72686876895576e-193,1.9625690937321e-190
"643","TMEM41B",4.68782494111693e-192,2.41494320934017e-189
"788","TOGARAM1",7.48919239583987e-187,3.77598706817484e-184
"635","PRDX3",1.73649920753093e-184,8.57287952517924e-182
"1097","TMEM191A",6.57339231030769e-182,3.17897301178288e-179
"1017","PBX4",1.20888738468537e-179,5.72940087097784e-177
"103","ODC1",1.21188949057101e-177,5.63100887412965e-175
"789","FKBP3",1.49011075178526e-175,6.79060663174142e-173
"652","ARFGAP2",3.49203299153412e-174,1.56133407170536e-171
"680","HYOU1",7.44156467003162e-171,3.26560662936554e-168
"547","RCL1",2.59730470406847e-170,1.09907731379126e-167
"814","AK7",2.59730470406847e-170,1.09907731379126e-167
"953","MIR548AA2",5.76426008419329e-167,2.39641528447594e-164
"366","MAT2B",1.16004444230073e-163,4.73958157744833e-161
"871","ARHGAP17",1.42151919357894e-159,5.70944751360001e-157
"133","CD8A",2.9203719346031e-153,1.1534008955715e-150
"787","FBXO33",9.89922384523777e-153,3.8456050403377e-150
"945","FAM117A",1.54952612591376e-149,5.82843184218705e-147
"1059","RRBP1",1.54952612591376e-149,5.82843184218705e-147
"990","TPGS1",2.68975326219545e-147,9.95923172722588e-145
"86","LINC01136",3.12769832365506e-145,1.14026257193314e-142
"249","TFRC",1.1660581772109e-143,4.18667888263132e-141
"759","KPNA3",1.73137912542418e-142,6.12365539330995e-140
"549","KIAA2026",3.72868704238344e-142,1.29939260063765e-139
"425","FOXO3",3.07991786485352e-141,1.05775092236861e-138
"1120","ALG12",1.66529200748545e-140,5.63748924305466e-138
"958","ACOX1",2.1245868606061e-139,7.09103307546237e-137
"722","KRR1",3.63277674434022e-138,1.19563764598097e-135
"480","TMED4",5.11659133940546e-138,1.6609296571218e-135
"499","KDM7A-DT",6.52522303551177e-137,2.08957040908814e-134
"667","MRPL48",9.17785590215851e-137,2.899835350846e-134
"931","STAT5B",1.03446376035754e-135,3.22548522752536e-133
"852","FANCI",1.63633660189853e-131,5.03587902015449e-129
"913","NDEL1",6.03933737374466e-130,1.83479715058496e-127
"867","GSPT1",1.18876494593955e-128,3.56584340809236e-126
"816","CYP46A1",1.82290998988417e-128,5.39968725378566e-126
"225","DRD3",4.07062605255239e-128,1.19088426626338e-125
"20","RPA2",2.55575324055701e-127,7.3858151879853e-125
"938","TBX21",1.3694782606001e-124,3.90994293270368e-122
"10","ARHGEF19",1.12620065091409e-119,3.1770924791323e-117
"190","IQSEC1",2.09988474288087e-119,5.85423161788801e-117
"1025","ZBTB32",5.73468545788825e-118,1.58017257320439e-115
"347","MALINC1",1.8091610875844e-117,4.92778049338937e-115
"466","TNRC18",2.52636435987567e-117,6.80309729954247e-115
"502","FASTK",1.78766603696984e-116,4.75981146944656e-114
"785","BRMS1L",3.80785280256288e-116,1.00260764291481e-113
"721","RAB21",1.56459144556149e-115,4.07429928411766e-113
"596","HSPA14",2.43180610404547e-113,6.26375100517017e-111
"794","STYX",7.45431895851272e-112,1.89940856300942e-109
"26","AGO1",6.91874083356836e-111,1.74418512269223e-108
"738","RSRC2",4.76794096230687e-109,1.18932523140827e-106
"666","FAM168A",1.02998253212558e-108,2.54244750664373e-106
"1030","ZFP36",7.82307523020112e-108,1.91116921371212e-105
"648","SPTY2D1",4.2697609635149e-106,1.03245434237156e-103
"530","AZIN1-AS1",3.4315013053167e-104,8.21376630627171e-102
"676","DIXDC1",7.36440724719694e-103,1.74514358536826e-100
"380","JARID2-AS1",7.70456010160114e-103,1.80767287849151e-100
"674","KBTBD3",2.76890939519847e-102,6.43282803313904e-100
"446","STX11",3.12508573332898e-101,7.18982103132978e-99
"197","DYNC1LI1",5.11710942047544e-101,1.16596290324045e-98
"267","FRYL",5.06834688474112e-100,1.14385348693057e-97
"398","DEF6",4.88130049175117e-99,1.09124695993422e-96
"732","VPS29",1.37427827376237e-97,3.04357684610718e-95
"984","BCL2",2.57714435301169e-97,5.65468423456648e-95
"172","CCNYL1",5.01961218021685e-96,1.08136136213272e-93
"724","CEP290",5.01961218021685e-96,1.08136136213272e-93
"228","EAF2",1.65277413572825e-95,3.52844943192363e-93
"1118","CDPF1",8.74807600205713e-95,1.85092104482811e-92
"1042","IRF2BP1",9.91809797267802e-95,2.07990413857125e-92
"1122","ARSA",1.5036706126712e-93,3.12565636039205e-91
"829","SERINC4",2.71096831713163e-91,5.58624488791897e-89
"118","COX7A2L",2.39152310873243e-90,4.88551061272694e-88
"1087","ZBTB21",1.74275993184909e-84,3.52975915427588e-82
"357","JAKMIP2",1.72431162342717e-83,3.46279767291133e-81
"605","CSGALNACT2",3.91087129384189e-83,7.78789218909001e-81
"417","CASP8AP2",2.09149606644158e-82,4.13018185720552e-80
"230","ZNF148",3.72252479929807e-82,7.29030331974929e-80
"301","SLC25A4",6.08082244446873e-82,1.18112499562767e-79
"300","PRIMPOL",4.60656386334639e-80,8.87493852599345e-78
"224","USF3",9.6635753478982e-80,1.8467560082189e-77
"836","SLTM",1.4038594925715e-79,2.66138067163734e-77
"1124","PDHA1",1.56153055405019e-79,2.93679282058153e-77
"853","GDPGP1",2.59710999432488e-78,4.84596185319028e-76
"843","TBC1D2B",2.92720053995865e-78,5.41920868714064e-76
"1050","ZNF582",2.39947135077715e-77,4.4077730697183e-75
"443","CITED2",2.77085406336675e-77,5.05084067227706e-75
"282","RPL34-AS1",3.21934906365359e-76,5.82358127949612e-74
"956","COG1",4.17029267511504e-76,7.48662314562129e-74
"159","LOC101926913",5.45898543730469e-76,9.72643442915859e-74
"234","LOC100289361",5.31708017864811e-75,9.40289917861374e-73
"1055","MIR1292",1.22157898490681e-74,2.14427831150642e-72
"718","MIR548C",4.56822023009021e-73,7.95978785238586e-71
"864","TMEM186",8.49235754723641e-73,1.46892990362672e-70
"76","VAMP4",1.07187899854088e-72,1.84060265423356e-70
"271","PAQR3",1.43578477858013e-72,2.44775481280672e-70
"560","CEP78",2.54061598517771e-72,4.30035550005401e-70
"210","SLC25A26",3.94847041236449e-72,6.63595059303555e-70
"541","NDRG1",6.57850888095259e-72,1.09782341515446e-69
"727","C12orf74",1.56105266926645e-70,2.58687168556692e-68
"461","ERMARD",1.9686617732057e-70,3.21733641652796e-68
"933","C17orf53",1.9686617732057e-70,3.21733641652796e-68
"497","ATP6V0A4",3.66994840701662e-70,5.95662790418308e-68
"974","NPC1",9.26949435514788e-70,1.49428032472068e-67
"186","RTP5",2.39292420545832e-69,3.83142735788824e-67
"308","HMGCS1",2.9259671401859e-69,4.65346599469699e-67
"34","TUT4",8.23196755946327e-69,1.30048623504401e-66
"290","NOCT",9.44002303295572e-68,1.48145844908577e-65
"529","ODF1",6.17870788613668e-67,9.63268689327506e-65
"834","PIGB",1.56854206434593e-66,2.42939485613108e-64
"379","JARID2",4.79088015710076e-65,7.37204461576731e-63
"739","MIR8072",9.32092863985796e-65,1.42501965147557e-62
"618","CCSER2",1.46398314530607e-64,2.22384670476397e-62
"527","ZNF706",1.96547765333413e-64,2.96661935994006e-62
"392","MICB",6.36078391964535e-64,9.53996813568581e-62
"184","ING5",1.19997787286248e-63,1.78841985240392e-61
"481","LIMK1",8.68699042585288e-63,1.28659757575897e-60
"278","BANK1",1.04262342579425e-62,1.53459921248736e-60
"220","PHLDB2",1.11842151313116e-62,1.63600213559686e-60
"782","HECTD1",2.48790898799989e-62,3.61693124470144e-60
"582","TMEM250",5.34955165260629e-62,7.72977594584216e-60
"107","CENPA",3.49306520827352e-61,5.01667674184592e-59
"1040","VASP",4.20541925530613e-61,6.00336265620418e-59
"460","RNASET2",4.95449786885944e-61,7.03034347295582e-59
"1036","CD79A",8.97142996107818e-61,1.26545223683137e-58
"1024","ETV2",9.89470873444532e-61,1.38742552000089e-58
"1037","ZNF526",2.04696975376177e-60,2.85335542675839e-58
"597","VIM-AS1",3.16936919322854e-59,4.39207846619513e-57
"414","OOEP",1.0088192765853e-58,1.38988316263034e-56
"240","PDCD10",1.05554140243318e-58,1.44121724538666e-56
"750","KBTBD6",1.05824281848875e-58,1.44121724538666e-56
"217","TRAT1",1.31405015659376e-58,1.77937408918871e-56
"770","LOC101928841",3.93242578119549e-58,5.29469850778349e-56
"424","SCML4",1.5234514580615e-57,2.03961746902166e-55
"870","EARS2",2.76857638713182e-57,3.68578396886869e-55
"661","GRK2",5.25617641971655e-57,6.95841411273872e-55
"947","DGKE",8.07184205353097e-57,1.06265800634735e-54
"319","MRPS36",3.00844096648704e-56,3.93873069518471e-54
"1128","ZNF674",3.16693396182748e-56,4.1234524227157e-54
"846","ADAMTS7",5.90994793034413e-56,7.65289814783415e-54
"1053","ZNF446",1.11462604966773e-55,1.4355050814661e-53
"559","GCNT1",4.41517019731551e-55,5.65547503598842e-53
"919","MYO18A",2.79933501509223e-54,3.56644311035702e-52
"1127","USP9X",3.02107488396786e-54,3.82836425269445e-52
"940","MRPL10",4.72534986468223e-54,5.95620296507312e-52
"44","GBP5",6.95411700383683e-54,8.71913812909637e-52
"260","ABLIM2",1.57191326966888e-53,1.9605067763865e-51
"564","PHF2",1.87735253208478e-53,2.32919491899545e-51
"1086","ATP5PO",2.22176895859457e-53,2.74214890686539e-51
"205","CACNA2D2",2.56458712704796e-53,3.14886119946401e-51
"965","MRPL12",2.81465752416886e-53,3.43808965722832e-51
"1104","PIK3IP1-AS1",3.99552397288519e-52,4.85548367104925e-50
"600","YME1L1",4.63515038950535e-52,5.60403871327083e-50
"806","GSTZ1",1.42250470531564e-51,1.7111215229373e-49
"898","ANKRD11",7.23107447200696e-51,8.65428140217924e-49
"621","LCOR",1.05218643891441e-50,1.25294784135451e-48
"630","GSTO2",1.57992112852661e-50,1.87196954913475e-48
"115","ATL2",1.62738595916695e-50,1.91861517782981e-48
"1027","HKR1",3.44902211428592e-50,4.04611272486305e-48
"757","NUDT15",3.47443890871003e-50,4.05585117338431e-48
"796","FBXO34",3.53336091286791e-49,4.10441438981524e-47
"1141","SNORA70",4.13232454780886e-49,4.77676560045983e-47
"149","IL37",4.93072540504953e-49,5.67200970502227e-47
"970","VAPA",8.5581787896917e-49,9.79725424054706e-47
"33","CDKN2C",1.16303914797955e-48,1.32502589854189e-46
"395","RGL2",1.19927527450226e-48,1.35977158755407e-46
"55","DENND2D",1.33429290917441e-48,1.50565424136695e-46
"275","KLHL8",1.56681642047661e-48,1.7596610765893e-46
"47","TGFBR3",3.89442063821274e-48,4.35311725772299e-46
"235","GYG1",4.69214790936513e-48,5.22017976564439e-46
"815","CCDC85C",7.76300898876736e-48,8.59626280405702e-46
"208","GRM2",9.1879062951149e-48,1.0126782115132e-45
"373","NQO2",4.73746345615396e-47,5.19739220002224e-45
"575","TOR2A",5.90816432005387e-47,6.45187879688095e-45
"818","PPP2R5C",1.05853817072414e-46,1.15065041429587e-44
"200","CDC25A",3.64433278377752e-46,3.94336776151488e-44
"929","TNS4",5.57708243428671e-45,6.00727829296783e-43
"613","VCL",7.22552215504438e-45,7.7476560410899e-43
"438","IFNGR1",1.23305620039996e-44,1.31620417931882e-42
"728","NUDT4",1.78262729812622e-44,1.89430130420166e-42
"960","TMEM235",4.48794566288236e-44,4.74780573095193e-42
"269","UTP3",7.401117041488e-44,7.79485646809516e-42
"3","MIB2",1.50850155955699e-43,1.58172395826646e-41
"670","ENDOD1",3.16185749995055e-43,3.30072850997041e-41
