"","Feature","p value","adjusted p value"
"5","SLC35E2B",0,0
"664","ZNF665",0,0
"740","XG",0,0
"52","FCRLB",5.76081413408486e-310,3.41285031338523e-306
"101","LINC01856",3.07815197744499e-230,1.45885934819028e-226
"548","GOSR2",1.910151342813e-222,7.54414272843993e-219
"672","ISOC2",1.99048245604341e-210,6.73835182298009e-207
"444","ABCD4",2.77902006996681e-172,8.23180482475044e-169
"375","GRIK4",7.68883914948816e-172,2.02447134806023e-168
"111","DNAJB2",8.74846204348185e-171,2.07312305044389e-167
"585","PTBP1",1.84735199327176e-163,3.97970001677826e-160
"216","PDSS2",1.65904419032692e-152,3.27619751484809e-149
"435","PTGDR",1.39327357320447e-148,2.53972337417125e-145
"360","STIP1",2.93105072303745e-141,4.96122207027274e-138
"730","GGA1",3.56345576625346e-134,5.62954741952722e-131
"491","IL21R-AS1",1.00876499575137e-129,1.49404400652002e-126
"381","CDCA3",2.92104448693772e-126,4.07176418864489e-123
"579","TMEM241",2.34070322483621e-123,3.08153579549687e-120
"431","C14orf93",8.05857720782483e-123,1.00507423207276e-119
"352","MIR8054",1.13127609051545e-119,1.34039247584723e-116
"104","ATP5MC3",3.17978790168891e-119,3.58816351934867e-116
"251","FIS1",7.08842811343858e-119,7.63520368200701e-116
"10","LOC105376805",8.86155961018681e-115,9.13010339489551e-112
"415","NUP58",9.58775772205305e-115,9.46671228081213e-112
"89","DUSP2",5.04404002288409e-114,4.78114465689137e-111
"356","PEX16",1.09788823940732e-111,1.00064067727828e-108
"72","DNMT3A",4.02344061173533e-109,3.53123971023304e-106
"661","TBC1D17",7.86806349254792e-106,6.65891073510386e-103
"53","UAP1",1.11096380904036e-102,9.07810668373426e-100
"140","TMEM39A",6.27047347140587e-101,4.95304699506349e-98
"390","ESYT1",1.32051913883377e-100,1.00943038815948e-97
"537","ZNHIT3",7.80028815753518e-100,5.60131601421549e-97
"577","ESCO1",7.80028815753518e-100,5.60131601421549e-97
"596","HDGFL2",3.57879530807976e-99,2.49431507104606e-96
"480","FLYWCH2",6.81046023407284e-95,4.61107074762354e-92
"473","NME4",4.2640408741328e-94,2.80680490539791e-91
"619","ARRDC2",4.55504256381628e-90,2.91732009823661e-87
