#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA1	SCARB1	9606.ENSP00000363868	9606.ENSP00000261693	0	0	0	0	0.064	0	0	0.932	0.934
ABCA1	NR1H2	9606.ENSP00000363868	9606.ENSP00000499121	0	0	0	0	0	0.628	0.800	0.900	0.991
ACP5	BLVRB	9606.ENSP00000218758	9606.ENSP00000263368	0	0	0	0	0.060	0	0.909	0.072	0.914
ACP5	NFATC1	9606.ENSP00000218758	9606.ENSP00000389377	0	0	0	0	0.075	0	0	0.953	0.954
ACSL3	CPT1A	9606.ENSP00000350012	9606.ENSP00000265641	0	0	0	0	0.062	0	0.650	0.874	0.955
ACSL3	FASN	9606.ENSP00000350012	9606.ENSP00000304592	0.057	0	0	0	0.080	0.059	0.900	0.631	0.964
ADCY9	KCNQ1	9606.ENSP00000294016	9606.ENSP00000155840	0	0	0	0	0	0.051	0.900	0.518	0.950
ADSS2	ENTPD4	9606.ENSP00000355493	9606.ENSP00000351520	0	0	0	0	0	0	0.900	0.129	0.909
ADSS2	ENTPD1	9606.ENSP00000355493	9606.ENSP00000360250	0	0	0	0	0	0	0.900	0.120	0.908
AHCY	DNMT3A	9606.ENSP00000217426	9606.ENSP00000264709	0	0	0	0	0.055	0	0.900	0.391	0.937
AIMP2	DARS1	9606.ENSP00000223029	9606.ENSP00000264161	0	0	0	0	0.147	0.987	0.900	0.584	0.999
AIMP2	QARS1	9606.ENSP00000223029	9606.ENSP00000307567	0	0	0	0	0.141	0.911	0.900	0.892	0.999
AP1B1	HLA-A	9606.ENSP00000350199	9606.ENSP00000379873	0	0	0	0	0.049	0.800	0.650	0	0.927
AP1B1	ARF1	9606.ENSP00000350199	9606.ENSP00000440005	0	0	0	0	0.067	0.970	0.500	0.526	0.992
AP1B1	AP1M1	9606.ENSP00000350199	9606.ENSP00000388996	0	0	0	0	0.118	0.991	0.900	0.724	0.999
AP1M1	HLA-A	9606.ENSP00000388996	9606.ENSP00000379873	0	0	0	0	0	0.900	0.650	0.107	0.966
AP1M1	ARF1	9606.ENSP00000388996	9606.ENSP00000440005	0	0	0	0	0.056	0.920	0.500	0.434	0.976
APP	LRP1	9606.ENSP00000284981	9606.ENSP00000243077	0	0	0	0	0.113	0.552	0	0.962	0.983
APP	SHC1	9606.ENSP00000284981	9606.ENSP00000401303	0	0	0	0	0.075	0.515	0	0.863	0.933
APP	GRB2	9606.ENSP00000284981	9606.ENSP00000376345	0	0	0	0	0.047	0.292	0	0.926	0.945
ARF1	GOLPH3	9606.ENSP00000440005	9606.ENSP00000265070	0	0	0	0	0.066	0.138	0	0.937	0.944
ARF1	CYTH1	9606.ENSP00000440005	9606.ENSP00000389095	0	0	0	0	0.044	0.053	0.900	0.997	0.999
ARF1	ARFGAP2	9606.ENSP00000440005	9606.ENSP00000434442	0	0	0	0	0.092	0.437	0.500	0.759	0.930
ARHGAP1	BNIP2	9606.ENSP00000310491	9606.ENSP00000267859	0	0	0	0.654	0.042	0.768	0	0.717	0.931
ARHGEF2	TUBB4A	9606.ENSP00000354837	9606.ENSP00000264071	0	0	0	0	0.047	0	0.900	0.096	0.906
ARHGEF2	TUBA1C	9606.ENSP00000354837	9606.ENSP00000443475	0	0	0	0	0.072	0	0.900	0	0.903
ATF3	JUNB	9606.ENSP00000344352	9606.ENSP00000303315	0	0	0	0	0.404	0.774	0	0.754	0.964
ATF3	HDAC1	9606.ENSP00000344352	9606.ENSP00000362649	0	0	0	0	0.054	0.650	0	0.772	0.918
ATG5	GABARAPL1	9606.ENSP00000358072	9606.ENSP00000411256	0	0	0	0	0.086	0.332	0.900	0.995	0.999
ATP1B3	PRKG2	9606.ENSP00000286371	9606.ENSP00000264399	0	0	0	0	0.055	0	0.900	0	0.901
ATP6V0D1	ATP6V1B2	9606.ENSP00000290949	9606.ENSP00000276390	0.111	0	0	0	0.780	0.978	0.956	0.805	0.999
