#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS1	MARS1	9606.ENSP00000261772	9606.ENSP00000262027	0.112	0	0	0	0.404	0	0	0.849	0.913
ADGRG1	GNG2	9606.ENSP00000455215	9606.ENSP00000334448	0	0	0	0	0.048	0.941	0	0.068	0.943
ANP32E	TFPT	9606.ENSP00000463154	9606.ENSP00000375639	0	0	0	0	0.069	0	0.900	0	0.902
AP5Z1	ZFYVE26	9606.ENSP00000497815	9606.ENSP00000251119	0	0	0	0	0.076	0	0	0.992	0.992
ARHGEF1	GNAQ	9606.ENSP00000337261	9606.ENSP00000286548	0	0	0	0	0.044	0.292	0.900	0.542	0.964
ARHGEF1	ARHGEF28	9606.ENSP00000337261	9606.ENSP00000441913	0	0	0	0.586	0.055	0.092	0.900	0.234	0.925
ARHGEF28	GNAQ	9606.ENSP00000441913	9606.ENSP00000286548	0	0	0	0	0	0	0.900	0.231	0.919
ATP5IF1	ATP5PD	9606.ENSP00000335203	9606.ENSP00000301587	0	0	0	0	0.914	0.731	0	0.203	0.980
ATP5MC2	ATP5MC3	9606.ENSP00000499883	9606.ENSP00000284727	0	0	0.056	0.968	0.320	0.958	0.900	0.419	0.998
ATP5MC2	ATP5PD	9606.ENSP00000499883	9606.ENSP00000301587	0	0	0	0	0.629	0.939	0.800	0.580	0.997
ATP5MC3	ATP5PD	9606.ENSP00000284727	9606.ENSP00000301587	0	0	0	0	0.611	0.939	0.800	0.782	0.998
BAG6	NCR3	9606.ENSP00000365131	9606.ENSP00000342156	0	0	0	0	0	0.781	0	0.982	0.995
BANF1	LEMD3	9606.ENSP00000433760	9606.ENSP00000308369	0	0	0	0	0.068	0.303	0.500	0.995	0.998
BOLA3	GLRX3	9606.ENSP00000331369	9606.ENSP00000357633	0.106	0	0	0	0.156	0.664	0.540	0.673	0.955
BYSL	CSNK1D	9606.ENSP00000230340	9606.ENSP00000381531	0	0	0	0	0.068	0.663	0.800	0.370	0.955
BYSL	RPS27	9606.ENSP00000230340	9606.ENSP00000499044	0	0	0	0	0.101	0.958	0.500	0.108	0.981
BYSL	RPS18	9606.ENSP00000230340	9606.ENSP00000393241	0	0	0	0	0.099	0.989	0	0.206	0.992
