"Name","ID","Chr","Loc","Type"
"FAM87B","400728","1","1p36.33","ncRNA"
"LINC01128","643837","1","1p36.33","ncRNA"
"LINC00115","79854","1","1p36.33","ncRNA"
"FAM41C","284593","1","1p36.33","ncRNA"
"LINC02593","100130417","1","1p36.33","ncRNA"
"SAMD11","148398","1","1p36.33","protein-coding"
"NOC2L","26155","1","1p36.33","protein-coding"
"KLHL17","339451","1","1p36.33","protein-coding"
"PLEKHN1","84069","1","1p36.33","protein-coding"
"PERM1","84808","1","1p36.33","protein-coding"
"HES4","57801","1","1p36.33","protein-coding"
"ISG15","9636","1","1p36.33","protein-coding"
"AGRN","375790","1","1p36.33","protein-coding"
"RNF223","401934","1","1p36.33","protein-coding"
"C1orf159","54991","1","1p36.33","protein-coding"
"LINC01342","254099","1","1p36.33","ncRNA"
"MIR200B","406984","1","1p36.33","ncRNA"
"MIR429","554210","1","1p36.33","ncRNA"
"TTLL10","254173","1","1p36.33","protein-coding"
"TNFRSF18","8784","1","1p36.33","protein-coding"
"TNFRSF4","7293","1","1p36.33","protein-coding"
"SDF4","51150","1","1p36.33","protein-coding"
"B3GALT6","126792","1","1p36.33","protein-coding"
"C1QTNF12","388581","1","1p36.33","protein-coding"
"UBE2J2","118424","1","1p36.33","protein-coding"
"SCNN1D","6339","1","1p36.33","protein-coding"
"MIR6726","102465434","1","1p36.33","ncRNA"
"PUSL1","126789","1","1p36.33","protein-coding"
"ACAP3","116983","1","1p36.33","protein-coding"
"MIR6727","102465435","1","1p36.33","ncRNA"
"INTS11","54973","1","1p36.33","protein-coding"
"CPTP","80772","1","1p36.33","protein-coding"
"TAS1R3","83756","1","1p36.33","protein-coding"
"MIR6808","102466740","1","1p36.33","ncRNA"
"DVL1","1855","1","1p36.33","protein-coding"
"MXRA8","54587","1","1p36.33","protein-coding"
"AURKAIP1","54998","1","1p36.33","protein-coding"
"CCNL2","81669","1","1p36.33","protein-coding"
"MRPL20-AS1","148413","1","1p36.33","ncRNA"
"MRPL20","55052","1","1p36.33","protein-coding"
"ANKRD65","441869","1","1p36.33","protein-coding"
"TMEM88B","643965","1","1p36.33","protein-coding"
"LINC01770","102724312","1","1p36.33","ncRNA"
"VWA1","64856","1","1p36.33","protein-coding"
"ATAD3B","83858","1","1p36.33","protein-coding"
"ATAD3A","55210","1","1p36.33","protein-coding"
"TMEM240","339453","1","1p36.33","protein-coding"
"SSU72","29101","1","1p36.33","protein-coding"
"FNDC10","643988","1","1p36.33","protein-coding"
"MIB2","142678","1","1p36.33","protein-coding"
"MMP23B","8510","1","1p36.33","protein-coding"
"MMP23A","8511","1","1p36.33","pseudo"
"CDK11B","984","1","1p36.33","protein-coding"
"SLC35E2B","728661","1","1p36.33","protein-coding"
"CDK11A","728642","1","1p36.33","protein-coding"
"SLC35E2A","9906","1","1p36.33","pseudo"
"NADK","65220","1","1p36.33","protein-coding"
"GNB1","2782","1","1p36.33","protein-coding"
"CALML6","163688","1","1p36.33","protein-coding"
"TMEM52","339456","1","1p36.33","protein-coding"
"CFAP74","85452","1","1p36.33","protein-coding"
"GABRD","2563","1","1p36.33","protein-coding"
"PRKCZ","5590","1","1p36.33","protein-coding"
"FAAP20","199990","1","1p36.33","protein-coding"
"SKI","6497","1","1p36.33-p36.32","protein-coding"
"MORN1","79906","1","1p36.32","protein-coding"
"RER1","11079","1","1p36.32","protein-coding"
"PEX10","5192","1","1p36.32","protein-coding"
"PLCH2","9651","1","1p36.32","protein-coding"
"PANK4","55229","1","1p36.32","protein-coding"
"HES5","388585","1","1p36.32","protein-coding"
"TNFRSF14","8764","1","1p36.32","protein-coding"
"TNFRSF14-AS1","115110","1","1p36.32","ncRNA"
"LOC100996583","100996583","1","1p36.32","ncRNA"
"PRXL2B","127281","1","1p36.32","protein-coding"
"MMEL1","79258","1","1p36.32","protein-coding"
"TTC34","100287898","1","1p36.32","protein-coding"
"ACTRT2","140625","1","1p36.32","protein-coding"
"PRDM16-DT","440556","1","1p36.32","ncRNA"
"PRDM16","63976","1","1p36.32","protein-coding"
"ARHGEF16","27237","1","1p36.32","protein-coding"
"MIR551A","693135","1","1p36.32","ncRNA"
"MEGF6","1953","1","1p36.32","protein-coding"
"TPRG1L","127262","1","1p36.32","protein-coding"
"TP73","7161","1","1p36.32","protein-coding"
"WRAP73","49856","1","1p36.32","protein-coding"
"TP73-AS1","57212","1","1p36.32","ncRNA"
"SMIM1","388588","1","1p36.32","protein-coding"
"LRRC47","57470","1","1p36.32","protein-coding"
"CEP104","9731","1","1p36.32","protein-coding"
"DFFB","1677","1","1p36.32","protein-coding"
"C1orf174","339448","1","1p36.32","protein-coding"
"LINC01134","100133612","1","1p36.32","ncRNA"
"LINC01346","728716","1","1p36.32","ncRNA"
"LINC01777","284661","1","1p36.32","ncRNA"
"AJAP1","55966","1","1p36.32","protein-coding"
"NULL","100616489","NULL","NULL","NULL"
"MIR4689","100616421","1","1p36.31","ncRNA"
"KCNAB2","8514","1","1p36.31","protein-coding"
"NPHP4","261734","1","1p36.31","protein-coding"
"CHD5","26038","1","1p36.31","protein-coding"
"RNF207","388591","1","1p36.31","protein-coding"
"RNF207-AS1","102724450","1","1p36.31","ncRNA"
"RPL22","6146","1","1p36.31","protein-coding"
"ICMT","23463","1","1p36.31","protein-coding"
"HES3","390992","1","1p36.31","protein-coding"
"GPR153","387509","1","1p36.31","protein-coding"
"ACOT7","11332","1","1p36.31","protein-coding"
"HES2","54626","1","1p36.31","protein-coding"
"ESPN","83715","1","1p36.31","protein-coding"
"MIR4252","100422975","1","1p36.31","ncRNA"
"TNFRSF25","8718","1","1p36.31","protein-coding"
"PLEKHG5","57449","1","1p36.31","protein-coding"
"NOL9","79707","1","1p36.31","protein-coding"
"ZBTB48","3104","1","1p36.31","protein-coding"
"PHF13","148479","1","1p36.31","protein-coding"
"KLHL21","9903","1","1p36.31","protein-coding"
"THAP3","90326","1","1p36.31","protein-coding"
"DNAJC11","55735","1","1p36.31","protein-coding"
"LINC01672","100505887","1","1p36.31","ncRNA"
"CAMTA1","23261","1","1p36.31-p36.23","protein-coding"
"VAMP3","9341","1","1p36.23","protein-coding"
"PER3","8863","1","1p36.23","protein-coding"
"UTS2","10911","1","1p36.23","protein-coding"
"TNFRSF9","3604","1","1p36.23","protein-coding"
"PARK7","11315","1","1p36.23","protein-coding"
"ERRFI1","54206","1","1p36.23","protein-coding"
"LINC01714","102724539","1","1p36.23","ncRNA"
"SLC45A1","50651","1","1p36.23","protein-coding"
"RERE-AS1","102724552","1","1p36.23","ncRNA"
"RERE","473","1","1p36.23","protein-coding"
"MIR6728","102465436","1","1p36.23","ncRNA"
"ENO1-AS1","100505975","1","1p36.23","ncRNA"
"ENO1","2023","1","1p36.23","protein-coding"
"CA6","765","1","1p36.23","protein-coding"
"SLC2A7","155184","1","1p36.23","protein-coding"
"SLC2A5","6518","1","1p36.23","protein-coding"
"GPR157","80045","1","1p36.22","protein-coding"
"MIR34A","407040","1","1p36.22","ncRNA"
"LNCTAM34A","102724571","1","1p36.22","ncRNA"
"MIR34AHG","106614088","1","1p36.22","ncRNA"
"H6PD","9563","1","1p36.22","protein-coding"
"SPSB1","80176","1","1p36.22","protein-coding"
"SLC25A33","84275","1","1p36.22","protein-coding"
"TMEM201","199953","1","1p36.22","protein-coding"
"PIK3CD","5293","1","1p36.22","protein-coding"
"PIK3CD-AS1","644997","1","1p36.22","ncRNA"
"PIK3CD-AS2","101929074","1","1p36.22","ncRNA"
"CLSTN1","22883","1","1p36.22","protein-coding"
"CTNNBIP1","56998","1","1p36.22","protein-coding"
"NMNAT1","64802","1","1p36.22","protein-coding"
"LZIC","84328","1","1p36.22","protein-coding"
"MIR5697","100847055","1","1p36.22","ncRNA"
"RBP7","116362","1","1p36.22","protein-coding"
"UBE4B","10277","1","1p36.22","protein-coding"
"KIF1B","23095","1","1p36.22","protein-coding"
"NULL","100422970","NULL","NULL","NULL"
"PGD","5226","1","1p36.22","protein-coding"
"CENPS-CORT","100526739","1","1p36.22","protein-coding"
"CENPS","378708","1","1p36.22","protein-coding"
"CORT","1325","1","1p36.22","protein-coding"
"PEX14","5195","1","1p36.22","protein-coding"
"DFFA","1676","1","1p36.22","protein-coding"
"CASZ1","54897","1","1p36.22","protein-coding"
"C1orf127","148345","1","1p36.22","protein-coding"
"TARDBP","23435","1","1p36.22","protein-coding"
"MASP2","10747","1","1p36.22","protein-coding"
"SRM","6723","1","1p36.22","protein-coding"
"EXOSC10-AS1","105376736","1","1p36.22","ncRNA"
"EXOSC10","5394","1","1p36.22","protein-coding"
"ANGPTL7","10218","1","1p36.22","protein-coding"
"MTOR","2475","1","1p36.22","protein-coding"
"UBIAD1","29914","1","1p36.22","protein-coding"
"DISP3","57540","1","1p36.22","protein-coding"
"LINC01647","101929181","1","1p36.22","ncRNA"
"FBXO44","93611","1","1p36.22","protein-coding"
"FBXO2","26232","1","1p36.22","protein-coding"
"FBXO6","26270","1","1p36.22","protein-coding"
"MAD2L2","10459","1","1p36.22","protein-coding"
"DRAXIN","374946","1","1p36.22","protein-coding"
"AGTRAP","57085","1","1p36.22","protein-coding"
"C1orf167","284498","1","1p36.22","protein-coding"
"C1orf167-AS1","102724659","1","1p36.22","ncRNA"
"CLCN6","1185","1","1p36.22","protein-coding"
"MTHFR","4524","1","1p36.22","protein-coding"
"NPPA-AS1","100379251","1","1p36.22","ncRNA"
"NPPA","4878","1","1p36.22","protein-coding"
"NPPB","4879","1","1p36.22","protein-coding"
"RNU5E-1","26829","1","1p36.22","snRNA"
"KIAA2013","90231","1","1p36.22","protein-coding"
"PLOD1","5351","1","1p36.22","protein-coding"
"MFN2","9927","1","1p36.22","protein-coding"
"MIIP","60672","1","1p36.22","protein-coding"
"MIR6729","102466982","1","1p36.22","ncRNA"
"TNFRSF8","943","1","1p36.22","protein-coding"
"MIR7846","102465836","1","1p36.22","ncRNA"
"TNFRSF1B","7133","1","1p36.22","protein-coding"
"MIR4632","100616438","1","1p36.22","ncRNA"
"VPS13D","55187","1","1p36.22-p36.21","protein-coding"
"MIR6730","102466722","1","1p36.21","ncRNA"
"DHRS3","9249","1","1p36.21","protein-coding"
"AADACL4","343066","1","1p36.21","protein-coding"
"AADACL3","126767","1","1p36.21","protein-coding"
"HNRNPCL2","440563","1","1p36.21","protein-coding"
"PRAMEF18","391003","1","1p36.21","protein-coding"
"PRAMEF5","343068","1","1p36.21","protein-coding"
"PRAMEF14","729528","1","1p36.21","protein-coding"
"PRAMEF20","645425","1","1p36.21","protein-coding"
"LRRC38","126755","1","1p36.21","protein-coding"
"PDPN","10630","1","1p36.21","protein-coding"
"PRDM2","7799","1","1p36.21","protein-coding"
"KAZN","23254","1","1p36.21","protein-coding"
"TMEM51-AS1","200197","1","1p36.21","ncRNA"
"TMEM51","55092","1","1p36.21","protein-coding"
"TMEM51-AS2","727684","1","1p36.21","ncRNA"
