#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCD2	ABCD3	9606.ENSP00000310688	9606.ENSP00000359233	0	0	0.093	0.888	0.069	0.132	0.900	0.152	0.926
ACER2	CERS6	9606.ENSP00000342609	9606.ENSP00000376453	0	0	0	0	0	0.115	0.900	0.646	0.966
ACTG1	PDCL3	9606.ENSP00000458162	9606.ENSP00000264254	0	0	0	0	0.054	0.919	0	0.102	0.925
ACTG1	HCLS1	9606.ENSP00000458162	9606.ENSP00000320176	0	0	0	0	0.055	0.092	0.900	0.577	0.958
ACTG1	ARHGAP10	9606.ENSP00000458162	9606.ENSP00000336923	0	0	0	0	0.044	0.050	0.900	0.057	0.902
ACTG1	PRKCA	9606.ENSP00000458162	9606.ENSP00000408695	0	0	0	0	0.049	0.161	0.900	0.095	0.918
ACTG1	PIP5K1C	9606.ENSP00000458162	9606.ENSP00000466363	0	0	0	0	0.048	0.058	0.900	0.130	0.911
ACTR6	SRCAP	9606.ENSP00000188312	9606.ENSP00000262518	0	0	0	0	0	0.996	0.540	0.384	0.999
ACVR1B	ACVR1C	9606.ENSP00000442656	9606.ENSP00000243349	0	0	0.056	0.964	0	0.165	0.720	0.872	0.967
ACVR1B	SMAD4	9606.ENSP00000442656	9606.ENSP00000341551	0	0	0	0	0.062	0.091	0.500	0.911	0.957
ADGRL1	GNB2	9606.ENSP00000340688	9606.ENSP00000305260	0	0	0	0	0.062	0.967	0	0.050	0.968
ADGRL1	SLC35A1	9606.ENSP00000340688	9606.ENSP00000358565	0	0	0	0	0	0	0	0.969	0.969
ADH5	AVP	9606.ENSP00000296412	9606.ENSP00000369647	0	0	0	0	0	0	0	0.917	0.917
ADH5	ESD	9606.ENSP00000296412	9606.ENSP00000367992	0.099	0.150	0.267	0	0.633	0.438	0.940	0.847	0.998
ADSS1	GMPR	9606.ENSP00000333019	9606.ENSP00000259727	0.079	0	0	0	0.400	0	0.910	0.301	0.961
ADSS1	HPRT1	9606.ENSP00000333019	9606.ENSP00000298556	0.111	0	0	0	0.115	0	0.911	0.467	0.958
ADSS1	IL4I1	9606.ENSP00000333019	9606.ENSP00000472474	0	0	0	0	0	0	0.900	0	0.900
ADSS1	GART	9606.ENSP00000333019	9606.ENSP00000371253	0.321	0	0	0	0.904	0.065	0	0.564	0.969
AEBP2	RNF2	9606.ENSP00000381840	9606.ENSP00000356480	0	0	0	0	0.056	0	0.900	0.528	0.951
AEBP2	ASXL1	9606.ENSP00000381840	9606.ENSP00000364839	0	0	0	0	0	0.095	0.900	0.158	0.917
AGO2	PABPC1	9606.ENSP00000220592	9606.ENSP00000313007	0	0	0	0	0.105	0.703	0	0.720	0.919
AGO2	UPF1	9606.ENSP00000220592	9606.ENSP00000470142	0	0	0	0	0.074	0.451	0	0.908	0.949
AGO2	IPO8	9606.ENSP00000220592	9606.ENSP00000256079	0	0	0	0	0.049	0.535	0.700	0.836	0.975
AGO2	EIF4E	9606.ENSP00000220592	9606.ENSP00000425561	0	0	0	0	0.049	0.324	0.900	0.883	0.991
AGPAT1	AGPAT3	9606.ENSP00000378877	9606.ENSP00000291572	0	0	0	0	0.059	0	0.900	0.802	0.979
AK9	NME7	9606.ENSP00000410186	9606.ENSP00000356785	0.053	0	0	0	0.087	0	0.918	0.395	0.952
ALCAM	CD6	9606.ENSP00000305988	9606.ENSP00000323280	0	0	0	0	0	0.803	0.900	0.999	0.999
ALDH3B2	CARNS1	9606.ENSP00000501254	9606.ENSP00000389009	0.042	0	0	0	0.042	0	0.900	0.219	0.918
ALPI	TPK1	9606.ENSP00000295463	9606.ENSP00000353165	0	0	0	0	0	0	0.900	0.099	0.906
ALPP	TPK1	9606.ENSP00000375881	9606.ENSP00000353165	0	0	0	0	0	0	0.900	0.063	0.902
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.828	0	0	0.523	0.914
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.750	0.292	0	0.480	0.900
AQR	CWF19L2	9606.ENSP00000156471	9606.ENSP00000282251	0	0	0	0	0.078	0.896	0	0.156	0.912
AQR	MAGOHB	9606.ENSP00000156471	9606.ENSP00000319240	0	0	0	0	0.054	0.937	0	0.231	0.950
AQR	SNRPE	9606.ENSP00000156471	9606.ENSP00000400591	0	0	0	0	0.060	0.976	0.900	0	0.997
AQR	RBM22	9606.ENSP00000156471	9606.ENSP00000199814	0	0	0	0	0.074	0.989	0.900	0.288	0.999
AQR	PRPF19	9606.ENSP00000156471	9606.ENSP00000227524	0	0	0	0	0.056	0.997	0.900	0.742	0.999
ARMC8	MKLN1	9606.ENSP00000419413	9606.ENSP00000323527	0	0	0	0	0.152	0.708	0	0.726	0.926
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0.799	0.994
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.954	0.078	0	0.589	0.981
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0.530	0.957
ASXL1	RNF2	9606.ENSP00000364839	9606.ENSP00000356480	0	0	0	0	0	0.306	0.900	0.282	0.945
ATP12A	PPA2	9606.ENSP00000218548	9606.ENSP00000343885	0	0	0	0	0.045	0	0.900	0.295	0.926
ATP6V1A	ATP6V1H	9606.ENSP00000273398	9606.ENSP00000352522	0	0	0	0	0.419	0.986	0.909	0.773	0.999
BAZ2A	DNMT3B	9606.ENSP00000446880	9606.ENSP00000328547	0	0	0	0	0	0.292	0.500	0.757	0.906
BCL10	MAP3K7	9606.ENSP00000498104	9606.ENSP00000358335	0	0	0	0	0.055	0.345	0.900	0.607	0.972
BCL11B	BICRAL	9606.ENSP00000349723	9606.ENSP00000313933	0	0	0	0	0.049	0.058	0.900	0.102	0.908
BCL11B	NR2F1	9606.ENSP00000349723	9606.ENSP00000325819	0	0	0	0	0	0.523	0	0.982	0.991
BCL11B	SMARCD2	9606.ENSP00000349723	9606.ENSP00000392617	0	0	0	0	0	0.069	0.900	0.215	0.920
BCL11B	SMARCA2	9606.ENSP00000349723	9606.ENSP00000371638	0	0	0	0	0.057	0.076	0.900	0.503	0.951
BCL2	VDAC1	9606.ENSP00000381185	9606.ENSP00000378487	0	0	0	0	0.045	0.297	0.720	0.995	0.998
BCL9	LEF1	9606.ENSP00000234739	9606.ENSP00000265165	0	0	0	0	0.056	0	0.540	0.810	0.910
BCL9	TLE3	9606.ENSP00000234739	9606.ENSP00000452871	0	0	0	0	0	0	0.900	0.166	0.913
BCL9	BCL9L	9606.ENSP00000234739	9606.ENSP00000335320	0	0	0	0.729	0.061	0.221	0.900	0.556	0.963
BCL9L	TLE3	9606.ENSP00000335320	9606.ENSP00000452871	0	0	0	0	0.047	0	0.900	0.110	0.907
BET1	STX7	9606.ENSP00000222547	9606.ENSP00000356918	0	0	0	0	0.099	0.765	0.540	0.757	0.973
BICRAL	SMARCD2	9606.ENSP00000313933	9606.ENSP00000392617	0	0	0	0	0.067	0.068	0.900	0.447	0.945
BICRAL	SMARCA2	9606.ENSP00000313933	9606.ENSP00000371638	0	0	0	0	0.136	0.425	0.900	0.414	0.967
BIVM	ERCC5	9606.ENSP00000257336	9606.ENSP00000498881	0	0.888	0	0	0.122	0	0	0.328	0.928
BMS1	UTP18	9606.ENSP00000363642	9606.ENSP00000225298	0	0	0	0	0.706	0.991	0.540	0.588	0.999
BMS1	CEBPZ	9606.ENSP00000363642	9606.ENSP00000234170	0	0	0	0	0.931	0.075	0	0.118	0.939
BMS1	RPS23	9606.ENSP00000363642	9606.ENSP00000296674	0	0	0	0	0.056	0.989	0.400	0.161	0.994
BMS1	WDR75	9606.ENSP00000363642	9606.ENSP00000314193	0	0	0	0	0.857	0.991	0.500	0.579	0.999
BMS1	BRIX1	9606.ENSP00000363642	9606.ENSP00000338862	0	0	0	0	0.739	0.256	0	0.563	0.908
BRCA2	MSH6	9606.ENSP00000369497	9606.ENSP00000234420	0	0	0	0	0.142	0	0.540	0.924	0.967
BRCA2	FANCF	9606.ENSP00000369497	9606.ENSP00000330875	0	0	0	0	0.044	0	0	0.908	0.908
BRCA2	ERCC5	9606.ENSP00000369497	9606.ENSP00000498881	0	0	0	0	0.056	0.292	0.540	0.750	0.913
BRIX1	CEBPZ	9606.ENSP00000338862	9606.ENSP00000234170	0	0	0	0	0.895	0.468	0	0.242	0.954
C1GALT1	GCNT4	9606.ENSP00000389176	9606.ENSP00000317027	0	0	0	0	0.057	0	0.900	0.701	0.969
CACNA1H	TRPC1	9606.ENSP00000334198	9606.ENSP00000419313	0	0	0	0	0.054	0	0.900	0.391	0.937
CACYBP	GSK3A	9606.ENSP00000356652	9606.ENSP00000222330	0	0	0	0	0.042	0	0.900	0.066	0.902
CALM2	CAMK2D	9606.ENSP00000499797	9606.ENSP00000425824	0	0	0	0	0.056	0.951	0	0.385	0.969
CALM2	SCN2A	9606.ENSP00000499797	9606.ENSP00000490107	0	0	0	0	0.067	0.926	0	0.141	0.935
CBX3	H4C6	9606.ENSP00000336687	9606.ENSP00000244537	0	0	0	0	0.049	0.781	0.500	0.396	0.929
CBX3	RNF2	9606.ENSP00000336687	9606.ENSP00000356480	0	0	0	0	0.056	0.623	0.500	0.752	0.950
CBX3	H3C3	9606.ENSP00000336687	9606.ENSP00000484658	0	0	0	0	0.057	0.926	0	0.462	0.959
CD274	CD4	9606.ENSP00000370989	9606.ENSP00000011653	0	0	0	0	0	0	0.500	0.883	0.938
CD4	CD44	9606.ENSP00000011653	9606.ENSP00000398632	0	0	0	0	0.055	0	0	0.949	0.950
CD4	IL2	9606.ENSP00000011653	9606.ENSP00000226730	0	0	0	0	0.052	0	0	0.975	0.975
CD4	CD5	9606.ENSP00000011653	9606.ENSP00000342681	0	0	0	0	0.267	0.923	0	0.960	0.997
CD44	CD74	9606.ENSP00000398632	9606.ENSP00000009530	0	0	0	0	0.111	0.541	0.720	0.992	0.999
CD44	LAMC2	9606.ENSP00000398632	9606.ENSP00000264144	0	0	0	0	0.072	0	0.900	0.585	0.958
CD5	CD6	9606.ENSP00000342681	9606.ENSP00000323280	0	0.044	0.118	0.558	0.787	0.478	0	0.864	0.985
CD6	LCP2	9606.ENSP00000323280	9606.ENSP00000046794	0	0	0	0	0.188	0.330	0	0.840	0.905
CD74	RPL37	9606.ENSP00000009530	9606.ENSP00000274242	0.052	0	0	0	0.830	0.842	0	0.167	0.975
CD74	RPS23	9606.ENSP00000009530	9606.ENSP00000296674	0.102	0	0	0	0.826	0.840	0	0.287	0.979
CD74	RPS20	9606.ENSP00000009530	9606.ENSP00000429374	0.102	0	0	0	0.827	0.841	0	0.343	0.981
