#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AAR2	9606.ENSP00000363043	Protein AAR2 homolog; Component of the U5 snRNP complex that is required for spliceosome assembly and for pre-mRNA splicing. Belongs to the AAR2 family.	https://smart.embl.de/smart/DDvec.cgi?smart=384:Pfam_AAR2(17|364)+	25980,A1 cistron-splicing factor AAR2,A2A2Q9,AAD27732.1,AAF29578.1,AAH01751.1,AAH19311.1,AAR2,AAR2 splicing factor,AAR2 splicing factor homolog,AAR2 splicing factor homolog (S. cerevisiae),AAR2-201,AAR2-202,AAR2-203,AAR2_HUMAN,AF113672,AF132957,AL117419,AL121895,BC001751,BC019311,C20orf4,CAB034220,CAB55913.1,CCDS13273,CCDS13273.1,CGI-23,CH471077,E1P5S7,EAW76141.1,EAW76142.1,EAW76143.1,ENSG00000131043,ENSP00000253356,ENSP00000313674,ENSP00000363043,ENSP00000380455,ENST00000253356,ENST00000320849,ENST00000320849.8,ENST00000373932,ENST00000373932.3,ENST00000397286,ENST00000397286.7,HGNC:15886,HPA048645,NM_001271874,NM_001271874.1,NM_001271874.2,NM_015511,NM_015511.4,NP_001258803,NP_001258803.1,NP_056326,NP_056326.2,NX_Q9Y312,OMIM:617365,OTTHUMG00000032380,PRO0225,Protein AAR2 homolog,Q9H4F9,Q9P1P3,Q9UFK9,Q9Y312,UPI00001285C6,UPI0000D4C458,XM_006723770,XM_006723770.3,XM_011528762,XM_011528762.2,XM_011528763,XM_011528763.2,XP_006723833,XP_006723833.1,XP_011527064,XP_011527064.1,XP_011527065,XP_011527065.1,bA234K24.2,chromosome 20 open reading frame 4,hsa:25980,uc002xfc.4
ABCA1	9606.ENSP00000363868	Phospholipid-transporting ATPase ABCA1; Catalyzes the translocation of specific phospholipids from the cytoplasmic to the extracellular/lumenal leaflet of membrane coupled to the hydrolysis of ATP. Thereby, participates to phospholipids transfer to apoliproteins to form nascent high density lipoproteins/HDLs. Transports preferentially phosphatidylcholine over phosphatidylserine. May play a similar role in the efflux of intracellular cholesterol to apoliproteins and the formation of nascent high density lipoproteins/HDLs ; Belongs to the ABC transporter superfamily. ABCA family.	https://smart.embl.de/smart/DDvec.cgi?smart=2261:TRANS(25|47)+Pfam_ABC2_membrane_3(594|841)+AAA(925|1122)+Pfam_ABC2_membrane_3(1344|1869)+AAA(1938|2123)+	19,5XJY,7.6.2.1,AAD49849.1,AAD49851.1,AAD49852.1,AAD49853.1,AAD49854.1,AAF86276.1,AAF98175.1,AAK43526.1,AB055982,ABC-1,ABC1,ABCA1,ABCA1-201,ABCA1-202,ABCA1-203,ABCA1-204,ABCA1_HUMAN,AF165281,AF165282,AF165283,AF165284,AF165285,AF165286,AF165287,AF165288,AF165289,AF165290,AF165291,AF165292,AF165293,AF165294,AF165295,AF165296,AF165297,AF165298,AF165299,AF165300,AF165301,AF165302,AF165303,AF165304,AF165305,AF165306,AF165307,AF165308,AF165309,AF165310,AF275948,AF285167,AF287262,AJ012376,AL353685,AL359182,AL359846,ATP binding cassette subfamily A member 1,ATP-binding cassette 1,ATP-binding cassette sub-family A member 1,ATP-binding cassette transporter 1,B1AMI1,B1AMI2,BAB63210.1,CAA10005.1,CAB069889,CCDS6762,CCDS6762.1,CERP,CH471105,CHEMBL2362986,Cholesterol efflux regulatory protein,EAW58993.1,ENSG00000165029,ENSP00000297693,ENSP00000297694,ENSP00000320226,ENSP00000341712,ENSP00000363865,ENSP00000363867,ENSP00000363868,ENSP00000416623,ENST00000297693,ENST00000297694,ENST00000315860,ENST00000341579,ENST00000374733,ENST00000374733.1,ENST00000374735,ENST00000374736,ENST00000374736.7,ENST00000423487,ENST00000423487.6,ENST00000494467,ENST00000494467.1,HDLCQTL13,HDLDT1,HGNC:29,HPA057283,HPALP1,NM_005502,NM_005502.3,NM_005502.4,NP_005493,NP_005493.2,NX_O95477,O95477,OMIM:600046,OTTHUMG00000020417,Phospholipid-transporting ATPase ABCA1,Q5VX33,Q96S56,Q96T85,Q9NQV4,Q9UN06,Q9UN07,Q9UN08,Q9UN09,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-174824,R-HSA-1989781,R-HSA-382551,R-HSA-400206,R-HSA-556833,R-HSA-5619084,R-HSA-5619115,R-HSA-5682113,R-HSA-8963896,R-HSA-8963898,R-HSA-9006931,R-HSA-9024446,R-HSA-9029569,TGD,Tangier disease,UPI000013E441,UPI000013E442,UPI000021156E,XM_005251773,XM_005251773.3,XM_005251776,XM_005251776.3,XM_011518339,XM_011518339.3,XM_011518340,XM_011518340.3,XM_011518341,XM_011518341.3,XM_011518342,XM_011518342.3,XM_011518344,XM_011518344.2,XM_017014378,XM_017014378.2,XM_017014379,XM_017014379.2,XM_017014380,XM_017014380.2,XM_017014381,XM_017014381.2,XM_017014382,XM_017014382.2,XP_005251830,XP_005251830.1,XP_005251833,XP_005251833.1,XP_011516641,XP_011516641.1,XP_011516642,XP_011516642.1,XP_011516643,XP_011516643.1,XP_011516644,XP_011516644.1,XP_011516646,XP_011516646.1,XP_016869867,XP_016869867.1,XP_016869868,XP_016869868.1,XP_016869869,XP_016869869.1,XP_016869870,XP_016869870.1,XP_016869871,XP_016869871.1,XR_001746223,XR_001746223.1,hsa:19,uc004bcl.4
ABCD2	9606.ENSP00000310688	ATP-binding cassette sub-family D member 2; Probable transporter; Belongs to the ABC transporter superfamily. ABCD family. Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=740:Pfam_ABC_membrane_2(78|365)+AAA(503|689)+	225,AAB00541.1,AAD30439.1,AAI04902.1,AAI04904.1,ABC39,ABCD2,ABCD2-201,ABCD2_HUMAN,AF119822,AF119823,AF119824,AF119825,AF119826,AF119827,AF119828,AF119829,AF119830,AF119831,AJ000327,AK314254,ALD1,ALDL1,ALDR,ALDRP,ATP binding cassette subfamily D member 2,ATP-binding cassette sub-family D member 2,Adrenoleukodystrophy-like 1,Adrenoleukodystrophy-related protein,B2RAM3,BAG36920.1,BC104901,BC104903,CAA03994.1,CCDS8734,CCDS8734.1,CH471111,EAW57807.1,ENSG00000173208,ENSP00000310688,ENST00000308666,ENST00000308666.3,HGNC:66,NM_005164,NM_005164.3,NM_005164.4,NP_005155,NP_005155.1,NX_Q9UBJ2,OMIM:601081,OTTHUMG00000169337,Q13210,Q2M3H9,Q9UBJ2,R-HSA-1369062,R-HSA-382551,R-HSA-382556,R-HSA-9603798,R-HSA-9609507,U28150,UPI000004C4C6,XM_011538027,XM_011538027.2,XM_011538027.3,XM_017018992,XM_017018992.2,XP_011536329,XP_011536329.1,XP_016874481,XP_016874481.1,XR_001748622,XR_001748622.2,XR_001748623,XR_001748623.2,hALDR,hsa:225,uc001rmb.3
ABCD3	9606.ENSP00000359233	ATP-binding cassette sub-family D member 3; Probable transporter involved in the transport of branched- chain fatty acids and C27 bile acids into the peroxisome; the latter function is a crucial step in bile acid biosynthesis. The nucleotide-binding fold acts as an ATP-binding subunit with ATPase activity.	https://smart.embl.de/smart/DDvec.cgi?smart=659:Pfam_ABC_membrane_2(57|338)+AAA(465|640)+	5825,70 kDa peroxisomal membrane protein,A0A3B3ITW3,AAA60128.1,AAH09712.1,AAH68509.1,AAP35290.1,ABC43,ABCD3,ABCD3-201,ABCD3-202,ABCD3-203,ABCD3-204,ABCD3-205,ABCD3-206,ABCD3-207,ABCD3_HUMAN,AC093117,AC118469,AL138758,ATP binding cassette subfamily D member 3,ATP-binding cassette sub-family D member 3,BC009712,BC068509,BT006644,CAA41416.1,CAA58470.1,CAB032516,CAB075749,CBAS5,CCDS44175,CCDS44175.1,CCDS749,CCDS749.1,CH471097,D3DT46,EAW73047.1,EAW73048.1,EAW73049.1,EAW73050.1,ENSG00000117528,ENSP00000263889,ENSP00000326880,ENSP00000359228,ENSP00000359233,ENSP00000377780,ENSP00000403357,ENSP00000440692,ENSP00000497921,ENST00000263889,ENST00000315713,ENST00000315713.5,ENST00000370209,ENST00000370214,ENST00000370214.8,ENST00000394233,ENST00000454898,ENST00000464165,ENST00000464165.1,ENST00000468860,ENST00000468860.1,ENST00000484213,ENST00000484213.1,ENST00000493416,ENST00000493416.5,ENST00000536817,ENST00000647998,HGNC:67,HPA032026,HPA032027,M81182,NM_001122674,NM_001122674.1,NM_002858,NM_002858.3,NM_002858.4,NP_001116146,NP_001116146.1,NP_002849,NP_002849.1,NX_P28288,OMIM:170995,OTTHUMG00000010717,P28288,PMP70,PXMP1,Q15271,Q6NUN5,Q96DA3,Q9H529,R-HSA-1369062,R-HSA-382551,R-HSA-382556,R-HSA-9603798,R-HSA-9609507,UPI000004C4C7,UPI000006D8FD,UPI000387D8BE,X58528,X83467,X83468,X83469,X83470,X83471,X83472,X83473,X83474,X83475,X83476,X83477,X83478,X83479,X83480,X83481,X83482,X83483,X83484,X83485,X83486,X83487,X83488,X83489,XM_006710802,XM_006710802.2,XM_011541877,XM_011541877.1,XP_006710865,XP_006710865.2,ZWS2,hsa:5825,uc001dqm.5,uc001dqn.5
ABHD10	9606.ENSP00000273359	Mycophenolic acid acyl-glucuronide esterase, mitochondrial; Catalyzes the deglucuronidation of mycophenolic acid acyl- glucuronide, a metabolite of the immunosuppressant drug mycophenolate. Belongs to the AB hydrolase superfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=306:SIGNAL(1|22)+Pfam_Abhydrolase_1(76|198)+	3.1.1.93,55347,AAH14516.1,ABHD10,ABHD10-201,ABHD10-202,ABHD10-203,ABHD10-204,ABHD10-205,ABHDA_HUMAN,AC060225,AK002204,AK300018,AL713726,Abhydrolase domain containing 10,Abhydrolase domain containing 10, depalmitoylase,Abhydrolase domain-containing protein 10,B7Z6A8,BAA92133.1,BAH13194.1,BC014516,C9IZX5,CAD28516.2,CCDS2963,CCDS2963.1,CCDS63718,CCDS63718.1,CH471052,D3DN63,EAW79688.1,EAW79689.1,EC 3.1.1.93,ENSG00000144827,ENSP00000273359,ENSP00000417880,ENSP00000418162,ENSP00000418973,ENSP00000442932,ENST00000273359,ENST00000273359.7,ENST00000491580,ENST00000491580.1,ENST00000493784,ENST00000493784.1,ENST00000494817,ENST00000494817.1,ENST00000497293,ENST00000497293.1,ENST00000534857,F8WBJ5,F8WBQ6,FLJ11342,HGNC:25656,HPA036991,HPA036992,HPA066081,NM_001272069,NM_001272069.1,NM_001272069.2,NM_018394,NM_018394.3,NM_018394.4,NP_001258998,NP_001258998.1,NP_060864,NP_060864.1,NR_073570,NR_073570.2,NR_073571,NR_073571.2,NX_Q9NUJ1,OMIM:618756,OTTHUMG00000159280,Q8TCF9,Q9NUJ1,R-HSA-1430728,R-HSA-156580,R-HSA-156588,R-HSA-211859,S09.062,UPI0000042225,UPI0001B7952F,UPI0001B79530,UPI0001B79531,XM_011512960,XM_011512960.2,XM_011512960.3,XP_011511262,XP_011511262.1,abhydrolase domain containing 10,abhydrolase domain containing 10, depalmitoylase,hsa:55347,uc003dyk.6
ABRA	9606.ENSP00000311436	Actin-binding Rho-activating protein; Acts as an activator of serum response factor (SRF)-dependent transcription possibly by inducing nuclear translocation of MKL1 or MKL2 and through a mechanism requiring Rho-actin signaling.	https://smart.embl.de/smart/DDvec.cgi?smart=381:Costars(304|380)+	137735,AAI05104.1,AAI05106.1,AAM27268.1,ABRA,ABRA-201,ABRA_HUMAN,AF503617,AK092694,AL833422,Actin binding Rho activating protein,Actin-binding Rho-activating protein,BAC03948.1,BC105103,BC105105,CCDS6305,CCDS6305.1,ENSG00000174429,ENSP00000311436,ENST00000311955,ENST00000311955.3,HGNC:30655,NM_139166,NM_139166.4,NM_139166.5,NP_631905,NP_631905.1,NX_Q8N0Z2,OMIM:609747,OTTHUMG00000164809,Q8N0Z2,STARS,UPI000006F0DE,XM_024447063,XM_024447063.1,XP_024302831,XP_024302831.1,actin binding Rho activating protein,hsa:137735,uc003ymm.5
ACADVL	9606.ENSP00000438689	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial; Active toward esters of long-chain and very long chain fatty acids such as palmitoyl-CoA, myristoyl-CoA and stearoyl-CoA. Can accommodate substrate acyl chain lengths as long as 24 carbons, but shows little activity for substrates of less than 12 carbons. Belongs to the acyl-CoA dehydrogenase family.	https://smart.embl.de/smart/DDvec.cgi?smart=678:Pfam_Acyl-CoA_dh_N(118|232)+Pfam_Acyl-CoA_dh_M(236|338)+Pfam_Acyl-CoA_dh_2(365|489)+	1.3.8.9,2UXW,37,3B96,AAA79002.1,AAH00399.1,AAH12912.1,AAH20218.1,AC120057,ACAD6,ACADVL,ACADVL-201,ACADVL-202,ACADVL-203,ACADVL-204,ACADVL-205,ACADVL-206,ACADVL-207,ACADVL-208,ACADVL-209,ACADVL-210,ACADVL-211,ACADVL-212,ACADVL-213,ACADVL-214,ACADVL-215,ACADVL-216,ACADVL-217,ACADVL-218,ACADVL-219,ACADVL-220,ACADVL-221,ACADVL-222,ACADVL-223,ACADVL-224,ACADVL-225,ACADVL-226,ACADVL-227,ACADVL-228,ACADVL-229,ACADVL-230,ACADVL-231,ACADVL-232,ACADVL-233,ACADVL-234,ACADVL-235,ACADVL-236,ACADVL-237,ACADVL-238,ACADVL-239,ACADV_HUMAN,AK293549,Acyl-CoA dehydrogenase very long chain,B4DEB6,BAA07781.1,BAA29057.1,BAG57027.1,BC000399,BC012912,BC020218,CAA60253.1,CCDS11090,CCDS11090.1,CCDS42249,CCDS42249.1,CCDS58509,CCDS58509.1,CHEMBL4105892,D43682,D78298,EC 1.3.8.9,ENSG00000072778,ENSP00000158749,ENSP00000325236,ENSP00000325320,ENSP00000325395,ENSP00000325474,ENSP00000344152,ENSP00000349297,ENSP00000438689,ENSP00000441299,ENSP00000442082,ENSP00000462366,ENSP00000462611,ENSP00000463246,ENSP00000464254,ENSP00000465353,ENSP00000466487,ENSP00000467920,ENST00000158749,ENST00000322868,ENST00000322889,ENST00000322910,ENST00000322910.9,ENST00000322931,ENST00000350303,ENST00000350303.9,ENST00000356839,ENST00000356839.9,ENST00000542255,ENST00000542255.6,ENST00000543245,ENST00000543245.6,ENST00000544763,ENST00000577191,ENST00000577191.5,ENST00000577433,ENST00000577433.5,ENST00000577857,ENST00000577857.5,ENST00000578033,ENST00000578033.1,ENST00000578269,ENST00000578269.5,ENST00000578319,ENST00000578319.5,ENST00000578421,ENST00000578421.1,ENST00000578579,ENST00000578579.2,ENST00000578711,ENST00000578711.1,ENST00000578809,ENST00000578809.5,ENST00000578824,ENST00000578824.5,ENST00000579286,ENST00000579286.5,ENST00000579391,ENST00000579391.1,ENST00000579425,ENST00000579425.5,ENST00000579546,ENST00000579546.1,ENST00000579886,ENST00000579886.2,ENST00000579894,ENST00000579894.5,ENST00000580263,ENST00000580263.5,ENST00000580365,ENST00000580365.1,ENST00000581378,ENST00000581378.5,ENST00000581562,ENST00000581562.5,ENST00000582056,ENST00000582056.5,ENST00000582166,ENST00000582166.1,ENST00000582356,ENST00000582356.5,ENST00000582379,ENST00000582379.1,ENST00000582450,ENST00000582450.1,ENST00000583074,ENST00000583074.5,ENST00000583312,ENST00000583312.5,ENST00000583760,ENST00000583760.1,ENST00000583848,ENST00000583848.5,ENST00000583850,ENST00000583850.5,ENST00000583858,ENST00000583858.5,ENST00000584103,ENST00000584103.5,ENST00000585203,ENST00000585203.6,F5H2A9,G3V1M7,HGNC:92,HPA019006,HPA020595,J3KS89,J3KSR4,J3QKU9,J3QRJ8,J9JID6,K7EJW8,K7EMF8,K7EQP4,L46590,LCACD,NM_000018,NM_000018.3,NM_000018.4,NM_001033859,NM_001033859.2,NM_001270447,NM_001270447.1,NM_001270448,NM_001270448.1,NP_000009,NP_000009.1,NP_001029031,NP_001029031.1,NP_001257376,NP_001257376.1,NP_001257377,NP_001257377.1,NX_P49748,O76056,OMIM:609575,OTTHUMG00000102157,P49748,Q8WUL0,R-HSA-1430728,R-HSA-381038,R-HSA-381070,R-HSA-381119,R-HSA-392499,R-HSA-556833,R-HSA-77286,R-HSA-77289,R-HSA-77305,R-HSA-8978868,UPI000006EEE8,UPI00001251EF,UPI0002064F84,UPI000268AF58,UPI000268AF59,UPI000268AF5A,UPI000268AF5B,UPI000268AF5C,UPI000268AF5D,UPI0002840EBE,UPI0003F47BAC,UPI0003F482DA,URS00008B57FF,URS00008B75C5,URS0000E9FAF5,URS0000E9FB83,URS0000EA0172,URS0000EA3293,URS0000EA6C52,URS0000EA8A97,URS0000EBB077,VLCAD,Very long chain acyl-CoA dehydrogenase,X86556,XM_006721516,XM_006721516.3,XM_011523829,XM_011523829.2,XM_011523830,XM_011523830.2,XM_024450741,XM_024450741.1,XP_006721579,XP_006721579.2,XP_011522131,XP_011522131.1,XP_011522132,XP_011522132.1,XP_024306509,XP_024306509.1,XR_934021,XR_934021.2,XR_934022,XR_934022.2,XR_934023,XR_934023.2,acyl-CoA dehydrogenase very long chain,acyl-Coenzyme A dehydrogenase, very long chain,hsa:37,uc002gev.5
ACER2	9606.ENSP00000342609	Alkaline ceramidase 2; Golgi ceramidase that catalyzes the hydrolysis of ceramides into sphingoid bases like sphingosine and free fatty acids at alkaline pH. Ceramides, sphingosine, and its phosphorylated form sphingosine-1-phosphate are bioactive lipids that mediate cellular signaling pathways regulating several biological processes including cell proliferation, apoptosis and differentiation. Has a better catalytic efficiency towards unsaturated long-chain ceramides, including C18:1-, C20:1- and C24:1-ceramides. Saturated long-chain ceramides and unsaturated very long-chain ceramides  [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=275:Pfam_Ceramidase(6|261)+	3.5.1.-,3.5.1.23,340485,A2A3R8,AAH92487.1,AAQ15241.1,AAQ85132.1,ACER2,ACER2-201,ACER2_HUMAN,AF370405,AK123581,AL158206,AL391834,ALKCDase2,ASAH3L,AY312516,Acylsphingosine deacylase 3-like,AlkCDase 2,Alkaline CDase 2,Alkaline ceramidase,Alkaline ceramidase 2,BC092487,CCDS34992,CCDS34992.1,CHEMBL2331067,EC 3.5.1.23,ENSG00000177076,ENSP00000317894,ENSP00000342609,ENSP00000369735,ENST00000318820,ENST00000340967,ENST00000340967.2,ENST00000380376,FLJ41587,HGNC:23675,N-acylsphingosine amidohydrolase 3-like,NM_001010887,NM_001010887.2,NM_001010887.3,NP_001010887,NP_001010887.2,NX_Q5QJU3,OMIM:613492,OTTHUMG00000019644,PP11646,Q569G5,Q5QJU3,Q5VZR7,Q71RD2,R-HSA-1430728,R-HSA-1660661,R-HSA-428157,R-HSA-556833,UPI000014042D,XM_005251448,XM_005251448.3,XM_011517859,XM_011517859.2,XM_017014694,XM_017014694.1,XP_005251505,XP_005251505.1,XP_011516161,XP_011516161.1,XP_016870183,XP_016870183.1,XR_242507,XR_242507.3,alkaline ceramidase 2,haCER2,hsa:340485,uc003zny.2
ACO1	9606.ENSP00000309477	Cytoplasmic aconitate hydratase; Iron sensor. Binds a 4Fe-4S cluster and functions as aconitase when cellular iron levels are high. Functions as mRNA binding protein that regulates uptake, sequestration and utilization of iron when cellular iron levels are low. Binds to iron-responsive elements (IRES) in target mRNA species when iron levels are low. Binding of a 4Fe-4S cluster precludes RNA binding.	https://smart.embl.de/smart/DDvec.cgi?smart=889:Pfam_Aconitase(59|564)+Pfam_Aconitase_C(692|821)+	2B3X,2B3Y,4.2.1.3,48,AAA69900.1,AAH18103.1,ABF47095.1,ACJ13681.1,ACO1,ACO1-201,ACO1-202,ACO1-203,ACOC_HUMAN,ACONS,ADO22297.1,AL161783,Aconitase,Aconitase 1,Aconitate hydratase,BC018103,CAA77651.1,CCDS6525,CCDS6525.1,CH471071,Citrate hydro-lyase,Cytoplasmic aconitate hydratase,D3DRK7,DQ496106,EAW58549.1,EAW58550.1,EAW58552.1,EC 4.2.1.3,ENSG00000122729,ENSP00000263221,ENSP00000309477,ENSP00000313411,ENSP00000337959,ENSP00000353159,ENSP00000369253,ENSP00000369255,ENSP00000412451,ENSP00000438733,ENST00000263221,ENST00000309951,ENST00000309951.7,ENST00000317375,ENST00000337693,ENST00000360053,ENST00000379921,ENST00000379923,ENST00000379923.5,ENST00000432017,ENST00000541043,ENST00000541043.5,EU794627,Ferritin repressor protein,GQ891435,HEL60,HGNC:117,HPA019371,HPA024157,IRE-BP 1,IREB1,IREBP,IREBP1,IRP1,Iron regulatory protein 1,Iron-responsive element-binding protein 1,M58510,NM_001278352,NM_001278352.1,NM_001362840,NM_001362840.2,NM_002197,NM_002197.2,NM_002197.3,NP_001265281,NP_001265281.1,NP_001349769,NP_001349769.1,NP_002188,NP_002188.1,NX_P21399,OMIM:100880,OTTHUMG00000019740,P21399,Q14652,Q5VZA7,R-HSA-382551,R-HSA-917937,UPI000012D87E,V9HWB7,XM_005251476.1,XM_011517888,XM_011517888.1,XM_011517888.2,XP_005251533.1,XP_011516190,XP_011516190.1,Z11559,aconitase 1,aconitase 1, soluble,aconitate hydratase, cytoplasmic,cytosplasmic aconitase,hsa:48,soluble aconitase,uc003zqw.5
ACSBG2	9606.ENSP00000465589	Long-chain-fatty-acid--CoA ligase ACSBG2; Catalyzes the conversion of fatty acids such as long chain and very long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation. Can activate diverse saturated, monosaturated and polyunsaturated fatty acids. Has increased ability to activate oleic and linoleic acid. May play a role in spermatogenesis.	https://smart.embl.de/smart/DDvec.cgi?smart=666:Pfam_AMP-binding(57|519)+	6.2.1.15,6.2.1.3,81616,A0A140VJD4,AAG49398.1,AAH22027.1,AAH90046.1,AAQ89126.1,AC011471,AC104538,ACBG2_HUMAN,ACSBG2,ACSBG2-201,ACSBG2-202,ACSBG2-203,ACSBG2-204,ACSBG2-205,ACSBG2-206,ACSBG2-207,ACSBG2-208,ACSBG2-209,ACSBG2-210,ACSBG2-211,ACSBG2-212,ACSBG2-213,AEE60921.1,AJ577571,AK057412,AK093433,AL136854,AY009107,AY358766,Acyl-CoA synthetase bubblegum family member 2,Arachidonate--CoA ligase ACSBG2,B3KSF2,BAB71476.1,BAG52714.1,BC022027,BC090046,BGR,BRGL,Bubblegum-related protein,CAB66788.1,CAE12156.1,CAE12157.1,CCDS12159,CCDS12159.1,CCDS74269,CCDS74269.1,CCDS82282,CCDS82282.1,CH471139,DKFZp434K1635,EAW69111.1,EC 6.2.1.3,ENSG00000130377,ENSP00000252669,ENSP00000318897,ENSP00000319587,ENSP00000345543,ENSP00000377999,ENSP00000464938,ENSP00000465088,ENSP00000465581,ENSP00000465589,ENSP00000465870,ENSP00000466336,ENSP00000466434,ENSP00000467755,ENSP00000468394,ENSP00000468652,ENSP00000468684,ENST00000252669,ENST00000324897,ENST00000324910,ENST00000348892,ENST00000394489,ENST00000585526,ENST00000585526.5,ENST00000586696,ENST00000586696.5,ENST00000587227,ENST00000587227.1,ENST00000587617,ENST00000587617.1,ENST00000588304,ENST00000588304.5,ENST00000588485,ENST00000588485.5,ENST00000588722,ENST00000588722.5,ENST00000589401,ENST00000589401.5,ENST00000590132,ENST00000590132.1,ENST00000591403,ENST00000591403.5,ENST00000591738,ENST00000591738.5,ENST00000591741,ENST00000591741.5,ENST00000592677,ENST00000592677.5,HGNC:24174,HM005321,HPA043421,HPA051013,K7EKE4,K7EL11,K7EMB4,K7ERT0,K7ESC8,K7ESF1,KF456482,KF456484,Long-chain-fatty-acid--CoA ligase ACSBG,Long-chain-fatty-acid--CoA ligase ACSBG2,NM_001289177,NM_001289177.1,NM_001289177.2,NM_001289178,NM_001289178.1,NM_001289178.2,NM_001289179,NM_001289179.1,NM_001289179.2,NM_001289180,NM_001289180.1,NM_001321384,NM_001321384.1,NM_001321384.2,NM_030924,NM_030924.4,NM_030924.5,NP_001276106,NP_001276106.1,NP_001276107,NP_001276107.1,NP_001276108,NP_001276108.1,NP_001276109,NP_001276109.1,NP_001308313,NP_001308313.1,NP_112186,NP_112186.3,NX_Q5FVE4,OMIM:614363,OTTHUMG00000180754,PRTD-NY3,PRTDNY3,Q5FVE4,Q6UWJ3,Q7Z5A0,Q8WW03,Q96M36,Q9BYZ3,Q9H0C4,R-HSA-1430728,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868,UNQ2443/PRO5005,UPI00001414E6,UPI00001AE74A,UPI000041F64C,UPI00028409E1,UPI00028409E2,UPI00028409E3,UPI00028409E4,UPI00028409E5,UPI00028409E6,URS0000E949A2,URS0000EADA27,XM_005259653,XM_005259653.3,XM_011528329,XM_011528329.1,XM_017027332,XM_017027332.1,XM_017027332.2,XM_017027333,XM_017027333.1,XM_017027334,XM_017027334.1,XP_005259710,XP_005259710.1,XP_011526631,XP_011526631.1,XP_016882821,XP_016882821.1,XP_016882822,XP_016882822.1,XP_016882823,XP_016882823.1,acyl-CoA synthetase bubblegum family member 2,bubblegum related protein,hsa:81616,uc002mee.3,uc002mef.3
